NPC_SEARCH	Npc Arama
DETAILS_27	Ateþe karþý direnç
DETAILS_28	Rüzgara karþý direnç
DETAILS_29	Toprak direnci
DETAILS_3	Orklara karþý güçlü
DETAILS_30	Þimþeklerin gücü
DETAILS_31	Buzun gücü
DETAILS_32	Karanlýðýn gücü
DETAILS_33	Ateþin gücü
DETAILS_34	Rüzgarýn gücü
DETAILS_35	Topraðýn gücü
DETAILS_36	Savaþçý. krþ. güçlü
DETAILS_37	Ninjal. krþ. güçlü
DETAILS_38	Suralara karþý güçlü
DETAILS_39	Þamanl. karþý güçlü
DETAILS_4	Ölümsüz. karþý güçlü
DETAILS_40	Lycanl. karþý güçlü
DETAILS_41	Savaþçýl. krþ. sav.
DETAILS_42	Ninjal. karþý savun.
DETAILS_43	Sural. karþý savunma
DETAILS_44	Þamanlara karþý sav.
DETAILS_45	Lycan. karþý savunma
DETAILS_46	Kýlýç savunmasý
DETAILS_47	Çift el savunmasý
DETAILS_48	Hançer savunmasý
DETAILS_49	Pençe savunmasý
DETAILS_5	Canavarl. krþ. güçlü
DETAILS_50	Çan savunmasý
DETAILS_51	Yelpaze savunmasý
DETAILS_52	Ok savunmasý
DETAILS_53	Bayýlma olasýlýðý
DETAILS_54	Yavaþlama þansý
DETAILS_55	Zehirlenme olasýlýðý
DETAILS_56	Zehir direnci
DETAILS_57	Kanama saldýrýsý
DETAILS_58	Kanama saldýr. dir.
DETAILS_6	Zod. canv. krþ. güç.
DETAILS_7	Hayvanl. karþý güçlü
DETAILS_76	Büyüye karþý direnç
DETAILS_77	Büyü bozma
DETAILS_8	Mistikl. karþý güçlü
DETAILS_9	Þeytanl. karþý güçlü
DETAILS_ATTBONUS_BELL	Çanýn Kýrýlmasý
DETAILS_ATTBONUS_BOW	Okun Kýrýlmasý
DETAILS_ATTBONUS_CLAW	Pençenin Kýrýlmasý
DETAILS_ATTBONUS_DAGGER	Hançerin Kýrýlmasý
DETAILS_ATTBONUS_FAN	Yelpazenin Kýrýlmasý
DETAILS_ATTBONUS_SWORD	Kýlýcýn Kýrýlmasý
DETAILS_ATTBONUS_TWOHAND	Çift Elin Kýrýlmasý
DETAILS_RESIST_MOUNT_FALL	Düþmeye Karþý Dayanýklýlýk
DETAILS_TITLE	Ayrýntýlar
DETAILS_TOOLTIP_1	Yarý insanlara karþý güçlü: Yarý insanlara daha büyük hasar verir.
DETAILS_TOOLTIP_10	Çöl canavarýna karþý güçlü: Çöl canavarlarýna daha büyük hasar verir.
DETAILS_TOOLTIP_11	Böceklere karþý güçlü: Böceklere daha büyük hasar verir.
DETAILS_TOOLTIP_12	Saldýrý deðerini artýrýr.
DETAILS_TOOLTIP_13	Savunma deðerini artýrýr.
DETAILS_TOOLTIP_14	Rakiplere saldýrýrken verdiðin ortalama hasarý yükseltir.
DETAILS_TOOLTIP_15	Ortalama hasara karþý direnç: Bir saldýrýda aldýðýn hasarý düþürür.
DETAILS_TOOLTIP_16	Bir becerinin meydana getirdiði hasarý artýrýr.
DETAILS_TOOLTIP_17	Beceri hasarýna direnç: Sana bir yetenekle verilen hasarý düþürür.
DETAILS_TOOLTIP_18	Hem bedensel hem de büyü saldýrý deðeri yükselir.
DETAILS_TOOLTIP_19	Rakiplere bir büyü saldýrýsýyla verdiðin hasarý yükseltir.
DETAILS_TOOLTIP_2	Yarý insanlara karþý direnç: Yarý insanlardan alýnan hasarý düþürür.
DETAILS_TOOLTIP_20	Bir kritik vuruþ meydana getirme þansýný yükseltir.
DETAILS_TOOLTIP_21	Delici isabet þansý: Delici isabet yapma þansýný artýrýr.
DETAILS_TOOLTIP_24	Belli canavarlardan alýnan hasarý düþürür.
DETAILS_TOOLTIP_25	Belli canavarlardan alýnan hasarý düþürür.
DETAILS_TOOLTIP_26	Karanlýða karþý direnç: Belli canavarlardan alýnan hasarý düþürür.
DETAILS_TOOLTIP_27	Belli canavarlardan alýnan hasarý düþürür.
DETAILS_TOOLTIP_28	Belli canavarlardan alýnan hasarý düþürür.
DETAILS_TOOLTIP_29	Belli canavarlardan alýnan hasarý düþürür.
DETAILS_TOOLTIP_3	Orklar karþýsýnda güçlü: Orklara daha çok hasar verir.
DETAILS_TOOLTIP_30	Þimþeklerin gücüyle verdiðin hasarý artýrýr.
DETAILS_TOOLTIP_31	Buzun gücüyle verdiðin hasarý artýrýr.
DETAILS_TOOLTIP_32	Karanlýðýn gücüyle verdiðin hasarý artýrýr.
DETAILS_TOOLTIP_33	Ateþin gücüyle verdiðin hasarý artýrýr.
DETAILS_TOOLTIP_34	Rüzgarýn gücüyle verdiðin hasarý artýrýr.
DETAILS_TOOLTIP_35	Topraðýn gücüyle verdiðin hasarý artýrýr.
DETAILS_TOOLTIP_36	Savaþçýlar karþýsýnda güçlü: Savaþçýlara daha çok hasar verir.
DETAILS_TOOLTIP_37	Ninjalar karþýsýnda güçlü: Ninjalara daha çok hasar verir.
DETAILS_TOOLTIP_38	Sura karþýsýnda güçlü: Suralara daha çok hasar verir.
DETAILS_TOOLTIP_39	Þamanlar karþýsýnda güçlü: Þamanlara daha çok hasar verir.
DETAILS_TOOLTIP_4	Ölümsüzler karþýsýnda güçlü: Ölümsüzlere daha çok hasar verir.
DETAILS_TOOLTIP_40	Lycanlar karþýsýnda güçlü: Lycanlara daha çok hasar verir.
DETAILS_TOOLTIP_41	Savaþçý saldýrýlarýný savuþturma þansý: Savaþçýlardan alýnan hasarý azaltýr.
DETAILS_TOOLTIP_42	Ninja saldýrýlarýný savuþturma þansý: Ninjalardan alýnan hasarý azaltýr.
DETAILS_TOOLTIP_43	Sura saldýrýlarýný savuþturma þansý: Suralardan alýnan hasarý azaltýr.
DETAILS_TOOLTIP_44	Þaman saldýrýlarýný savuþturma þansý: Þamanlardan alýnan hasarý azaltýr.
DETAILS_TOOLTIP_45	Lycan saldýrýlarýný savuþturma þansý: Lycanlardan alýnan hasarý azaltýr.
DETAILS_TOOLTIP_46	Bir kýlýçtan alýnan hasarý düþürür.
DETAILS_TOOLTIP_47	Bir çift el silahtan alýnan hasarý düþürür.
DETAILS_TOOLTIP_48	Bir hançerden alýnan hasarý düþürür.
DETAILS_TOOLTIP_49	Bir pençeden alýnan hasarý düþürür.
DETAILS_TOOLTIP_5	Canavarlar karþýsýnda güçlü: Canavarlara daha çok hasar verir.
DETAILS_TOOLTIP_50	Bir çandan alýnan hasarý düþürür.
DETAILS_TOOLTIP_51	Bir yelpazeden alýnan hasarý düþürür.
DETAILS_TOOLTIP_52	Bir ok veya yaydan alýnan hasarý düþürür.
DETAILS_TOOLTIP_53	Rakibi bayýltma þansýný yükseltir.
DETAILS_TOOLTIP_54	Rakibi yavaþlama þansýný yükseltir.
DETAILS_TOOLTIP_55	Rakibi zehirleme þansýný yükseltir.
DETAILS_TOOLTIP_56	Bir zehirden alýnan hasarý düþürür.
DETAILS_TOOLTIP_57	Bir kanama saldýrýsý meydana getirme þansýný yükseltir.
DETAILS_TOOLTIP_58	Kanama saldýrýsý karþýsýnda güçlü: Bir kanama saldýrýsýndan alýnan hasarý düþürür.
DETAILS_TOOLTIP_59	Rakibinle karþýlaþtýðýnda ondan HP çeker.
DETAILS_TOOLTIP_6	Zodyak canavarlarýna karþý güçlü: Zodyaük canavarlarýna daha büyük hasar verir.
DETAILS_TOOLTIP_60	Rakibinle karþýlaþtýðýnda ondan SP çeker.
DETAILS_TOOLTIP_61	Hayat puanlarýnýn yenilenmesini hýzlandýrýr.
DETAILS_TOOLTIP_62	Mana puanlarýnýn yenilenmesini hýzlandýrýr.
DETAILS_TOOLTIP_63	Yakýn dövüþ saldýrýlarýný bloklama þansý: Bir yakýn dövüþ saldýrýsýndan sýyrýlma þansýný artýrýr.
DETAILS_TOOLTIP_64	Ok saldýrýlarýný bloklama þansý: Bir canavarýn ok veya uzak saldýrýsýndan sýyrýlma þansýný artýrýr.
DETAILS_TOOLTIP_65	Yakýn dövüþ vuruþlarýný yansýtma þansý: Yakýn dövüþ vuruþlarýnýn bir kýsmý rakibe geri yansýtýlýr.
DETAILS_TOOLTIP_66	Öldürmede HP yenilemesi: Bir rakip öldürdüðünde hayat puanlarýn yükselir.
DETAILS_TOOLTIP_67	Öldürmede SP yenilemesi: Bir rakip öldürdüðünde mana puanlarýn yükselir.
DETAILS_TOOLTIP_68	Ýki kat tecrübe kazanma þansý: Rakibini yendiðinde EXP bonusu kazanma þansýný artýrýr.
DETAILS_TOOLTIP_69	Ýki kat Yang düþürme þansý: Ýki kat Yang elde etme þansýný artýrýr.
DETAILS_TOOLTIP_7	Hayvanlar karþýsýnda güçlü: Vahþi hayvanlara daha çok hasar verir.
DETAILS_TOOLTIP_70	Nesne düþürme þansý: Nesneleri çift çift elde etme þansýný artýrýr.
DETAILS_TOOLTIP_76	Büyü saldýrýsýyla aldýðýn hasarý düþürür.
DETAILS_TOOLTIP_77	Rakibinin büyü direncini düþürür.
DETAILS_TOOLTIP_8	Mistikler karþýsýnda güçlü: Mistiklere daha çok hasar verir.
DETAILS_TOOLTIP_9	Þeytanlar karþýsýnda güçlü: Canavarlara daha çok hasar verir.
DETAILS_TOOLTIP_ATTBONUS_BELL	Çan Savunmasýnýn Kýrýlmasý: Düþmanýnýn çan savunmasýný azaltýr.
DETAILS_TOOLTIP_ATTBONUS_BOW	Ok Savunmasýnýn Kýrýlmasý: Düþmanýnýn ok savunmasýný azaltýr.
DETAILS_TOOLTIP_ATTBONUS_CLAW	Pençe Savunmasýnýn Kýrýlmasý: Düþmanýnýn pençe savunmasýný azaltýr.
DETAILS_TOOLTIP_ATTBONUS_DAGGER	Hançer Savunmasýnýn Kýrýlmasý: Düþmanýnýn hançer savunmasýný azaltýr.
DETAILS_TOOLTIP_ATTBONUS_FAN	Yelpaze Savunmasýnýn Kýrýlmasý: Düþmanýnýn yelpaze savunmasýný azaltýr.
DETAILS_TOOLTIP_ATTBONUS_SWORD	Kýlýç Savunmasýnýn Kýrýlmasý: Düþmanýnýn kýlýç savunmasýný azaltýr.
DETAILS_TOOLTIP_ATTBONUS_TWOHAND	Çift El Savunmasýnýn Kýrýlmasý: Düþmanýnýn çift el savunmasýný azaltýr.
DETAILS_TOOLTIP_RESIST_MOUNT_FALL	Düþmeye Karþý Dayanýklýlýk: Bineðinden düþme ihtimalini azaltýr.
DONT_USE_ITEM_WHEN_SHOW_CONFIRM	Sorgulama sýrasýnda nesne hareket ettiremezsin.
DO_NOT_INSERT_UPBRINGING_PET	Aktif pet seçilemez.
DO_YOU_BUY_ITEM1	%s Eþyasýný %s karþýlýðýnda satýn almak ister misin?
DO_YOU_BUY_ITEM2	%s (%s adet) eþyasýný %s ile karþýlýðýnda almak ister misin?
DO_YOU_BUY_ITEM3	%s ile %s Yang almak ister misin?
DO_YOU_BUY_ITEM4	%s nesnesini (%s adet ) %s Yang karþýlýðýnda satýn almak ister misin?
DO_YOU_DROP_MONEY	%d Yang býrakmak istiyor musun?
DO_YOU_SELL_ITEM1	%s Eþyasýný %s karþýlýðýnda satmak ister misin?
DO_YOU_SELL_ITEM2	%s (%s adet) eþyasýný %s karþýlýðýnda satmak ister misin?
DRAGON_SOUL_CANNOT_REFINE	Bu ejderha taþý arýndýrýlamaz.
DRAGON_SOUL_CANNOT_REFINE_MORE	Bu ejderha taþý en yüksek seviyeye ulaþtý bile.
DRAGON_SOUL_EQUIP_WARNING1	Bir ejderha taþýný tekrar çýkartmak zor.
DRAGON_SOUL_EQUIP_WARNING2	Yine de devam etmek istiyor musun?
DRAGON_SOUL_EXPIRED	Süresi geçmiþ ejderha taþý
DRAGON_SOUL_INVALID_DRAGON_SOUL	Yanlýþ ejderha taþý.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	Bu ejderha taþý deðil.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	Bu doðru ejderha taþý deðil.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	Arýndýrma için yeterli malzemen yok.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL2	%s\n Ýçin ihtiyacýn olan: %s %dx
DRAGON_SOUL_NOT_ENOUGH_MONEY	Bonusunu deðiþtirmek için yeterli Yang'ýn yok.
DRAGON_SOUL_NOT_MATCHED_SLOT	Ejderha taþý bu boþluða sýðmýyor.
DRAGON_SOUL_STEP_LEVEL1	Saflýk: mat,
DRAGON_SOUL_STEP_LEVEL2	Saflýk: parlak,
DRAGON_SOUL_STEP_LEVEL3	Saflýk: tertemiz,
DRAGON_SOUL_STEP_LEVEL4	Saflýk: mükemmel,
DRAGON_SOUL_STEP_LEVEL5	Saflýk: kusursuz,
DRAGON_SOUL_STRENGTH	Seviye +%d	SA
DRAGON_SOUL_UNEQUIP_WARNING1	Ejderha taþý kýrýlabilir.
DRAGON_SOUL_UNEQUIP_WARNING2	Yine de devam etmek istiyor musun?
DRAGON_SOUL_UNMATCHED_SLOT	Bu yanlýþ boþluk.
DROP_ITEM_FAILURE_EQUIP_ITEM	Giyilen eþyayý býrakamazsýn.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Özel dükkan açtýðýn sürece nesne düþüremiyorsun.
DROP_MONEY_FAILURE_1000_OVER	En fazla 999 Yang býrakabilirsin.
DS_SYSTEM_MSG_1	Daha %s %dx gerekli.
DUTCH_AUCTION_CLOSE_OTHER_WINDOW	Hýzlý müzayedeleri açmadan önce lütfen tüm pencereleri kapat.
EMOTION_ALCOHOL	Þerefe!
EMOTION_ANGRY	Can Sýkýcý
EMOTION_ATTRACTIVE	Baþtan Çýkarma
EMOTION_BANTER	Küçümseme
EMOTION_BUSY	Stres
EMOTION_CALL	Çaðrý
EMOTION_CELEBRATION	Parti
EMOTION_CHARGING	Akü
EMOTION_CHEERS_1	Hoþça Kal 1
EMOTION_CHEERS_2	Hoþça Kal 2
EMOTION_CHEERUP	Alkýþ
EMOTION_CHOOSE_ONE	Bir hedef seç.
EMOTION_CLAP	Alkýþlar
EMOTION_CLAP_KISS	Öpücük
EMOTION_CONGRATULATION	Onaylama
EMOTION_DANCE_1	Dans 1
EMOTION_DANCE_2	Dans 2
EMOTION_DANCE_3	Dans 3
EMOTION_DANCE_4	Dans 4
EMOTION_DANCE_5	Dans 5
EMOTION_DANCE_6	Gumsan Style
EMOTION_DANCE_7	Samba
EMOTION_DOZE	Kýsa süreli uyku
EMOTION_EXERCISE	Isýnma
EMOTION_FORGIVE	Affetme
EMOTION_FRENCH_KISS	Fransýz öpücüðü
EMOTION_HUNGRY	Açlýk
EMOTION_JOY	Neþe
EMOTION_LETTER	Aþk mektubu
EMOTION_NOSAY	Suskun
EMOTION_PUSH_UP	Þýnav
EMOTION_SAD	Üzgün
EMOTION_SELFIE	Selfie
EMOTION_SHY	Reddetme
EMOTION_SIREN	Siren
EMOTION_SLAP	Çak
EMOTION_WEATHER_1	Güneþ
EMOTION_WEATHER_2	Gökkuþaðý
EMOTION_WEATHER_3	Ay
EMOTION_WHIRL	Þaþkýnlýk
EMPIRE_A	Shinsoo Krallýðý
EMPIRE_B	Chunjo Krallýðý
EMPIRE_C	Jinno Krallýðý
EMPIRE_SELECT_MODE	Krallýk seç
EXCHANGE_CANNOT_GIVE	Bu nesneyi alýþveriþte kullanamazsýn.
EXCHANGE_CANT_EDIT_MONEY	Toplamý þu anda deðiþtiremezsin.
EXCHANGE_FAILURE_EQUIP_ITEM	Giyilen eþyayý takas edemezsin.
EXCHANGE_MONEY	Toplam
EXCHANGE_TITLE	%s (%d) ile alýþveriþ
EXINVEN_USE_ITEM_FAIL_FALL_SHORT	%d envanter geniþletmesine daha ihtiyacýn var.
EXINVEN_USE_ITEM_FAIL_FOURTH_PAGE_STAGE_MAX	Envanterin maksimum geniþletme sayýsýna ulaþtý.
EXINVEN_USE_ITEM_QUESTION	Envanterini %d envanter geniþletmesiyle büyütmek mi istiyorsun?
FISHING_FAILURE	Yemi kaybettin.
FISHING_NOTIFY1	%s oltaya takýlmýþ gibi görünüyor.
FISHING_NOTIFY2	Oltaya %s takýlmýþ gibi görünüyor.
FISHING_RENEWAL_CANNOT_EMOTION	Balýk tutarken duygu ifadeleri kullanamazsýn.
FISHING_RENEWAL_CANNOT_OPEN_1	Balýk tutarken bunu açamazsýn.
FISHING_RENEWAL_CANNOT_OPEN_2	Balýk tutarken bu iþlemi gerçekleþtiremezsin.
FISHING_RENEWAL_QUESTION	Oltaya bir balýk takýldý. Onu tutmak ister misin?
FISHING_RENEWAL_TIMEOUT	Çok bekledin. Balýk kaçtý.
FISHING_SUCCESS1	%s !
FISHING_SUCCESS2	Suda %s tuttun!
FISHING_UNKNOWN	Oltaya birþey takýldý ama ne olduðu belli deðil.
FISHING_WRONG_PLACE	Burada balýk tutamazsýn.
FLOWER_EVENT_USE_ITEM_TEXT1	Etkinleþtirilen efekti deðiþtirmek ister misin?
FLOWER_EVENT_USE_ITEM_TEXT2	Deneme baþarýsýz olabilir. Çiçek bu durumda solar.
FOR_FEMALE	kadýn için
FOR_MALE	erkek için
FRAGMENT_COMB_COST	Kombinasyon maliyeti: %s
GAME_CANNOT_MINING	At üstündeyken madencilik yapamazsýn.
GAME_CANNOT_PICK_ITEM	Kazanmadýðýn için bu nesneyi toplayamazsýn.
GAME_GUILDWAR_NOW_JOIN	Lonca savaþýna katýlmak istiyor musun?
GAME_INIT_ERROR_CURSOR	imleç tanýmlanamadý.
GAME_INIT_ERROR_DIRECTX	Oyunun çalisabilmesi için DirectX 8.1 kurulu olmasý gerekiyor.\nDirectX 8.1 veya daha yüksek bir sürümünü kur.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Grafik kartý bulunamadý.\nEðer mevcutsa, VGA kart sürücünüzün doðru yüklenmiþ olup olmadýðýný kontrol edin.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Grafik kartý kurulamadý. \n Eðer VGA kartýnýz varsa kontrol edin. \n Alternatif olarak, donaným hýzlandýrýcýnýzý aktif edebilirsiniz. \n (Donaným Hýzlandýrýcýnýzý maximuma ayarlayýn \n Control Panel->Display->Settings->Advanced->Troubleshoot)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	Bilgisayarýnýzdaki grafik kartý Windows 32bit Modunu desteklemiyor.\n16bit Modunu veya tam ekran seçeneðini kullanýnýz.
GAME_INIT_ERROR_ITEM_PROTO	Nesne bilgileri yok.\nOyunu tekrar yükleyiniz.
GAME_INIT_ERROR_MAIN_WINDOW	Anayapý oluþturulamýyor.
GAME_INIT_ERROR_MOB_PROTO	Canavar bilgileri yok.\nOyunu tekrar yükleyiniz.
GAME_INIT_ERROR_NETWORK	Baðlantý kurulamýyor.\ninternet baðlantýnýzý kontrol ediniz.
GEM_SYSTEM_ADD_SLOT	Gerekli nesne: %s.\nÞimdi %d adet kullanýp, yeni bir sýra açmak ister misin?
GEM_SYSTEM_BUY_ITEM	Bu nesneyi satýn almak istiyor musun?
GEM_SYSTEM_NAME	Gaya
GEM_SYSTEM_NOT_ENOUGHT_REFRESHITEM	[Gaya] Yeterince 'Gaya maðazasýný sýfýrlaya' sahip deðilsin.
GEM_SYSTEM_NOT_ENOUGH_HP_GEM	[Gaya] Yeterli Gayan yok.
GEM_SYSTEM_NO_MORE_ADDSLOT	[Gaya] Daha fazla yer açýlamaz.
GEM_SYSTEM_OPEN_GEMSHOP	[Gaya] Önce Gaya maðazasýný aç.
GEM_SYSTEM_PICK_GEM	[Gaya] Gaya miktarý: %d
GEM_SYSTEM_REFRESH_SHOP_ITEMS	Sýfýrlamak istiyor musun?
GIVEUP_QUESTION	Pes etmek istediðinden emin misin?
GUILDBANK_CLEARBANK	Dikkat: Lonca deposu boþaltýlmýþ olmalý!
GUILDBANK_DONT_MONEY_OUT	Lonca bankasýnda Yang'ýn yok!
GUILDBANK_GOLD_IN	Yatýr
GUILDBANK_GOLD_OUT	Öde
GUILDBANK_ITEM_IN	Depola
GUILDBANK_ITEM_OUT	Dýþ tedarik
GUILDBANK_MONEYIN	Yang yatýr
GUILDBANK_MONEYOUT	Yang öde
GUILDBANK_NOTUSE	Buna yetkin yok.
GUILDBANK_NOT_ENOUGH_MONEY	Ödeme için yeterli Yang'ýn yok.
GUILDBANK_OVER_INCOME	Hesap limiti eriþildi.
GUILDBANK_OVER_MONEY	Lonca hesabý dolu.
GUILDLAND_ABANDON	Lonca deposundan vazgeç
GUILDLAND_ACCEPT	Evet
GUILDLAND_DONTHAVE_LAND	Lonca bölgen yok.
GUILDLAND_NOT	Hayýr
GUILDLIST_APPLICANT	Baþvurmak istiyor musun?
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Yükseklik 128 Pixel deðil
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Yükseklik 12 Pixel deðil
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Genislik 16 Pixel deðil
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Geniþlik 64 Pixel deðil
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Oyun bu resmi desteklemiyor.
GUILDMARK_UPLOADER_ERROR_PATH	Bilgiyi metin2/upload klasörüne taþý.
GUILDMARK_UPLOADER_ERROR_SELECT	Resim dosyasý seçilmedi.
GUILDWAR_ALL	Savaþlar (S)
GUILDWAR_CTF_TITLE	Bayrak Savaþý
GUILDWAR_DRAW	Berabere (B)
GUILDWAR_GAINSCORE_FIFTY	50 puan
GUILDWAR_GAINSCORE_HUNDRED	100 puan
GUILDWAR_GAINSCORE_THIRTY	30 puan
GUILDWAR_GAMETIME_SIXTY	60 dakika
GUILDWAR_GAMETIME_TEN	10 dakika
GUILDWAR_GAMETIME_THIRTY	30 dakika
GUILDWAR_INPUT_OTHERGUILD	Lütfen rakip loncayý ekle.
GUILDWAR_LADDER	Sýralama Puanlarý
GUILDWAR_LIMIT_MEMBER_FIVE	Minimum katýlýmcý sayýsý 5.
GUILDWAR_LOSE	Maðlubiyetler (M)
GUILDWAR_NORMAL_TITLE	Meydan Savaþý
GUILDWAR_OVER_MEMBERCOUNT	Üye sýnýrýna eriþtim.
GUILDWAR_QUESTION_LINE_1	%s loncasý, senin loncana savaþ ilan etti.
GUILDWAR_QUESTION_LINE_2	kabul ediyor musun? (%s)
GUILDWAR_RANKING	Rütbe
GUILDWAR_RECODE_ALL	%d S, %d G, %d M, %d B
GUILDWAR_SELECT_MEMBER_COUNT	Katýlý sayýsýný seç.
GUILDWAR_TYPE_DEFENSE	Kalkan Savaþý
GUILDWAR_TYPE_TIGER	Ýmha Savaþý
GUILDWAR_TYPE_TIME	Zaman Saldýrýsý
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Arena Savaþý
GUILDWAR_WIN	Galibiyetler (G)
GUILDWAR_WIN_FIVE	Beþ tur
GUILDWAR_WIN_ONE	Bir tur
GUILDWAR_WIN_THREE	Üç tur
GUILDWINDOW_BUTTON_BANKGOLDINFO	Lonca deposu geçmiþi
GUILDWINDOW_BUTTON_BASEABANDON	Lonca deposundan vazgeç
GUILDWINDOW_BUTTON_BASEDEAL	Lonca bölgesini sat
GUILDWINDOW_BUTTON_BOARD	Lonca notlarý
GUILDWINDOW_BUTTON_CHANGEMASTER	Lonca liderini deðiþtir
GUILDWINDOW_BUTTON_DECLARE	Savaþ ilaný
GUILDWINDOW_BUTTON_DONATE	Baðýþ
GUILDWINDOW_BUTTON_GOLDIN	Yatýr
GUILDWINDOW_BUTTON_GOLDOUT	Öde
GUILDWINDOW_BUTTON_GRADE	Yönetici Pozisyonu
GUILDWINDOW_BUTTON_GUILDLIST	Lonca listesi
GUILDWINDOW_BUTTON_HEALGSP	Ejderha gücünü yükle
GUILDWINDOW_BUTTON_INFO	Lonca Bilgisi
GUILDWINDOW_BUTTON_LANDINFO	Bölge bilgileri
GUILDWINDOW_BUTTON_MARK	Lonca simgesini yükle
GUILDWINDOW_BUTTON_MEMBER	Üyeler
GUILDWINDOW_BUTTON_OFFER	EXP baðýþla
GUILDWINDOW_BUTTON_OUTMEMBER	Üyeyi çýkar
GUILDWINDOW_BUTTON_SKILL	Lonca becerileri
GUILDWINDOW_BUTTON_SYMBOL	Lonca bayraðýný yükle
GUILDWINDOW_BUY_GUILD_LAND	Arsa Alýþý
GUILDWINDOW_CHANGE_BLACKSMITH	Mesleði deðiþtir
GUILDWINDOW_CHANGE_OBJECT	Deðiþtir
GUILDWINDOW_CHANGE_SMELTER	Fýrýn Tadilatý
GUILDWINDOW_CREATE_OBJECT	Bina Ýnþasý
GUILDWINDOW_DEAL_GUILD_LAND	Arsa Satýþý
GUILDWINDOW_GRADE_BANK	Lonca bankasý ve lonca deposunu kullanabilir
GUILDWINDOW_GRADE_DRIVEOUTAUTHORITY	Loncadan üyeleri çýkarabilir
GUILDWINDOW_GRADE_GRADENAME	Rütbe ismi
GUILDWINDOW_GRADE_GRADENUMBER	Rütbe numarasý
GUILDWINDOW_GRADE_GUILDWAR	Savaþçý olarak katýlan üyeleri seçebilir.
GUILDWINDOW_GRADE_INVITEAUTHORITY	Loncaya oyuncular alabilir
GUILDWINDOW_GRADE_NOTICEAUTHORITY	Lonca notlarýný asabilir
GUILDWINDOW_GRADE_SKILLAUTHORITY	Lonca becerilerini kullanabilir
GUILDWINDOW_INFO_LEVEL10	Maks. üye sayýsý artýrýr
GUILDWINDOW_INFO_LEVEL15	Ýndirimde: Ejderha Gücü
GUILDWINDOW_INFO_LEVEL20	Banka: Vergi Muafiyeti
GUILDWINDOW_INFO_LEVEL5	Lonca baðýþýna +%5 EXP
GUILDWINDOW_LIST_ALL	Tüm Krallýklar
GUILDWINDOW_LIST_ALREADY_REGISTER	[Lonca] Zaten baþvurdun.
GUILDWINDOW_LIST_APPLICANT_LIST	Aday listesi
GUILDWINDOW_LIST_CHRACTER_JOB	Sýnýf
GUILDWINDOW_LIST_CHRACTER_LV	Seviye
GUILDWINDOW_LIST_CHRACTER_NAME	Karakter Adý
GUILDWINDOW_LIST_CHRACTER_SUB_JOB	Ders
GUILDWINDOW_LIST_EMPIRE_A	Shinsoo
GUILDWINDOW_LIST_EMPIRE_B	Chunjo
GUILDWINDOW_LIST_EMPIRE_C	Jinno
GUILDWINDOW_LIST_GUILDMEMBER	Üyeler
GUILDWINDOW_LIST_GUILD_LIST	Lonca listesi
GUILDWINDOW_LIST_GUILD_LV	Seviye
GUILDWINDOW_LIST_GUILD_NAME	Lonca
GUILDWINDOW_LIST_INPUT_GUILDNAME	[Lonca] Lütfen bir lonca adý gir.
GUILDWINDOW_LIST_LADDER	Sýralama Puanlarý
GUILDWINDOW_LIST_NOTPROMOTEGUILD	[Lonca] Bu loncanýn duyurusu yok.
GUILDWINDOW_LIST_PROMOTE_GUILD	Baþvuru
GUILDWINDOW_LIST_PROMOTE_GUILD_LIST	Lonca listesi
GUILDWINDOW_LIST_RANKING	Pozisyon
GUILDWINDOW_LIST_RANKING_COUNT	Pozisyon
GUILDWINDOW_LIST_REGISTER	Baþvurular
GUILDWINDOW_LIST_REGISTER_GUILD	Loncaya baþvur
GUILDWINDOW_LIST_SEARCH	Arama
GUILDWINDOW_LIST_SELECT_GUILD	[Lonca] Baþvurmak için lütfen bir lonca seç.
GUILDWINDOW_PROMOTE_REFRESH	Reklam
GUILDWINDOW_PROMOTE_REGISTER	Reklam
GUILDWINDOW_SP_RECOVER	Ejderha Gücü
GUILDWINDOW_UPGRADE_ALTEROFPOWER	Sunak Geniþletmesi
GUILDWINDOW_UPGRADE_GUILDBANK	Banka Geniþletmesi
GUILD_ATTENDANCE_FAIL_ALREADY	Bugün zaten katýldýn.
GUILD_ATTENDANCE_FAIL_JOIN_TIME	Þimdi katýlamazsýn. Katýlým her zaman saat 5:00'da sýfýrlanýr.
GUILD_BANKINFO_CLOSE	Kapat
GUILD_BANKINFO_NAME	Üye
