TELEPORT_PANEL_TITLE	isinlayici
HELP_CHARACTER_BUTTON2	Arkadaþ Listesi ve Seçenekler)
HELP_CHAT	Ýlgili grupla sohbet etmek için metninin önüne þunlardan birini yaz: !(Rufchat), #(Gruppenchat) veya %(Gildenchat).
HELP_CLICK_OTHER_PLAYER	Baþka bir oyuncuya saðla týklayarak ticaret yapabilirsin, gruplar kurabilirsin ve onu düelloya davet edebilirsin.
HELP_CONTROL_CAMERA_BY_MIDDLEBUTTON	Kamera görüntüsü ayarlama: orta fare tuþu ile
HELP_CONTROL_CAMERA_BY_RIGHTBUTTON	Kamera görüntüsü ayarýný deðiþtir: sað veya sol fare tuþu ile
HELP_EMOTINO	Tuþ kombinasyonlarý <Ctrl> + <1~9> ile duygu simgeleri gösterebilirsin.
HELP_EXP	Tecrübe
HELP_FURY	Oyun Nesnet Marketi
HELP_GUILD_WINDOW	Lonca Penceresini aç: Alt + G tuþlarý ile
HELP_HELP	Yardým göster: H ile
HELP_HELP_KEY	Yardým bölümü standart ayarlarý gösterir.
HELP_HP	Hayat Puaný (HP)
HELP_KEYSETTING	Oyun seçeneklerinde kendi tuþ kombinasyonlarýný oluþturabilirsin.
HELP_MESSENGER_WINDOW	Arakadaþ Listesini aç: Alt + M tuþlarý  ile
HELP_MINIMAP	Küçük haritayý gösterir.
HELP_MINIMAP_QUEST	Küçük ve genel görünüm haritasýnda görevler yanýp sönerek görüntülenir.
HELP_MOUSE_LEFT	Sol mouse tuþunun iþlevi
HELP_MOUSE_RIGHT	Sað mouse tuþunun iþlevi
HELP_MOVE_KEY	Kumanda: W, S, A, D tuþlarý ve ok tuþlarý ile
HELP_OFF_QUESTSCROLL	-<CTRL> + Q ile görev dizilerini açýp kapatabilirsin.
HELP_OPEN_CHARACTER	Karakter Penceresini aç: C tuþu ile
HELP_OPEN_CHAT	Sohbet Penceresini aç: Giriþ tuþu ile
HELP_OPEN_INVENTORY	Envanter Penceresini aç: I tuþu ile
HELP_OPEN_LOG	Sohbet protokolünü (Log) aç: L tuþu ile
HELP_OPEN_MINIMAP	Küçük Haritayý aç: Shift + M tuþlarý ile
HELP_OPEN_QUEST	Görev Penceresini aç: N tuþu ile
HELP_OPEN_SKILL	Beceri Penceresini aç: V tuþu ile
HELP_OPEN_WHISPER	Fýsýltý Penceresini aç: üst karakter + giriþ tuþu ile
HELP_OPEN_ZONEMAP	Genel Görünüm Haritasý'ný aç: M tuþu ile
HELP_PICK_ITEM	Nesneleri topla: ", Z veya sol fare tuþu ile
HELP_QUICKSLOT	Hýzlý Eriþim Alanlarý
HELP_SCREEN_CAPTURE	Ekran görüntüsünü kaydet: Yazdýr veya Print tuþu ile ("Metin2\screenshot" dosyasý altýnda kaydedilecek)
HELP_SERVER	Sana sunucu ve kanalý gösterir.
HELP_SHOW_ALL_NAME	Ýsimleri göster: Alt tuþu ile
HELP_SKILL	Burada bir beceriyi sað fare tuþuyla kullanabilirsin.
HELP_SP	Mana Puaný (SP)
HELP_SYSTEM_BUTTON	Sistem Tuþlarý
INVENTORY_PAGE_BUTTON_TOOLTIP_1	1. Envanter
INVENTORY_PAGE_BUTTON_TOOLTIP_2	2. Envanter
INVENTORY_PAGE_BUTTON_TOOLTIP_3	3. Envanter
INVENTORY_PAGE_BUTTON_TOOLTIP_4	4. Envanter
INVENTORY_TITLE	Envanter
ITEM_MALL	Nesne Market
KEYCHANGE_ACTION_WINDOW	Eylemler
KEYCHANGE_ATTACK	Saldýr
KEYCHANGE_AUTORUN	Otomatik yürü
KEYCHANGE_AUTO_WINDOW	Otomatik Av
KEYCHANGE_BASEACTION	Temel Ayarlar
KEYCHANGE_CAM_DOWN1	Kamera (aþaðý)
KEYCHANGE_CAM_DOWN2	Kamera (aþaðý)
KEYCHANGE_CAM_LEFT1	Kamera (sol)
KEYCHANGE_CAM_LEFT2	Kamera (sol)
KEYCHANGE_CAM_RIGHT1	Kamera (sað)
KEYCHANGE_CAM_RIGHT2	Kamera (sað)
KEYCHANGE_CAM_UP1	Kamera (yukarý)
KEYCHANGE_CAM_UP2	Kamera (yukarý)
KEYCHANGE_CAM_ZOOM_IN1	Kamera (büyüteç +)
KEYCHANGE_CAM_ZOOM_IN2	Kamera (büyüteç +)
KEYCHANGE_CAM_ZOOM_OUT1	Kamera (büyüteç -)
KEYCHANGE_CAM_ZOOM_OUT2	Kamera (büyüteç -)
KEYCHANGE_CANCLE	Ýptal
KEYCHANGE_CHAT_WINDOW	Sohbet Protokolü
KEYCHANGE_CLEAR	Standart
KEYCHANGE_DDS_WINDOW	DSS
KEYCHANGE_DOWN1	Geri
KEYCHANGE_DOWN2	Geri
KEYCHANGE_DSS1	DS [Gökyüzü]
KEYCHANGE_DSS2	DS [Dünya]
KEYCHANGE_EMOTION1	Duygu (üzgün)
KEYCHANGE_EMOTION2	Duygu (Yang)
KEYCHANGE_EMOTION3	Duygu (müzik)
KEYCHANGE_EMOTION4	Duygu (kalp)
KEYCHANGE_EMOTION5	Duygu (kalp)
KEYCHANGE_EMOTION6	Duygu (bomba)
KEYCHANGE_EMOTION7	Duygu (fikir)
KEYCHANGE_EMOTION8	Duygu (fýrtýna)
KEYCHANGE_EMOTION9	Duygu (özür)
KEYCHANGE_GUILD_WINDOW	Lonca
KEYCHANGE_HELP_WINDOW	Yardým
KEYCHANGE_IMPOSSIBLE_CHANGE	[CTRL], [ALT], [SHIFT] burada kullanýlamaz!
KEYCHANGE_INGAMEEVENT	ETKÝNLÝK
KEYCHANGE_INTERFACE	Pencere
KEYCHANGE_INVENTORY_WINDOW	Envanter
KEYCHANGE_KEY_SETTING	Klavye Ayarlarý
KEYCHANGE_LEFT1	Sol
KEYCHANGE_LEFT2	Sol
KEYCHANGE_MESSENGER_WINDOW	Arkadaþlar
KEYCHANGE_MINIMAP_MINER	Mini Harita (-)
KEYCHANGE_MINIMAP_PLUS	Mini Harita (+)
KEYCHANGE_MINIMAP_WINDOW	Genel Görünüm Haritasý
KEYCHANGE_MONSTER_CARD_WINDOW	Canavar Kartý
KEYCHANGE_NEXT_TARGET	Sonraki hedef
KEYCHANGE_PARTY_MATCH_WINDOW	Grup aramasý
KEYCHANGE_PET_WINDOW	Pet
KEYCHANGE_QUEST_SCROLL_ONOFF	Görev göstergesi
KEYCHANGE_QUEST_WINDOW	Görevler
KEYCHANGE_QUICKSLOT1	1. kat
KEYCHANGE_QUICKSLOT2	2. kat
KEYCHANGE_QUICKSLOT3	3. kat
KEYCHANGE_QUICKSLOT4	4. kat
KEYCHANGE_RIDE	Biniþ
KEYCHANGE_RIDE_BYE	Atý gönder
KEYCHANGE_RIDE_HORSE	Biniþ
KEYCHANGE_RIDE_PEED	Atý yemle
KEYCHANGE_RIGHT1	Sað
KEYCHANGE_RIGHT2	Sað
KEYCHANGE_ROOT1	Kaldýr
KEYCHANGE_ROOT2	Kaldýr
KEYCHANGE_SAVE	Kaydet
KEYCHANGE_SCREENSHOT	Þipþak
KEYCHANGE_SHOW_NAME	Ýsmi göster
KEYCHANGE_SKILL_WINDOW	Beceriler
KEYCHANGE_SLOT1	Boþluk 1
KEYCHANGE_SLOT2	Boþluk 2
KEYCHANGE_SLOT3	Boþluk 3
KEYCHANGE_SLOT4	Boþluk 4
KEYCHANGE_SLOT5	Boþluk 5
KEYCHANGE_SLOT6	Boþluk 6
KEYCHANGE_SLOT7	Boþluk 7
KEYCHANGE_SLOT8	Boþluk 8
KEYCHANGE_SLOT_KET	Hýzlý Eriþim
KEYCHANGE_STATUS_WINDOW	Karakter
KEYCHANGE_UP1	Ýleri
KEYCHANGE_UP2	Ýleri
LANGUAGE_AE	Arapça
LANGUAGE_CZ	Çekçe
LANGUAGE_DE	Almanca
LANGUAGE_DK	Danca
LANGUAGE_EN	Ýngilizce
LANGUAGE_ES	Ýspanyolca
LANGUAGE_FR	Fransýzca
LANGUAGE_GR	Yunanca
LANGUAGE_HU	Macarca
LANGUAGE_IT	Ýtalyanca
LANGUAGE_NL	Flamanca
LANGUAGE_PL	Lehçe
LANGUAGE_PT	Portekizce
LANGUAGE_RO	Rumence
LANGUAGE_RU	Rusça
LANGUAGE_TR	Türkçe
LOAD_ERROR	Dosya hasar görmüþ. Lütfen yenisini yükleyiniz. Þimdi ESC tuþuna basýnýz .
LOGIN_CONNECT	Baðlan
LOGIN_CONNECTING	Servera baðlanacaksýnýz.
LOGIN_DEFAULT_SERVERADDR	Server ismi, Kanal 1
LOGIN_EXIT	Çýkýþ
LOGIN_ID	Kullanýcý adý
LOGIN_PASSWORD	Þifre
LOGIN_REGION_TITLE	Fatura gönderilecek yer seç.
LOGIN_SELECT_BUTTON	Seç
LOGIN_SELECT_EXIT	Çýkýþ
LOGIN_SELECT_OK	OK
LOGIN_SELECT_TITLE	Server Seç
LUCKY_BOX_NOTICE_YANG	Yeni eþya þansý için Yang bedeli
LUCKY_BOX_RECV_BUTTON	Eþyayý kabul et
LUCKY_BOX_RECV_NAME	Ýçerik:
LUCKY_BOX_RETRY_BUTTON	Yeni eþya þansý
LUCKY_BOX_TITLE_NAME	Þans kutusu
MAILBOX_POST_ALL_DELETE_BUTTON	Tümünü sil
MAILBOX_POST_ALL_RECEIVE	Tümünü kabul et
MAILBOX_POST_READ_BLOCK	Engelle
MAILBOX_POST_READ_DELETE	Sil
MAILBOX_POST_READ_FROM	Bundan:
MAILBOX_POST_READ_MAIN_TITLE	Mesaj
MAILBOX_POST_READ_RECV	Kabul et
MAILBOX_POST_READ_TITLE	Konu
MAILBOX_POST_SEND_TITLE	Mesaj
MAILBOX_POST_WRITE_BUTTON_TEXT	Gönder
MAILBOX_POST_WRITE_CLOSE_TEXT	Kapat
MAILBOX_POST_WRITE_CONFIRM_TEXT	Alýcýyý kontrol et
MAILBOX_POST_WRITE_SEND_TEXT	Gönder
MAILBOX_POST_WRITE_TITLE	Konu
MAILBOX_POST_WRITE_TO	Alýcý
MAILBOX_TITLE	Gelen kutusu
MALL_PASSWORD_TITLE	þifre
MALL_TITLE	Nesne Marketi Deposu
MARKET_TITLE	Yükle
MARKLIST_REFRESH	Yenile
MARKLIST_TITLE	Lonca imzasýný kaydet
MC_EXCHANGE_BUTTON	Deðiþtir
MC_MISSION_INIT_BUTTON	Görev seviyesini sýfýrla
MC_MOTION_BUTTON	Hareket
MC_POLY_BUTTON	Dönüþtür
MC_PROMOTION_BUTTON	Geliþtir
MC_REQUEST_MISSION_BUTTON	Görev alýndý
MC_REWARD_CARD_BUTTON	Canavar kartý alýndý
MC_SHUFFLE_BUTTON	Görev kartýný yeniden düzenle
MC_SUMMON_BUTTON	Çaðýr
MC_TAB_BUTTON_CARD_MISSION	Kart görevi
MC_TAB_BUTTON_PARTY	Zindan koleksiyonu
MC_TAB_BUTTON_SOLO	Alan koleksiyonu
MC_WARP_BUTTON	Iþýnlanma
MESSAGE	Bu bir Mesaj
MESSENGER_ADD_FRIEND	Arkadaþ Ekle
MESSENGER_BLOCK_FRIEND	Engelle
MESSENGER_DELETE_FRIEND	Sil
MESSENGER_MOBILE	Metin Mesajý Gönder
MESSENGER_OPEN_GUILD	Lonca Penceresini Aç
MESSENGER_TITLE	Arkadaþlar
MESSENGER_USE_GUILD_MOVE_SKILL	Lonca Hareket Becerisini Kullan
MESSENGER_WHISPER	Fýsýltý
MINIGAME_FISH_EVENT_USE_COUNT	Miktar
MINIMIZE	Küçült [ESC]
MINI_BOSS_DUNGEON_DESC_BTN	Etkinlik kurallarý
MINI_BOSS_DUNGEON_TITLE_NAME	Katýlýmcýlar
MINI_BOSS_DUNGEON_TITLE_NUM	Rütbe
MINI_BOSS_DUNGEON_TITLE_POINT	Kýyamet puanlarý
MINI_BOSS_DUNGEON_TOOTIP_01	Zindan genel görünümü
MINI_BOSS_DUNGEON_TOOTIP_02	Seviye 40 - 80 için kýyamet
MINI_BOSS_DUNGEON_TOOTIP_03	Seviye 81 üstü kýyamet
MINI_BOSS_DUNGEON_TOOTIP_04	Gir
MINI_BOSS_DUNGEON_TOOTIP_05	Kalan süre
MINI_BOSS_DUNGEON_TOOTIP_06	Kýyamet puanlarým
MINI_BOSS_DUNGEON_TOOTIP_07	Kalan kýyametler
MINI_BOSS_DUNGEON_TOOTIP_08	Ödülüm
MINI_BOSS_TITLE	Zodyak kýyameti
MINI_GAME_BLACK_AND_WHITE_DONATE	Baðýþlar
MINI_GAME_BLACK_AND_WHITE_GAME_TITLE	Kahin Yarýþmasý
MINI_GAME_BLACK_AND_WHITE_RANK_BUTTON	Sýralama Listesi
MINI_GAME_BLACK_AND_WHITE_REWARD_TRADE	Ödüller
MINI_GAME_BLACK_AND_WHITE_START_BUTTON	Baþla
MINI_GAME_BLACK_AND_WHITE_WAITTING_TITLE	Kahin Yarýþmasý
MINI_GAME_CATCHKING_CHALLENGE	Girdi
MINI_GAME_CATCHKING_HELP_TEXT	Kurallar
MINI_GAME_CATCHKING_HIGH_SCORE	En yüksek skor
MINI_GAME_CATCHKING_MYNUMBER	Kartým
MINI_GAME_CATCHKING_POPUP_CONFIRM	Pop-Up açýk/kapalý
MINI_GAME_CATCHKING_RETRY	Yeniden oyna
MINI_GAME_CATCHKING_REWARD	Ödülün
MINI_GAME_CATCHKING_SCORE	Puan
MINI_GAME_CATCHKING_SELECTION_NUMBER	Açýlan kartlar
MINI_GAME_CATCHKING_START_TEXT	Baþla
MINI_GAME_CATCHKING_TITLE	Kralý yakala
MINI_GAME_FISH_HELP_TEXT	Yardým
MINI_GAME_FISH_START_TEXT	Baþla
MINI_GAME_FISH_TITLE	Balýk yapboz oyunu
MINI_GAME_RUMI_DISCARD_TEXT	Güvenli Mod
MINI_GAME_RUMI_EXIT	Bitir
MINI_GAME_RUMI_LBUTTON_DESC	Kartý sola týklayarak ekle
MINI_GAME_RUMI_RBUTTON_DESC	Kartý saða týklayarak sil
MINI_GAME_RUMI_SCORE	Puan
MINI_GAME_RUMI_START_TEXT	Baþla
MINI_GAME_RUMI_TITLE	Metin2 Okey Kart Oyunu
MINI_GAME_YUTNORI_COM_TEXT	Bilgisayar
MINI_GAME_YUTNORI_PLAYER_TEXT	Oyuncular
MINI_GAME_YUTNORI_PROBABILITY	Olasýlýk
MINI_GAME_YUTNORI_PROB_DESC	Daha yüksek bir olasýlýk kazandýrmak için bir Yut atýþý seç.
MINI_GAME_YUTNORI_REMAIN_COUNT	Hamleler
MINI_GAME_YUTNORI_REWARD_TEXT	Ödül
MINI_GAME_YUTNORI_SCORE	Puan durumu
MINI_GAME_YUTNORI_START_TEXT	Baþla
MINI_GAME_YUTNORI_THROW	At
MINI_GAME_YUTNORI_TITLE	Yutnori
MINI_GAME_YUTNORI_YUTSEM1	Do
MINI_GAME_YUTNORI_YUTSEM2	Ge
MINI_GAME_YUTNORI_YUTSEM3	Geol
MINI_GAME_YUTNORI_YUTSEM4	Yut
MINI_GAME_YUTNORI_YUTSEM5	Mo
MINI_GAME_YUTNORI_YUTSEM6	Back-do
MISTS_ISLAND_EMPIRE_NAME	Krallýk adý
MISTS_ISLAND_EMPIRE_SCORE	Krallýk puaný
MISTS_ISLAND_END_TIME	Bitiþ tarihi
MISTS_ISLAND_EXIT	Vazgeç
MISTS_ISLAND_INFO_TEXT	Rütbe ve durum bilgisi
MISTS_ISLAND_RANK	Rütbe
MISTS_ISLAND_SCORE	Puan
MISTS_ISLAND_TITLE_RANK	Rütbe ve durumla ilgili bilgi
MISTS_ISLAND_TITLE_SCORE	Genel görünüm
MOUSEBUTTON_ATTACK	Saldýrý
MOUSEBUTTON_AUTO_ATTACK	Otomatik Saldýrý
MOUSEBUTTON_CAMERA	Kamera
MOUSEBUTTON_SKILL	Beceriler
MUSICLIST_TITLE	Müzik Seçimi
MYSHOP_DECO_CANCEL	Kapat
MYSHOP_DECO_DEFAULT	Standart
MYSHOP_DECO_NEXT	Devam
MYSHOP_DECO_OK	Bitir
MYSHOP_DECO_PREV	Geri
MYSHOP_DECO_SELECT_MODEL	Marketinin görünümünü seç.
MYSHOP_DECO_SELECT_TITLE	Baþlýðýnýn görünümünü seç.
NO	Hayýr
OK	Tamam
OPPOSITES	Reddet
OPTION_ALWAYS_SHOW_NAME	Isim
OPTION_ALWAYS_SHOW_NAME_OFF	Sýnýrlý
OPTION_ALWAYS_SHOW_NAME_ON	Her Zaman
OPTION_BLOCK	Engelle
OPTION_BLOCK_EXCHANGE	Ticaret
OPTION_BLOCK_FRIEND	Arkadaþlar
OPTION_BLOCK_GUILD	Lonca
OPTION_BLOCK_PARTY	Grup
OPTION_BLOCK_PARTY_REQUEST	Rica
OPTION_BLOCK_WHISPER	Fýsýltý
OPTION_CAMERA_DISTANCE	Kamera
OPTION_CAMERA_DISTANCE_LONG	Uzak Mesafe
OPTION_CAMERA_DISTANCE_SHORT	Kýsa Mesafe
OPTION_DELETE_MOBILE_BUTTON	Cep Telefonu Numaraný Sil
OPTION_EFFECT	Önemli Bilgiler
OPTION_ENV_EFFECT	Çevre
OPTION_ENV_EFFECT_OFF	Off
OPTION_ENV_EFFECT_ON	On
OPTION_FOG	Sis
OPTION_FOG_DENSE	Yoðun
OPTION_FOG_LIGHT	Hafif
OPTION_FOG_MIDDLE	Normal
OPTION_FOG_OFF	Kapalý
OPTION_FOG_ON	Açýk
OPTION_INPUT_MOBILE_BUTTON	Cep Telefonu Numarasý Gir
OPTION_KEY_SETTING	Klavye
OPTION_LANGUAGE_CHANGE	Uygula
OPTION_LANGUAGE_SELECT	Dil
OPTION_MOBILE	Cep Telefonu
OPTION_MOB_INFO	Canavar Bil.
OPTION_MOB_INFO_AGGR	Saldýrgan
OPTION_MOB_INFO_LEVEL	Seviye
OPTION_MUSIC	Müzik
OPTION_MUSIC_CHANGE	Deðiþtir
OPTION_MUSIC_DEFAULT_THEMA	Metin2 Standart Müziði
OPTION_NAME_COLOR	Renk ismi
OPTION_NAME_COLOR_EMPIRE	Ülke Rengi
OPTION_NAME_COLOR_NORMAL	Normal
OPTION_NIGHT_MODE	Gece
OPTION_NIGHT_MODE_OFF	Off
OPTION_NIGHT_MODE_ON	On
OPTION_PVPMODE	PvP Modu
OPTION_PVPMODE_FREE	Serbest
OPTION_PVPMODE_FREE_TOOLTIP	Tüm oyunculara saldýrma izni var.
OPTION_PVPMODE_GUILD	Lonca
OPTION_PVPMODE_GUILD_TOOLTIP	Lonca üyeleri hariç tüm oyunculara saldýrma izni var.
OPTION_PVPMODE_PEACE	Barýþ
OPTION_PVPMODE_PEACE_TOOLTIP	Kendi krallýðýnýn oyuncularýna saldýramazsýn.
OPTION_PVPMODE_REVENGE	Düþman
OPTION_PVPMODE_REVENGE_TOOLTIP	Sadece farklý ülkelerden olanlara saldýrabilirsiniz.
OPTION_SETTING	Aç
OPTION_SNOW_MODE	Kar Yaðýþý
OPTION_SNOW_MODE_OFF	Off
OPTION_SNOW_MODE_ON	On
OPTION_SNOW_TEXTURE_MODE	Kar
OPTION_SNOW_TEXTURE_MODE_OFF	Off
OPTION_SNOW_TEXTURE_MODE_ON	On
OPTION_SOUND	Efektler
OPTION_TARGET_BOARD	Hedef Tahtasý
OPTION_TARGET_BOARD_NO_VIEW	Kapat
OPTION_TARGET_BOARD_VIEW	Göster
OPTION_TITLE	Seçenekler
OPTION_VIEW_CHAT	Sohbet Satýrý
OPTION_VIEW_CHAT_OFF	Gizle
OPTION_VIEW_CHAT_ON	Göster
PARTY_MATCH_TEXT_DUNGEON_NAME	Zindan
PARTY_MATCH_TEXT_DUNGEON_SELECT	Zindan seç
PARTY_MATCH_TEXT_ENTREE_LEVEL	Seviye: %d
PARTY_MATCH_TEXT_LEVEL_LIMIT	Seviye talebi
PARTY_MATCH_TEXT_REQUEST_MATCH	Arama
PARTY_MATCH_TEXT_REQUEST_MATCH_CANCEL	Ýptal
PARTY_MATCH_TEXT_REQUIRED_ITEMS	Eþya talebi
PARTY_MEMBER_INFO_NAME	Grup Üyesinin Ýsmi
PASSWORD_DESC_1	Depoyu açmak için,
PASSWORD_DESC_2	þifreyi gir.
PASSWORD_DESC_3	Þifreni deðiþtirdin mi?
PASSWORD_DESC_4	Deðiþtirmediysen þifren þudur: "000000".
PASSWORD_DESC_5	Þifreni depoda deðiþtir.
PASSWORD_TITLE	Þifre Kaydetme
PET_AGE_TEXT	Pet yaþý
PET_ATTR_CHANGE_ITEM_TEXT	Pet efsunla
PET_ATTR_CHANGE_TITLE	Pet tipini deðiþtir
PET_ATTR_CONFIRMATION	Deðiþtir
PET_ATTR_DETERMINE_TITLE	Yeni pet tipi
PET_ATTR_OK	Kapat
PET_CHANGE_TEXT	Pet
PET_FEED_TITLE	Besle
PET_FFED_BUTTON_TEXT	Besle
PET_HATCHING_BUTTON	Yumurtadan çýk
PET_HATCHING_NIK	Pet adý
PET_HATCHING_WINDOW_TITLE	Kuluçka Makinesi
PET_INFORMATION_ABILITIES	Bonuslar
PET_INFORMATION_AGE	Yaþ
PET_INFORMATION_COSTUME_BONUS	Kostüm Bonusu
PET_INFORMATION_DEFENCE	Savunma
PET_INFORMATION_EVOL_BUTTON	Geliþme
PET_INFORMATION_EXP	Tecrübe
PET_INFORMATION_EXP_BUTTON	Nesne EXP
PET_INFORMATION_HP	HP
PET_INFORMATION_LEVEL	Seviye
PET_INFORMATION_LIFE	Süre
PET_INFORMATION_LIFETIME_BUTTON	Besle
PET_INFORMATION_LIFE_TIME	Saat
PET_INFORMATION_SKILL	Beceri
PET_INFORMATION_SP	SP
PET_INFORMATION_TITLE	Pet
PET_NAME_CHANGE_BUTTON	Deðiþtir
PET_NAME_CHANGE_WINDOW_TITLE	Ýsmi deðiþtir
PET_REVIVE_BUTTON	Dirilt
PET_REVIVE_CANCEL_BUTTON	Ýptal et
PET_REVIVE_MATERIAL_TITLE	Malzeme
PET_REVIVE_REUSLT_TEXT	Sonuç
PET_REVIVE_TARGET	Diriltilecek pet
PET_REVIVE_TITLE	Pet diriltme
PICK_MONEY_TITLE	Bölmek
PRIVATESHOPSEARCH_BUY	Satýn al
PRIVATESHOPSEARCH_COUNT	Miktar
PRIVATESHOPSEARCH_ITEMNAME	Ýsim
PRIVATESHOPSEARCH_ITEMTYPE	Nesneler
PRIVATESHOPSEARCH_JOB	Sýnýf
PRIVATESHOPSEARCH_LEVEL	Seviye
PRIVATESHOPSEARCH_PRICE	Fiyat
PRIVATESHOPSEARCH_REFINE	Nesne Seviyesi
PRIVATESHOPSEARCH_SEARCH	Arama
PRIVATESHOPSEARCH_SEARCH_BAR	Ara
PRIVATESHOPSEARCH_SELECT	Seç
PRIVATESHOPSEARCH_SELLER	Satýcý
PRIVATE_SHOP_CLOSE_BUTTON	Dükkaný kapat
PRIVATE_SHOP_NAME	Dükkan ismi
PRIVATE_SHOP_TITLE	Özel dükkan aç
QUEST_UI_TEXT_COLLECTION	Biyolog görevleri
QUEST_UI_TEXT_DAILY	Günlük görev
QUEST_UI_TEXT_EVENT	Etkinlik görevleri
QUEST_UI_TEXT_LEVELUP	Av görevi
QUEST_UI_TEXT_MAIN	Genel görevler
QUEST_UI_TEXT_SCROLL	Görev kitabý görevleri
QUEST_UI_TEXT_SUB	Yan görevler
QUEST_UI_TEXT_SYSTEM	Oyun görevleri
REFINE_COST	Yükseltme Ücreti: 0 Yang
REFINE_ELEMENT_CHANGE_COST_TITLE	Maliyetler
REFINE_ELEMENT_CHANGE_DARK	Karanlýk
REFINE_ELEMENT_CHANGE_EARTH	Dünya
REFINE_ELEMENT_CHANGE_ELECT	Þimþek
REFINE_ELEMENT_CHANGE_FIRE	Ateþ
REFINE_ELEMENT_CHANGE_ICE	Buz
REFINE_ELEMENT_CHANGE_TITLE	Elementi deðiþtir
REFINE_ELEMENT_CHANGE_WIND	Rüzgar
REFINE_ELEMENT_DOWNGRADE_TITLE	Rütbe düþüþü
REFINE_ELEMENT_UPGRADE_TITLE	Geliþtirme
REFINE_INFO	Baþarýlý bir geliþtirme olasýlýðý: %100
REFINE_MONEY	Arýndýrma Ücreti
REFINE_SELECT	Arýndýrma
REFINE_TTILE	Yükseltme
REPORT_VIOLENT_WHISPER	
RESTART_GIVEUP	Vazgeç
RESTART_HERE	Burada yeniden baþla
RESTART_IMMEDIATE	Reenkarnasyon
RESTART_TOWN	Þehirde yeniden baþla
ROULETTE_SPECIAL_TITLE	Ödüller (%s)
ROULETTE_SPIN_TEXT1	ÇEVÝR
ROULETTE_SPIN_TEXT2	50 Ruh
ROULETTE_SPIN_TEXT3	250.000 Yang
ROULETTE_TITLE	Ödüller
SAFE_CHANGE_PASSWORD	Þifre Deðiþtir
SAFE_TITLE	Depo
SELECT_ATTR_CHANGED	Yeni
SELECT_ATTR_CURRENT	Eski
SELECT_ATTR_SELECT	Seç
SELECT_ATTR_TITLE	Efsun Nesnesi+
SELECT_ATT_GRADE	STR
SELECT_CREATE	Oluþtur
SELECT_DELETE	Sil
SELECT_DEX_GRADE	DEX
SELECT_EMPIRE_NAME	Krallýk Ýsmi
SELECT_EXIT	Çýkýþ
SELECT_HP	HP
SELECT_LEVEL	Seviye
SELECT_METIN_STONE_TITLE	Zihin Taþý Seç
SELECT_NAME	Isim
SELECT_NO_GUILD	Lonca Yok
SELECT_PLAYTIME	Oyun Süresi
SELECT_SELECT	Baþla
SELECT_SP	INT
SELECT_TITLE	Baþlýk Seç
SHOP_BUY	Satýn Al
SHOP_SELL	Sat
SHOP_TITLE	Dükkan
SKILL_SUPPORT_TITLE	Standart Beceriler
STEP	Saflýk Derecesi
STEP_SELECT	Saflýk Derecesi
STRENGTH	Güçlendirme
STRENGTH_SELECT	Seviye
STRUCTURE_VIEW_MODE	Dekorasyon
STRUCTURE_VIEW_TYPE_STRUCTURE	Gizle
SYSTEMOPTION_TITLE	Sistem Seçenekleri
SYSTEM_CHANGE	Karakter Deðiþikliði
SYSTEM_EXIT	Oyun Sonu
SYSTEM_HELP	Yardým
SYSTEM_LOGOUT	Çýkýþ
SYSTEM_MALL	Nesne Market
SYSTEM_MOVE_CHANNEL	Kanal deðiþtir
SYSTEM_OPTION	Sistem Seçenekleri
TASKBAR_CHARACTER	Karakter [C/V/B/N]
TASKBAR_CHAT	Sohbet Penceresi [Enter]
TASKBAR_DISABLE	Devre dýþý
TASKBAR_DRAGON_SOUL	Ejderha Taþý Simyasý [O]
TASKBAR_EXPAND	Paneli geniþlet
TASKBAR_INVENTORY	Envanter [I]
TASKBAR_MESSENGER	Arkadaþlar [Alt+M]
TASKBAR_MONEY_EXPAND	Sermaye
TASKBAR_NEXT_QUICKSLOT	Sonraki Hýzlý Giriþ Alaný [Shift+Number, Alt]
TASKBAR_PET_INFO	Pet Bilgisi
TASKBAR_PREV_QUICKSLOT	Önceki Hýzlý Giriþ Alaný[Shift+Number]
TASKBAR_SYSTEM	Seçenekler[ESC]
TOTAL_RANKING	Toplam Sýralama Listesi
WARP_MI_LABEL	Saldýrýlan tapýnaða git
WEEKLY_RANKING	Haftalýk Sýralama Listesi
WHISPER_BAN	Engelle
WHISPER_NAME	Fýsýltý
WHISPER_REPORT	
WHISPER_SEND	Gönder
YES	Evet
ZONE_MAP	Genel Görünüm Haritasý
PET_MISSING_1	Beceri
PET_MISSING_2	HP
PET_MISSING_3	Güç ve canavar
PET_MISSING_4	Ortalama Zarar[PVM]
PET_MISSING_5	Seviye
PET_MISSING_6	Tecrübe
PET_MISSING_7	Yaþ
PET_MISSING_8	Pet Sistemi
HIDE_2_OPTION	Efektleri Gizle
HIDE_2_OPTION0	Zýrh Parlamasý
HIDE_2_OPTION1	Silah Parlamasý
HIDE_2_OPTION2	Buff
HIDE_2_OPTION3	Beceri
HIDE_OPTION	Gizle
HIDE_OPTION0	Binek
HIDE_OPTION1	Pet
HIDE_OPTION2	Buffi
HIDE_OPTION3	Pazar
HIDE_OPTION4	Pazar Ýsimi.
