TARGET_INFO_DROP_ITEMS	Información de Ítems Dropeables
GUILD_WAR_GAMETIME_TEN	10 minutos
GUILD_WAR_GAMETIME_THIRTY	30 minutos
GUILD_WAR_LIMIT_30MIN	Tiempo: 30 minutos
GUILD_WAR_REWARD_POTION	Recompensa: El ganador recibe una poción.
GUILD_WAR_SELECT_WAR	Escoger tipo de batalla
GUILD_WAR_TYPE_DEFENSE	Lucha de escudos
GUILD_WAR_TYPE_DIE	Lucha en la arena
GUILD_WAR_TYPE_FLAG	Lucha por bandera
GUILD_WAR_TYPE_NORMAL	Batalla de campo
GUILD_WAR_TYPE_TIGER	Lucha de destrucción
GUILD_WAR_TYPE_TIME	Ataque temporal
GUILD_WAR_USE_BATTLE_MAP	Lugar: Arena de guerra de gremios
GUILD_WAR_USE_NORMAL_MAP	Lugar: Mapa normal
GUILD_WAR_WIN_CHECK_SCORE	El mayor resultado gana la guerra.
GUILD_WAR_WIN_FIVE	Cinco rondas
GUILD_WAR_WIN_ONE	Una ronda
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Conquista la bandera del enemigo
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	y llévala a tu base.
GUILD_WAR_WIN_THREE	Tres rondas
GUILD_WAR_WIN_WIPE_OUT_GUILD	Derrota a todos los enemigos para ganar.
GUILD_WITHDRAW	Alternativa
GUILD_YOU_DO_NOT_JOIN	No eres miembro de ningún gremio
HORSE_HEALTH0	Muerto
HORSE_HEALTH1	Muerto de hambre
HORSE_HEALTH2	Hambriento
HORSE_HEALTH3	Lleno
HORSE_LEVEL1	Caballo Normal
HORSE_LEVEL2	Caballo de Batalla
HORSE_LEVEL3	Caballo Militar
HOUR	h
HOW_MANY_ITEM_DO_YOU_DROP1	¿Deseas tirar %s?
HOW_MANY_ITEM_DO_YOU_DROP2	¿Deseas tirar %s %d?
INPUT_MATRIX_CARD_NUMBER	Introduce código de Tarjeta Matrix.
INPUT_MATRIX_CARD_TITLE	Tarjeta Matrix
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Introduce aquí el código de borrado de los ajustes de tu cuenta.
INPUT_PRIVATE_CODE_DIALOG_TITLE	Borrar personaje
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Papel de retorno no puede ser combinado.
INVENTORY_REALLY_USE_ITEM	¿Deseas usar el objeto en este objeto?
INVENTORY_REALLY_USE_ITEM2	¿Seguro que quieres utilizar este objeto?
INVENTORY_REALLY_USE_PET_BAG_ITEM	¿Seguro que quieres meter a tu mascota en el Trasportín?
INVENTORY_REALLY_USE_PET_BAG_TAKE_OUT	¿Quieres abrir el Trasportín?
INVENTORY_REALLY_USE_PET_FEEDSTUFF_ITEM	¿Quieres alimentar con %s a %s?
IS_NOT_PET_CHANGE_ITEM	Este no es el objeto Hechizar mascota.
IS_NOT_PET_ITEM	Eso no es una mascota.
JOB_ASSASSIN	Ninja
JOB_ASSASSIN0	Ninguno
JOB_ASSASSIN1	Ninja cuerpo a cuerpo
JOB_ASSASSIN2	Ninja a distancia
JOB_SHAMAN	Chamán
JOB_SHAMAN0	Ninguno
JOB_SHAMAN1	Chamán Dragón
JOB_SHAMAN2	Chamán Curación
JOB_SURA	Sura
JOB_SURA0	Ninguno
JOB_SURA1	Sura Armamento
JOB_SURA2	Sura Magia Negra
JOB_WARRIOR	Guerrero
JOB_WARRIOR0	Ninguno
JOB_WARRIOR1	Guerrero Corporal
JOB_WARRIOR2	Guerreros Mental
JOB_WOLFMAN	Lícano
JOB_WOLFMAN0	Lícano principiante
JOB_WOLFMAN1	Instinto
JOB_WOLFMAN2	N.A.
KEYCHANGE_DONT_SAVE_EXIT	¿Cerrar sin guardar?
KEYCHANGE_IMPOSSIBLE_CHANGE	¡Aquí no se puede utilizar [Control], [Alt], [Shift]!
KEYCHANGE_SAVE_EXIT	¿Guardar y cerrar?
KEY_0	0
KEY_0_LALT	ALT + 0
KEY_0_LCONTROL	CONTROL + 0
KEY_0_LSHIFT	SHIFT + 0
KEY_1	1
KEY_1_LALT	ALT + 1
KEY_1_LCONTROL	CONTROL + 1
KEY_1_LSHIFT	SHIFT + 1
KEY_2	2
KEY_2_LALT	ALT + 2
KEY_2_LCONTROL	CONTROL + 2
KEY_2_LSHIFT	SHIFT + 2
KEY_3	3
KEY_3_LALT	ALT + 3
KEY_3_LCONTROL	CONTROL + 3
KEY_3_LSHIFT	SHIFT + 3
KEY_4	4
KEY_4_LALT	ALT + 4
KEY_4_LCONTROL	CONTROL + 4
KEY_4_LSHIFT	SHIFT + 4
KEY_5	5
KEY_5_LALT	ALT + 5
KEY_5_LCONTROL	CONTROL + 5
KEY_5_LSHIFT	SHIFT + 5
KEY_6	6
KEY_6_LALT	ALT + 6
KEY_6_LCONTROL	CONTROL + 6
KEY_6_LSHIFT	SHIFT + 6
KEY_7	7
KEY_7_LALT	ALT + 7
KEY_7_LCONTROL	CONTROL + 7
KEY_7_LSHIFT	SHIFT + 7
KEY_8	8
KEY_8_LALT	ALT + 8
KEY_8_LCONTROL	CONTROL + 8
KEY_8_LSHIFT	SHIFT + 8
KEY_9	9
KEY_9_LALT	ALT + 9
KEY_9_LCONTROL	CONTROL + 9
KEY_9_LSHIFT	SHIFT + 9
KEY_A	A
KEY_ADD	+
KEY_A_LALT	ALT + A
KEY_A_LCONTROL	CONTROL + A
KEY_A_LSHIFT	SHIFT + A
KEY_B	B
KEY_B_LALT	ALT + B
KEY_B_LCONTROL	CONTROL + B
KEY_B_LSHIFT	SHIFT + B
KEY_C	C
KEY_COMMA	,
KEY_COMMA_LALT	ALT + ,
KEY_COMMA_LCONTROL	CONTROL + ,
KEY_COMMA_LSHIFT	SHIFT + ,
KEY_C_LALT	ALT + C
KEY_C_LCONTROL	CONTROL + C
KEY_C_LSHIFT	SHIFT + C
KEY_D	D
KEY_DOWN	ABAJO
KEY_D_LALT	ALT + D
KEY_D_LCONTROL	CONTROL + D
KEY_D_LSHIFT	SHIFT + D
KEY_E	E
KEY_E_LALT	ALT + E
KEY_E_LCONTROL	CONTROL + E
KEY_E_LSHIFT	SHIFT + E
KEY_F	F
KEY_F1	F1
KEY_F10	F10
KEY_F10_LALT	ALT + F10
KEY_F10_LCONTROL	CONTROL + F10
KEY_F10_LSHIFT	SHIFT + F10
KEY_F1_LALT	ALT + F1
KEY_F1_LCONTROL	CONTROL + F1
KEY_F1_LSHIFT	SHIFT + F1
KEY_F2	F2
KEY_F2_LALT	ALT + F2
KEY_F2_LCONTROL	CONTROL + F2
KEY_F2_LSHIFT	SHIFT + F2
KEY_F3	F3
KEY_F3_LALT	ALT + F3
KEY_F3_LCONTROL	CONTROL + F3
KEY_F3_LSHIFT	SHIFT + F3
KEY_F4	F4
KEY_F4_LALT	ALT + F4
KEY_F4_LCONTROL	CONTROL + F4
KEY_F4_LSHIFT	SHIFT + F4
KEY_F5	F5
KEY_F5_LALT	ALT + F5
KEY_F5_LCONTROL	CONTROL + F5
KEY_F5_LSHIFT	SHIFT + F5
KEY_F6	F6
KEY_F6_LALT	ALT + F6
KEY_F6_LCONTROL	CONTROL + F6
KEY_F6_LSHIFT	SHIFT + F6
KEY_F7	F7
KEY_F7_LALT	ALT + F7
KEY_F7_LCONTROL	CONTROL + F7
KEY_F7_LSHIFT	SHIFT + F7
KEY_F8	F8
KEY_F8_LALT	ALT + F8
KEY_F8_LCONTROL	CONTROL + F8
KEY_F8_LSHIFT	SHIFT + F8
KEY_F9	F9
KEY_F9_LALT	ALT + F9
KEY_F9_LCONTROL	CONTROL + F9
KEY_F9_LSHIFT	SHIFT + F9
KEY_F_LALT	ALT + F
KEY_F_LCONTROL	CONTROL + F
KEY_F_LSHIFT	SHIFT + F
KEY_G	G
KEY_GRAVE	º
KEY_GRAVE_LALT	ALT + º
KEY_GRAVE_LCONTROL	CONTROL + º
KEY_GRAVE_LSHIFT	SHIFT + º
KEY_G_LALT	ALT + G
KEY_G_LCONTROL	CONTROL + G
KEY_G_LSHIFT	SHIFT + G
KEY_H	H
KEY_H_LALT	ALT + H
KEY_H_LCONTROL	CONTROL + H
KEY_H_LSHIFT	SHIFT + H
KEY_I	I
KEY_I_LALT	ALT + I
KEY_I_LCONTROL	CONTROL + I
KEY_I_LSHIFT	SHIFT + I
KEY_J	J
KEY_J_LALT	ALT + J
KEY_J_LCONTROL	CONTROL + J
KEY_J_LSHIFT	SHIFT + J
KEY_K	K
KEY_K_LALT	ALT + K
KEY_K_LCONTROL	CONTROL + K
KEY_K_LSHIFT	SHIFT + K
KEY_L	L
KEY_LALT	ALT
KEY_LCONTROL	CONTROL
KEY_LEFT	IZQUIERDA
KEY_LSHIFT	SHIFT
KEY_L_LALT	ALT + L
KEY_L_LCONTROL	CONTROL + L
KEY_L_LSHIFT	SHIFT + L
KEY_M	M
KEY_M_LALT	ALT + M
KEY_M_LCONTROL	CONTROL + M
KEY_M_LSHIFT	SHIFT + M
KEY_N	N
KEY_NUMLOCK	BLOQ NÚM
KEY_NUMPAD0	NÚM 0
KEY_NUMPAD1	NÚM 1
KEY_NUMPAD2	NÚM 2
KEY_NUMPAD3	NÚM 3
KEY_NUMPAD4	NÚM 4
KEY_NUMPAD5	NÚM 5
KEY_NUMPAD6	NÚM 6
KEY_NUMPAD7	NÚM 7
KEY_NUMPAD8	NÚM 8
KEY_NUMPAD9	NÚM 9
KEY_N_LALT	ALT + N
KEY_N_LCONTROL	CONTROL + N
KEY_N_LSHIFT	SHIFT + N
KEY_O	O
KEY_O_LALT	ALT + O
KEY_O_LCONTROL	CONTROL + O
KEY_O_LSHIFT	SHIFT + O
KEY_P	P
KEY_PERIOD	.
KEY_PERIOD_LALT	ALT + .
KEY_PERIOD_LCONTROL	CONTROL + .
KEY_PERIOD_LSHIFT	SHIFT + .
KEY_PGDN	AV PÁG
KEY_PGUP	RE PÁG
KEY_P_LALT	ALT + P
KEY_P_LCONTROL	CONTROL + P
KEY_P_LSHIFT	SHIFT + P
KEY_Q	Q
KEY_Q_LALT	ALT + Q
KEY_Q_LCONTROL	CONTROL + Q
KEY_Q_LSHIFT	SHIFT + Q
KEY_R	R
KEY_RIGHT	DERECHA
KEY_R_LALT	ALT + R
KEY_R_LCONTROL	CONTROL + R
KEY_R_LSHIFT	SHIFT + R
KEY_S	S
KEY_SPACE	ESPACIO
KEY_SUBTRACT	-
KEY_SYSRQ	IMPR PANT
KEY_S_LALT	ALT + S
KEY_S_LCONTROL	CONTROL + S
KEY_S_LSHIFT	SHIFT + S
KEY_T	T
KEY_TAB	TAB
KEY_T_LALT	ALT + T
KEY_T_LCONTROL	CONTROL + T
KEY_T_LSHIFT	SHIFT + T
KEY_U	U
KEY_UP	ARRIBA
KEY_U_LALT	ALT + U
KEY_U_LCONTROL	CONTROL + U
KEY_U_LSHIFT	SHIFT + U
KEY_V	V
KEY_V_LALT	ALT + V
KEY_V_LCONTROL	CONTROL + V
KEY_V_LSHIFT	SHIFT + V
KEY_W	W
KEY_W_LALT	ALT + W
KEY_W_LCONTROL	CONTROL + W
KEY_W_LSHIFT	SHIFT + W
KEY_X	X
KEY_X_LALT	ALT + X
KEY_X_LCONTROL	CONTROL + X
KEY_X_LSHIFT	SHIFT + X
KEY_Y	Y
KEY_Y_LALT	ALT + Y
KEY_Y_LCONTROL	CONTROL + Y
KEY_Y_LSHIFT	SHIFT + Y
KEY_Z	Z
KEY_Z_LALT	ALT + Z
KEY_Z_LCONTROL	CONTROL + Z
KEY_Z_LSHIFT	SHIFT + Z
LEADER_NAME	Nombre del líder
LEFT_TIME	Tiempo restante
LIMIT_LEVEL_GUILD	Nivel del gremio: %d
LOGIN_CONNECT_FAILURE	Error al conectar al servidor.
LOGIN_CONNECT_SUCCESS	Has sido conectado al servidor.
LOGIN_CONNETING	Por favor, espera. Te estás conectando al servidor.
LOGIN_FAILURE_ALREAY	Tu cuenta ya está conectada.
LOGIN_FAILURE_BACKEND_ERR	Ha ocurrido un error. Por favor, ponte en contacto con el servicio de asistencia.
LOGIN_FAILURE_BE_SAME_KEY	Problema de registro.
LOGIN_FAILURE_BLOCK_ID	Esta cuenta está bloqueada.
LOGIN_FAILURE_BLOCK_LOGIN	Servidor cerrado: ¡Por favor, elige uno de los otros servidores!
LOGIN_FAILURE_COUNTRY_ERR	El código del país es incorrecto.\nPor favor, ponte en contacto con el servicio de asistencia.
LOGIN_FAILURE_INTEGRTING	Esta cuenta se está fusionando. Por favor, inténtalo de nuevo más tarde.
LOGIN_FAILURE_IOVATION_ERR	Lo sentimos, ha surgido un error. Contacta con el servicio de asistencia.
LOGIN_FAILURE_NOBILL	Tu cuenta no tiene horas de juego.
LOGIN_FAILURE_NOT_EXIST_ID	Nombre de cuenta o contraseña incorrectos.
LOGIN_FAILURE_NOT_MAIL_CONFIRM	Se necesita confirmación por correo electrónico.
LOGIN_FAILURE_REPAIR_ID	Han sido restablecidos objetos para esta cuenta.
LOGIN_FAILURE_SAMELOGIN	Alguien se ha conectado con tu cuenta.
LOGIN_FAILURE_SHUTDOWN	Este servidor aún no está abierto.
LOGIN_FAILURE_STEAM_SESSION	La sesión ha caducado. Inicia de nuevo el cliente.
LOGIN_FAILURE_TNT_SESSION	No se ha podido abrir el cliente. Por favor, arranca de nuevo el lanzador e inicia sesión.
LOGIN_FAILURE_TOO_MANY_USER	No puedes conectar porque hay demasiados jugadores conectados.
LOGIN_FAILURE_UNKNOWN	No te puedes registrar por razones desconocidas.
LOGIN_FAILURE_WEB_BLOCK	Has sido bloqueado del sitio web. Por favor comprueba tus EMails.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	Has introducido un número incorrecto.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	Has introducido un número incorrecto tres veces. /n Tu conexión será deshabilitada.
LOGIN_FAILURE_WRONG_PASSWORD	Nombre de cuenta o contraseña incorrectos
LOGIN_INPUT_ID	Introduce el ID.
LOGIN_INPUT_PASSWORD	Introduce la contraseña.
LOGIN_PROCESSING	Registro en curso...
LUCKY_BOX_DIALOG_RECV_TEXT	¿Quieres aceptar el objeto?
LUCKY_BOX_DIALOG_RETRY_TEXT	¿Quieres volver a probar suerte?
MAILBOX_FAIL_USE_TIME_LIMIT	Actualizando el buzón. Inténtalo de nuevo más tarde.
MAILBOX_POST_ALL_DELETE_FAIL_EMPTY	No hay mensajes
MAILBOX_POST_ALL_DELETE_QUESTION1	¿Borrar todos los mensajes?
MAILBOX_POST_ALL_DELETE_QUESTION2	Los mensajes con adjunto no se borrarán.
MAILBOX_POST_ALL_GET_ITEMS_FAIL_EMPTY	No hay mensajes con adjunto en el buzón.
MAILBOX_POST_ALL_GET_ITEMS_QUESTION	¿Aceptar adjunto? (Previa deducción de un 5% de tasas por Yang)
MAILBOX_POST_DELETE_FAIL_EXIST_ITEMS	No se ha podido borrar el mensaje. Acepta primero el adjunto.
MAILBOX_POST_DELETE_QUESTION	¿Seguro que quieres borrar este mensaje?
MAILBOX_POST_GET_ITEMS_NOT_ENOUGHT_INVENTORY	No se ha podido aceptar los objetos. Tu inventario está lleno.
MAILBOX_POST_GET_ITEMS_QUESTION	¿Aceptar adjunto? (Previa deducción de un 5% de tasas por Yang)
MAILBOX_POST_GET_ITEMS_WON_OVERFLOW	No puedes aceptar más Won.
MAILBOX_POST_GET_ITEMS_YANG_OVERFLOW	No puedes aceptar más Yang.
MAILBOX_POST_GM_ARRIVE	Mensaje de GM
MAILBOX_POST_NOT_CONFIRM_INFO_1	Mensajes sin leer: %d
MAILBOX_POST_NOT_CONFIRM_INFO_2	Sin adjunto: %d / Con adjunto: %d
MAILBOX_POST_READ_BLOCK	¿Seguro que quieres bloquear a %s?
MAILBOX_POST_WRITE_ALREADY_ITEM	Solo puedes enviar un objeto por mensaje.
MAILBOX_POST_WRITE_CAN_NOT_SPLIT_ITEM	Separa los objetos en tu inventario antes de adjuntarlos a un mensaje.
MAILBOX_POST_WRITE_CONFIRM_FAIL	Destinatario desconocido No se ha podido enviar el mensaje.
MAILBOX_POST_WRITE_CONFIRM_FULL_MAILBOX	El buzón del destinatario está lleno. No se ha podido enviar el mensaje.
MAILBOX_POST_WRITE_LEVEL_LIMIT	Solo puedes enviar mensajes a partir del nivel 20.
MAILBOX_POST_WRITE_MONEY_NOT_ENOUGHT	No tienes suficiente Yang para enviar el mensaje.
MAILBOX_POST_WRITE_NAME_CHECK	Verifica el nombre del destinatario haciendo clic en "Comprobar destinatario".
MAILBOX_POST_WRITE_NAME_EMPTY	Introduce un destinatario.
MAILBOX_POST_WRITE_QUESTION1	¿Quieres enviar el mensaje a %s?
MAILBOX_POST_WRITE_QUESTION2	Tasa de envío: %d Yang
MAILBOX_POST_WRITE_SEND_FAIL_EMPTY_NAME	Introduce un destinatario.
MAILBOX_POST_WRITE_SEND_FAIL_EMPTY_TITLE	Introduce un asunto.
MAILBOX_POST_WRITE_SEND_MONEY_TITLE	Cantidad de dinero
MAILBOX_POST_WRITE_WRONG_ITEM	No puedes enviar objetos unidos al alma.
MAILBOX_POST_WRITE_WRONG_MESSAGE	El mensaje contiene palabras no válidas.
MAILBOX_POST_WRITE_WRONG_TITLE	El asunto contiene palabras no válidas.
MALL_CANNOT_INSERT	No puedes poner el objeto.
MALL_PASSWORD_TITLE	Contraseña
MAP_A1	Área Yongan
MAP_A2	Valle de Seungryong
MAP_A2_1	
MAP_A3	Área Yayang
MAP_AG	Jungrang
MAP_B1	Área Joan
MAP_B2	Valle de Imji
MAP_B3	Área Bokjung
MAP_BATTLE_FIELD	Zona de combate
MAP_BAY	Bahía de Nephrit
MAP_BAYBLACKSAND	Bahía de Nephrit
MAP_BG	Waryong
MAP_BOSS_AWAKEN_DAWNMIST	IM: Bosque Encantado
MAP_BOSS_AWAKEN_FLAME	IM: Fortaleza del Dragón Rojo
MAP_BOSS_AWAKEN_SKIPIA	IM: Gruta del Exilio
MAP_BOSS_AWAKEN_SNOW	IM: Torre de Vigilancia de Nemere
MAP_BOSS_CRACK_DAWNMIST	ET: Bosque Encantado
MAP_BOSS_CRACK_FLAME	ET: Fortaleza del Dragón Rojo
MAP_BOSS_CRACK_SKIPIA	ET: Gruta del Exilio
MAP_BOSS_CRACK_SNOW	ET: Torre de Vigilancia de Nemere
MAP_BOSS_LABYRINTH	Meseta de las Ilusiones
MAP_C1	Área Pyungmoo
MAP_C2	Valle de Bangsan
MAP_C3	Área Bakra
MAP_CAPE	Cabo del Dragón de Fuego
MAP_CAPEDRAGONHEAD	Cabo del Dragón de Fuego
MAP_CG	Imha
MAP_CZ_DUNGEON	Templo del zodíaco
MAP_DAWN	Acantilado de Gautama
MAP_DAWNMISTWOOD	Acantilado de Gautama
MAP_DAWNMIST_DUNGEON_01	Bosque Encantado
MAP_DEFENSE_WAVE	Defensa de la nave
MAP_DEFENSE_WAVE_PORT	Puerto
MAP_DESERT	Desierto Yongbi
MAP_DEVILCATACOMB	Catacumba del Diablo
MAP_DEVILTOWER1	Torre Demoníaca
MAP_DUEL	Arena para combates de entrenamiento
MAP_E	Colonia
MAP_EMPIREWAR01	Batalla por el castillo
MAP_EMPIREWAR02	Batalla por el castillo
MAP_EMPIREWAR03	Batalla por el castillo
MAP_FLAME	Doyyumhwan
MAP_GUILD_01	Jungrang
MAP_GUILD_02	Waryong
MAP_GUILD_03	Imha
MAP_GUILD_PVE	Palacio del Rey de los Dragones
MAP_HOLYPLACE_DESERT	Batalla de Reinos - Tierra del desierto
MAP_HOLYPLACE_FLAME	Batalla de Reinos - Tierra de Fuego
MAP_HOLYPLACE_ICE	Batalla de Reinos - Tierra de hielo
MAP_MILGYO	Templo Hwang
MAP_MILGYO_A	
MAP_MINIBOSS_01	Mazmorra azul: nv. 40-80
MAP_MINIBOSS_02	Mazmorra roja: a partir de nv. 81
MAP_MISTS_OF_ISLAND	Islas de la Niebla
MAP_MONKEY_DUNGEON	Hasun Dong
MAP_MONKEY_DUNGEON2	Jungsun Dong
MAP_MONKEY_DUNGEON3	Sangsun Dong
MAP_MONKEY_DUNGEON_11	Hasun Dong
MAP_MONKEY_DUNGEON_12	Hasun Dong
MAP_MONKEY_DUNGEON_13	Hasun Dong
MAP_MT_THUNDER	Montañas Trueno
MAP_MT_TH_DUNGEON_01	Templo de los Ochao
MAP_NUSLUCK	Tierra de Gigantes
MAP_NUSLUCK01	Tierra de Gigantes
MAP_N_DESERT_01	Desierto Yongbi
MAP_N_DESERT_02	
MAP_N_FLAME_01	Tierra de Fuego
MAP_N_FLAME_02	
MAP_N_FLAME_DRAGON	Refugio de Meley
MAP_N_FLAME_DUNGEON_01	Fortaleza del Dragón Rojo
MAP_N_SNOWM_01	Monte Sohan
MAP_N_SNOWM_02	
MAP_N_SNOW_DUNGEON_01	Torre de vigilancia de Nemere
MAP_N_THREEWAY	Valle de Seungryong
MAP_OXEVENT	Competición OX
MAP_PATHWAY_DESERT_01	Batalla de Reinos - Tierra del desierto
MAP_PATHWAY_DESERT_02	Batalla de Reinos - Tierra del desierto
MAP_PATHWAY_DESERT_03	Batalla de Reinos - Tierra del desierto
MAP_PATHWAY_FLAME_01	Batalla de Reinos - Tierra de Fuego
MAP_PATHWAY_FLAME_02	Batalla de Reinos - Tierra de Fuego
MAP_PATHWAY_FLAME_03	Batalla de Reinos - Tierra de Fuego
MAP_PATHWAY_ICE_01	Batalla de Reinos - Tierra de hielo
MAP_PATHWAY_ICE_02	Parque
MAP_PATHWAY_ICE_03	Batalla de Reinos - Tierra de hielo
MAP_SKELTOWER	Torre Gumsan
MAP_SKIPIA_DUNGEON_01	La Gruta del Exilio
MAP_SKIPIA_DUNGEON_011	
MAP_SKIPIA_DUNGEON_012	
MAP_SKIPIA_DUNGEON_013	
MAP_SKIPIA_DUNGEON_02	La Gruta del Exilio 2
MAP_SKIPIA_DUNGEON_021	
MAP_SKIPIA_DUNGEON_022	
MAP_SKIPIA_DUNGEON_023	
MAP_SKIPIA_DUNGEON_BOSS	Templo del Dragón
MAP_SKIPIA_DUNGEON_BOSS_1	Mazmorra de Arañas 1
MAP_SKIPIA_DUNGEON_BOSS_2	Mazmorra de Arañas 2
MAP_SKIPIA_DUNGEON_BOSS_3	Mazmorra de Arañas 3
MAP_SNOW	Monte Sohan
MAP_SPIDER	Kuahlo Dong
MAP_SPIDERDUNGEON	Mazmorra de Arañas 1
MAP_SPIDERDUNGEON_02	Mazmorra de Arañas 2
MAP_SPIDERDUNGEON_02_1	Mazmorra de Arañas 2
MAP_SPIDERDUNGEON_03	Mazmorra de Arañas 3
MAP_SUNGZI	Batalla de Reinos
MAP_SUNGZI_DESERT_01	Batalla de Reinos - Tierra del desierto
MAP_SUNGZI_DESERT_HILL_01	Batalla de Reinos - Tierra del desierto
MAP_SUNGZI_DESERT_HILL_02	Batalla de Reinos - Tierra del desierto
MAP_SUNGZI_DESERT_HILL_03	Batalla de Reinos - Tierra del desierto
MAP_SUNGZI_FLAME_HILL_01	Batalla de Reinos - Tierra de Fuego
MAP_SUNGZI_FLAME_HILL_02	Batalla de Reinos - Tierra de Fuego
MAP_SUNGZI_FLAME_HILL_03	Batalla de Reinos - Tierra de Fuego
MAP_SUNGZI_SNOW	Batalla de Reinos - Tierra de hielo
MAP_SUNGZI_SNOW_PASS01	Batalla de Reinos - Tierra de hielo
MAP_SUNGZI_SNOW_PASS02	Batalla de Reinos - Tierra de hielo
MAP_SUNGZI_SNOW_PASS03	Batalla de Reinos - Tierra de hielo
MAP_T1	Terrenos de la Guerra de gremios
MAP_T2	Terrenos de la Guerra de gremios
MAP_T3	Terrenos de la Guerra de gremios
MAP_T4	Terrenos de la Guerra de gremios
MAP_TEMPLE	Templo Hwang
MAP_THUNDER	Montañas Trueno
MAP_TREE	Lungsam
MAP_TRENT	Bosque Fantasma
MAP_TRENT02	Bosque Rojo
MAP_TRENT02_A	Bosque Rojo
MAP_TRENT_A	
MAP_WEDDING_01	Mapa de bodas
MAP_WL	Campo Serpiente
MAP_WL_01	Campo Serpiente
MC_ACCUMULATION_COUNT	Cartas de monstruo reunidas: %d
MC_ALTER_TEXT	Nivel de misión %d
MC_CARD_FALL_SHORT	Las cartas registradas no son suficientes.
MC_CARD_SHUFFLE	¿Quieres reorganizar las cartas?
MC_INIT_ITEM_FALL_SHORT	Necesitas %d Carta/s del nuevo comienzo.
MC_MISSION_FAIL_MSG	No hay misiones activas o se sobrepasó el límite.
MC_MISSION_INIT	¿Quieres restablecer la misión al nivel 1?
MC_MISSION_NO_CLEAR	Primero tienes que completar la misión.
MC_MOTION_BUTTON_OVER_MSG	Esta opción está disponible a partir de la 2.ª estrella.
MC_POLY_BUTTON_OVER_MSG	Esta opción está disponible a partir de la 3.ª estrella.
MC_POLY_FAIL	Ahora no puedes transformarte.
MC_POLY_QUESTION	¿Quieres convertirte en este monstruo?
MC_PROMOTION_MAX	Ya no se puede mejorar.
MC_PROMOTION_QUESTION	¿Quieres aumentar el nivel?
MC_QUESTION_BUTTON_DESC1	Solo se puede restablecer 6 veces en 24 horas.
MC_QUESTION_BUTTON_DESC2	Cada restablecimiento necesita más Cartas del nuevo comienzo.
MC_QUESTION_BUTTON_DESC3	Haz clic aquí para ver el tiempo de carga restante.
MC_REWARD_FAIL	No tienes suficiente espacio en el inventario.
MC_REWARD_MISSION	¿Quieres recibir tu carta de monstruo ahora?
MC_SHUFFLE_NO_ITEM	No tienes ninguna Carta del nuevo orden.
MC_TIME	Tiempo de carga: %s
MC_TRADE_QUESTION	Se te retirarán %d cartas. ¿Deseas continuar?
MC_USE_ITEM_FAIL	No se puede añadir esta carta.
MC_USE_ITEM_QUESTION	¿Quieres añadir esta Carta de monstruo?
MC_WARP_BUTTON_OVER_MSG	Esta opción está disponible a partir de la 4.ª estrella.
MC_WARP_FAIL	Ya no te puedes teletransportar.
MC_WARP_LIMIT_LEVEL	No tienes nivel suficiente para teletransportarte.
MC_WARP_QUESTION	¿Quieres teletransportarte al área de este monstruo?
MD_POPUP_MSG_1	Solo se puede entrar desde el Templo del Zodíaco.
MD_POPUP_MSG_2	Los guardianes del zodiaco necesitan regenerar su poder.\nDales algo de tiempo.
MD_SYSTEM_MSG_1	No eres un zombi. No puedes luchar mientras estés fuera de combate.
MEDAL_OF_HONOR	Medalla del valor
MEDAL_OF_HONOR_SYSTEM_PICK	Objeto recibido: Medalla del valor (%d)
MESSENGER_ADD_BLOCK_FRIEND	Añadir
MESSENGER_ADD_FRIEND	Añadir Amigo
MESSENGER_BLOCK	Bloqueado
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s te añadió como amigo.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	¿Aceptar?
MESSENGER_DO_YOU_DELETE	¿Borrar?
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	¿Deseas borrar el número de teléfono movil?
MESSENGER_DO_YOU_MOVE	¿Deseas continuar?
MESSENGER_EMPTY_LIST	Vacío
MESSENGER_FAMILY	Familia
MESSENGER_FRIEND	Amigos
MESSENGER_GUILD	Gremio
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Introducir el código de confirmación que fue enviado a tu teléfono móvil.
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Intruducir número de confirmación
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Introducir el número de teléfono móvil para el envío del mensaje de texto.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	¿Deseas introducir el número ahora?
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Introducir número de móvil.
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Enviar mensaje.
METIN_TEST	
MINIGAMEUI_CALENDAR	Calendario de eventos
MINIGAME_FISH_EVENT_ADD_ACCEPT	¿Quieres añadir esto?
