NPC_SEARCH	Ricerca Npc
CATEGORY_ARMOR_ARMOR_HEAD	Elmi
CATEGORY_ARMOR_ARMOR_SHIELD	Scudi
CATEGORY_COSTUMES	Costumi
CATEGORY_COSTUMES_COSTUME_BODY	Costumi
CATEGORY_COSTUMES_COSTUME_HAIR	Pettinature
CATEGORY_COSTUMES_COSTUME_WEAPON	Skin per arma
CATEGORY_COSTUMES_ETC	Varie
CATEGORY_COSTUMES_SASH	Stole
CATEGORY_DRAGON_STONE	Alchimia delle Pietre del drago
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	Diamante
CATEGORY_DRAGON_STONE_DRAGON_GARNET	Granato
CATEGORY_DRAGON_STONE_DRAGON_JADE	Giada
CATEGORY_DRAGON_STONE_DRAGON_ONYX	Onice
CATEGORY_DRAGON_STONE_DRAGON_RUBY	Rubino
CATEGORY_DRAGON_STONE_DRAGON_SAPPHIRE	Zaffiro
CATEGORY_DRAGON_STONE_ETC	Varie
CATEGORY_EQUIPMENT_ARMOR	Armature
CATEGORY_EQUIPMENT_JEWELRY	Gioielli
CATEGORY_EQUIPMENT_WEAPON	Armi
CATEGORY_ETC	Varie
CATEGORY_ETC_ETC	Varie
CATEGORY_ETC_EVENT	Item eventi
CATEGORY_ETC_GIFTBOX	Bauli | Pacchi
CATEGORY_ETC_MATRIMORY	Matrimonio
CATEGORY_ETC_PARTI	Libri dell'Arte della guerra
CATEGORY_ETC_POLYMORPH	Sfere trasformazione
CATEGORY_ETC_RECIPE	Produzione pozioni
CATEGORY_ETC_SEAL	Legame dell'anima
CATEGORY_FISHING_PICK	Pesca | Scienza mineraria
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	Picconi appuntiti
CATEGORY_FISHING_PICK_ETC	Varie
CATEGORY_FISHING_PICK_FISHING_POLE	Canne da pesca
CATEGORY_FISHING_PICK_FOOD	Pesci
CATEGORY_FISHING_PICK_PICK_BOOK	Libri di scienza mineraria
CATEGORY_FISHING_PICK_STONE	Minerali
CATEGORY_JEWELRY_ARMOR_EAR	Orecchini
CATEGORY_JEWELRY_ARMOR_FOOTS	Scarpe
CATEGORY_JEWELRY_ARMOR_NECK	Collane
CATEGORY_JEWELRY_ARMOR_PENDANT	Talismano
CATEGORY_JEWELRY_ARMOR_WRIST	Bracciali
CATEGORY_JEWELRY_ITEM_BELT	Cinture
CATEGORY_MOUNT_PET	Cavalcature | Pet
CATEGORY_MOUNT_PET_CHARGED_PET	Pet
CATEGORY_MOUNT_PET_EGG	Uova del pet
CATEGORY_MOUNT_PET_FREE_PET	Pet evolvibili
CATEGORY_MOUNT_PET_MOUNT	Cavalcature
CATEGORY_POTION	Pozioni
CATEGORY_POTION_ABILITY	Beni di consumo
CATEGORY_POTION_ETC	Varie
CATEGORY_POTION_HAIRDYE	Colori di capelli
CATEGORY_SKILL	Abilità
CATEGORY_SKILL_BOOK_OF_OBLIVION	Libri dell'Amnesia
CATEGORY_SKILL_ETC	Varie
CATEGORY_SKILL_PAHAE	Contrattacco | Boost
CATEGORY_SKILL_SKILL_BOOK	Libri delle abilità
CATEGORY_TUNING	Miglioramenti
CATEGORY_TUNING_ETC	Varie
CATEGORY_TUNING_RESOURCE	Materiali
CATEGORY_TUNING_STONE	Pietre spirituali
CATEGORY_UNIQUE	Item speciali
CATEGORY_UNIQUE_ABILITY	Beni di consumo
CATEGORY_UNIQUE_ETC	Varie
CATEGORY_WEAPON_WEAPON_ARROW	Frecce
CATEGORY_WEAPON_WEAPON_BELL	Campane
CATEGORY_WEAPON_WEAPON_BOW	Archi
CATEGORY_WEAPON_WEAPON_CLAW	Artigli
CATEGORY_WEAPON_WEAPON_DAGGER	Pugnali
CATEGORY_WEAPON_WEAPON_FAN	Ventagli
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	Lance
CATEGORY_WEAPON_WEAPON_QUIVER	Faretre
CATEGORY_WEAPON_WEAPON_SWORD	Arma a una mano
CATEGORY_WEAPON_WEAPON_TWO_HANDED	Armi a due mani
CHANGE_ALREADY_REGISTER	[Proiezione] Questo oggetto è già stato registrato.
CHANGE_LOOK_CHANGE_ITEM	Vuoi proiettarlo?
CHANGE_LOOK_CHECK_OUT_REGISTER_ITEM	[Proiezione] Prima rimuovi l'oggetto sul quale desideri applicare la proiezione.
CHANGE_LOOK_COST	Prezzo della proiezione: %s Yang
CHANGE_LOOK_DEL_ITEM	L'oggetto assorbito andrà perso.
CHANGE_LOOK_DO_NOT_CHANGE_LOOK_ITEM	[Proiezione] Questo oggetto non può essere proiettato.
CHANGE_LOOK_DO_NOT_EQUIP_ITEM	[Proiezione] Non puoi proiettare l'oggetto mentre fa parte del tuo equipaggiamento.
CHANGE_LOOK_DO_NOT_REGISTER_ITEM	[Proiezione] Questo oggetto non può essere registrato.
CHANGE_LOOK_DO_NOT_SEAL_ITEM	[Proiezione] Questo oggetto è legato all'anima.
CHANGE_LOOK_INSERT_CHANGE_LOOK_ITEM	[Proiezione] Registra l'oggetto che desideri proiettare.
CHANGE_LOOK_INSERT_ITEM	[Proiezione] Prima devi registrare l'oggetto.
CHANGE_LOOK_NEED_MONEY	I tuoi Yang non sono sufficienti oppure non possiedi abbastanza oggetti.
CHANGE_LOOK_OPEN_OTHER_WINDOW	[Proiezione] Non è possibile compiere quest'azione mentre la finestra "Proiezione" è aperta.
CHANGE_LOOK_TITLE	Proiezione
CHANGE_LOOK_TITLE2	Trasformazione cavalcatura
CHANGE_PET_PLEASE_APPEND_FIRST	Bisogna prima selezionare il pet.
CHANGE_TOOLTIP2_LINE1	A sinistra inserisci l'oggetto di destinazione e a destra il materiale.
CHANGE_TOOLTIP2_LINE2	Clicca sulla spunta per utilizzare degli Yang o un Buono trasformazione per modificare l'aspetto della tua cavalcatura.
CHANGE_TOOLTIP2_LINE3	Il Buono trasformazione modifica l'aspetto della cavalcatura senza che si debbano utilizzare degli Yang. Una volta utilizzato, il buono verrà eliminato.
CHANGE_TOOLTIP2_LINE4	Se si modifica l'aspetto di una cavalcatura, la durata dell'aspetto originario della cavalcatura modificata resterà invariata. Inoltre, la durata del materiale non sarà mai maggiore rispetto a quella della cavalcatura di destinazione.
CHANGE_TOOLTIP2_LINE5	Nel caso in cui la cavalcatura di destinazione sia permanente e il materiale abbia invece una durata specifica, la cavalcatura manterrà l'aspetto modificato per la durata specifica del materiale.
CHANGE_TOOLTIP_LINE1	Poggia a sinistra l'oggetto sul quale si dovrà effettuare la proiezione.
CHANGE_TOOLTIP_LINE2	Poggia l'altro oggetto a destra.
CHANGE_TOOLTIP_LINE3	L'apparenza dell'oggetto si modifica
CHANGE_TOOLTIP_LINE4	quando confermi la proiezione (tasto V) e ti viene sottratto dello Yang.
CHANGE_TOOLTIP_LINE5	Quando usi questo oggetto,
CHANGE_TOOLTIP_LINE6	puoi proiettare il tuo item senza usare Yang.
CHANGE_TOOLTIP_TITLE	Proiezione
CHANNEL	Canale
CHANNELING_CANNOT_LOGOUT	Non puoi tornare alla pagina d'iscrizione.
CHANNEL_EMPTY_SERVER	Nessun server
CHANNEL_NORMAL	Canale %d
CHANNEL_NOTIFY_FULL	Questo canale è pieno! Sei pregato di sceglierne un altro.
CHANNEL_NOT_FIND_INFO	Non ricevi nessuna informazione sul canale.
CHANNEL_PVP	Duello libero
CHANNEL_SELECT_CHANNEL	Scegli il canale
CHANNEL_SELECT_REGION	Scegli il luogo per il conto
CHANNEL_SELECT_SERVER	Scegli il server
CHANNEL_STATUS_BUSY	Molto frequentato
CHANNEL_STATUS_FULL	Pieno
CHANNEL_STATUS_OFFLINE	Sconosciuto
CHANNEL_STATUS_RECOMMENDED	Consigliato
CHANNEL_STATUS_VACANT	Poco frequentato
CHANNEL_TEST_SERVER	Testa il server
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHARACTER_CREATE_MODE	Crea personaggio
CHARACTER_NAME	Nome
CHARACTER_SELECT_MODE	Seleziona personaggio
CHARGE_BEAD_QUESTION	Sfere Anima necessarie: %d Vuoi continuare?
CHAT_ALL	Tutti
CHAT_BLOCK	Blocca
CHAT_DICE_INFO	Tira
CHAT_GUILD	Gilda
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	La frase contiene parole proibite
CHAT_LOG	Mostra i messaggi vecchi [L]
CHAT_LOG_TITLE	Protocollo della chat
CHAT_NORMAL	Normale
CHAT_NOTICE	Server
CHAT_PARTY	Gruppo
CHAT_SEND_CHAT	Invia Chat
CHAT_SEND_MEMO	Invia Chat privata [Shift+Invio]
CHAT_SHOUT	Chiama
CHAT_SHOUT_LIMIT	Puoi chiamare ogni 15 secondi.
CHAT_WHISPER	Chat privata
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	Non puoi fare cadere i soldi.
CHEQUE_SYSTEM_PICK_WON	Hai ottenuto %d Won.
CHEQUE_SYSTEM_SELL_PRICE	[Prezzo di vendita]
CHEQUE_SYSTEM_UNIT_WON	Won
CHEQUE_SYSTEM_UNIT_YANG	Yang
CHEQUE_SYSTEM_WON	%s Won
CHEQUE_SYSTEM_YANG	%s Yang
CLEAR_FLOOR	Livello
CLEAR_TIME	Tempo
ClosePetChangeWndButton	Chiudi
COMB_ACCE_IS_CONTINUE_PROCESS	Vuoi continuare?
COMB_ACCE_WARNING_MESSAGE	In caso di successo totale o parziale, l'originale verrà distrutto. Il trasferimento potrebbe non andare a buon fine. In caso di fallimento o successo parziale, il tasso di assorbimento della stola di destinazione diminuirà.
COMB_ACCE_WARNING_MESSAGE1	In caso di successo totale o parziale, la stola di partenza verrà distrutta.
COMB_ACCE_WARNING_MESSAGE2	Il trasferimento potrebbe non andare a buon fine.
COMB_ACCE_WARNING_MESSAGE3	In caso di fallimento o successo parziale, il tasso di assorbimento della stola di destinazione diminuirà.
COMB_ACCE_WILL_REMOVE_MATERIAL	In caso di successo totale o parziale, la stola di partenza verrà distrutta.
COMB_ALREADY_APPEND	Questo oggetto è già stato selezionato.
COMB_CANT_APPEND_ITEM	Questo oggetto non può essere utilizzato.
COMB_CANT_APPEND_SEALED_ITEM	Non si possono utilizzare oggetti legati all'anima.
COMB_CANT_BASE_ITEM	Non è possibile scegliere come stola di destinazione una stola che possiede già dei bonus.
COMB_CANT_MATCH_DRAINRATE	Il trasferimento del bonus presuppone che entrambi gli item abbiano lo stesso tasso di assorbimento.
COMB_CANT_MATCH_GRADE	Il trasferimento del bonus presuppone che entrambi gli item abbiamo lo stesso grado.
COMB_CANT_MATERIAL_ITEM	L'item originale deve possedere un bonus.
COMB_COST	Prezzo: %s
COMB_IS_CONTINUE_PROCESS	Desideri continuare?
COMB_NOTICE	Non puoi aprire un negozio privato mentre stai scambiando dei libri.
COMB_NOTICE_NOT_OPEN	Non puoi scambiar libri mentre hai un negozio privato aperto.
COMB_NOT_ALL_SLOT_APPEND_ITEM	Per poter trasferire i bonus ti servono un item originale, un item di destinazione e l'item per il trasferimento.
COMB_NOT_FULL_BOOK	No, non ci siamo. Come ti ho già spiegato, sono disposto a fare lo scambio solo se mi porti 10 libri.
COMB_NOT_ITEM_IN_INVENTORY	Non puoi utilizzare oggetti già in uso.
COMB_NOT_MEDIUM_ITEM	Questo oggetto non può essere utilizzato.
COMB_WILL_REMOVE_MATERIAL	In caso di successo, l'originale verrà distrutto.
CREATE_ERROR_GM_NAME	Nel nome del personaggio non puoi usare ,GM‘.
CREATE_ERROR_INSULT_NAME	Questo nome non è consentito.
CREATE_ERROR_LIMIT_LEVEL	Il tuo personaggio deve aver raggiunto almeno il livello 80.
CREATE_ERROR_TIME_LIMIT	Puoi solo creare un personaggio ogni 30 secondi.
CREATE_ERROR_WRONG_STRING	Non puoi utilizzare questo nome.
CREATE_EXIST_SAME_NAME	Questo nome è usato da un altro personaggio.
CREATE_FAILURE	Non puoi creare il personaggio.
CREATE_FULL	Non puoi più creare alcun personaggio.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Inserisci il nome.
CREATE_PLUS_STAT	Ci sono ancora punti status disponibili.
CUBE_CATEGORY_ACCESSORY	Gioielli
CUBE_CATEGORY_ARMOR	Armatura
CUBE_CATEGORY_BELT	Cintura
CUBE_CATEGORY_ETC	Etc.
CUBE_CATEGORY_EVENT	Evento
CUBE_CATEGORY_WEAPON	Arma
CUBE_MAKE_CONFIRM_QUESTION_1	Almeno uno degli item utilizzati è particolarmente prezioso (possiede più di %d bonus).
CUBE_MAKE_CONFIRM_QUESTION_2	Vuoi davvero continuare?
CUBE_NOT_ENOUGH_GOLD	Non hai abbastanza Yang per la produzione.
CUBE_NOT_ENOUGH_MATERIAL	Non hai materiale a sufficienza per la produzione.
CUBE_PLEASE_SELECT	Non è stato selezionato alcun oggetto.
CZ_REWARD_QUESTION_COMPLETE	Vorresti avere questa cavalcatura?
CZ_REWARD_TOOLTIP_10GAN	Insegne Zodiaco
CZ_REWARD_TOOLTIP_10GAN_COUNT	Quantità presente nell'inventario
CZ_REWARD_TOOLTIP_10GAN_NEED_COUNT	Quantità necessaria
CZ_REWARD_TOOLTIP_12ZI	Insegne del guardiano
CZ_REWARD_TOOLTIP_12ZI_COUNT	Quantità presente nell'inventario
CZ_REWARD_TOOLTIP_12ZI_NEED_COUNT	Quantità necessaria
CZ_REWARD_TOOLTIP_ALL_BOX	Tesoro stellare
CZ_REWARD_TOOLTIP_CAN_GET_ALL_BOX	Clicca qui per ritirare la tua ricompensa, il Tesoro stellare.
CZ_REWARD_TOOLTIP_CAN_GET_GREEN_BOX	Clicca qui per ritirare la tua ricompensa, il Tesoro Aventurina.
CZ_REWARD_TOOLTIP_CAN_GET_YELLOW_BOX	Clicca qui per ritirare la tua ricompensa, il Tesoro Aureolina.
CZ_REWARD_TOOLTIP_COMPLETABLE	Riscuoti
CZ_REWARD_TOOLTIP_GREEN_BOX	Tesoro Aventurina
CZ_REWARD_TOOLTIP_GREEN_BOX_COMP_CNT	Tesori Aventurina ritirati: %d
CZ_REWARD_TOOLTIP_WEEKLY	Giorno
CZ_REWARD_TOOLTIP_WEEKLY_FRI	Venerdì
CZ_REWARD_TOOLTIP_WEEKLY_MON	Lunedì
CZ_REWARD_TOOLTIP_WEEKLY_SAT	Sabato
CZ_REWARD_TOOLTIP_WEEKLY_SAT_SUN	Sabato/Domenica
CZ_REWARD_TOOLTIP_WEEKLY_THU	Giovedì
CZ_REWARD_TOOLTIP_WEEKLY_TUE	Martedì
CZ_REWARD_TOOLTIP_WEEKLY_WED	Mercoledì
CZ_REWARD_TOOLTIP_YELLOW_BOX	Tesoro Aureolina
CZ_REWARD_TOOLTIP_YELLOW_BOX_COMP_CNT	Tesori Aureolina ritirati: %d
DAY	g
DETAILS_1	Forte contro Mezziuomini
DETAILS_10	Forte vs mostri des.
DETAILS_11	Forte vs insetti
DETAILS_12	Attacco Corporale/Magico
DETAILS_14	Danni Medi
DETAILS_15	Resistenza contro Danni Medi
DETAILS_16	Danni Abilità
DETAILS_17	Resistenza contro Danni Abilità
DETAILS_19	Valore d'attacco magico
DETAILS_20	Possibilità nei colpi critici
DETAILS_21	Possibilità su colpi che trafiggono
DETAILS_22	Resistenza contro i Colpi Critici
DETAILS_23	Resistenza contro i Colpi Trafiggenti
DETAILS_24	Resistenza Lampo
DETAILS_25	Resistenza Ghiaccio
DETAILS_26	Resistenza Oscurità
DETAILS_27	Resistenza Fuoco
DETAILS_28	Resistenza Vento
DETAILS_29	Resistenza Terra
DETAILS_3	Forte contro Orchi
DETAILS_30	Forza del Lampo
DETAILS_31	Forza del Ghiaccio
DETAILS_32	Forza dell'Oscurità
DETAILS_33	Forza del Fuoco
DETAILS_34	Forza del Vento
DETAILS_35	Forza della Terra
DETAILS_36	Forte contro Guerrieri
DETAILS_37	Forte contro Ninja
DETAILS_38	Forte contro Sura
DETAILS_39	Forte contro Shamani
DETAILS_4	Forte contro Zombie
DETAILS_40	Forte vs lican
DETAILS_41	Possibilità Difesa dai Guerrieri
DETAILS_42	Possibilità Difesa dai Ninja
DETAILS_43	Possibilità Difesa dai Sura
DETAILS_44	Possibilità Difesa dagli Shamani
DETAILS_45	Difesa dai lican
DETAILS_46	Difesa Spada
DETAILS_47	Difesa Spadone
DETAILS_48	Difesa Pugnale
DETAILS_49	Difesa artigli
DETAILS_5	Forte contro Mostri
DETAILS_50	Difesa Campana
DETAILS_51	Difesa Ventaglio
DETAILS_52	Difesa Freccia
DETAILS_53	Probabilità di svenimento
DETAILS_54	Probabilità di rallentamento
DETAILS_55	Probabilità di avvelenamento
DETAILS_56	Resistenza Avvelenamento
DETAILS_57	Attacco sanguinante
DETAILS_58	Res. attacco sang.
DETAILS_59	di danni assorbiti da HP
DETAILS_6	Forte vs mostri Zod.
DETAILS_60	di danni assorbiti da MP
DETAILS_61	Rigenerazione HP
DETAILS_62	Rigenerazione MP
DETAILS_63	Poss. di blocco Attacco Corporale
DETAILS_64	Possibilità di Schivare Frecce
DETAILS_65	Poss. di riflettere Attacco Corporale
DETAILS_66	di possibilità di rigenerare HP
DETAILS_67	di possibilità di rigenerare MP
DETAILS_68	EXP
DETAILS_69	Possibilità in più di Droppare Yang
DETAILS_7	Forte contro Animali
DETAILS_70	Possibilità in più di Droppare Oggetti
DETAILS_71	Attacco Corporale/Magico
DETAILS_72	Difesa Magica
DETAILS_76	Resistenza Magia
DETAILS_77	Anti-magia
DETAILS_79	Danni Medi [PVM]
DETAILS_8	Forte contro Esoterici
DETAILS_9	Forte contro Diavolo
DETAILS_ATTBONUS_BELL	Rottura della campana
DETAILS_ATTBONUS_BOW	Rottura della freccia
DETAILS_ATTBONUS_CLAW	Rottura dell'artiglio
DETAILS_ATTBONUS_DAGGER	Rottura del pugnale
DETAILS_ATTBONUS_FAN	Rottura del ventaglio
DETAILS_ATTBONUS_SWORD	Rottura della spada
DETAILS_ATTBONUS_TWOHAND	Rottura dello spadone
DETAILS_CATE_1	BONUS PVM
DETAILS_CATE_2	BONUS PVP
DETAILS_CATE_3	BONUS ELEMENTI
DETAILS_CATE_4	BONUS OFFENSIVI
DETAILS_CATE_5	BONUS DIFENSIVI
DETAILS_CATE_6	BONUS STATUS
DETAILS_CATE_7	BONUS ALTERNATIVI
DETAILS_RESIST_MOUNT_FALL	Resistenza alla caduta
DETAILS_TITLE	Dettagli
DETAILS_TOOLTIP_1	Forte contro i Mezziuomini: infligge ingenti danni ai Mezziuomini
DETAILS_TOOLTIP_10	Forte contro i mostri del deserto: infligge una maggiore quantità di danni ai mostri del deserto.
DETAILS_TOOLTIP_11	Forte contro insetti: infligge una maggiore quantità di danni agli insetti.
DETAILS_TOOLTIP_12	Incrementa il tuo valore d'attacco.
DETAILS_TOOLTIP_13	Incrementa il tuo valore di difesa
DETAILS_TOOLTIP_14	Aumenta il danno medio che infliggi agli avversari quando li attacchi.
DETAILS_TOOLTIP_15	Resistenza al danno medio: riduce i danni che subisci in un attacco.
DETAILS_TOOLTIP_16	Aumenta i danni provocati da un'abilità.
DETAILS_TOOLTIP_17	Resistenza ai danni abilità: riduce il danno da abilità che subisci.
DETAILS_TOOLTIP_18	Aumenta il valore d'attacco corporale e magico.
DETAILS_TOOLTIP_19	Aumenta il danno che infliggi agli avversari tramite attacco magico.
DETAILS_TOOLTIP_2	Resistenza ai Mezziuomini: riduce il danno che viene inflitto dai Mezziuomini.
DETAILS_TOOLTIP_20	Aumenta la probabilità di mettere a segno un colpo critico.
DETAILS_TOOLTIP_21	Probabilità di colpo trafiggente: aumenta la probabilità di mettere a segno un colpo trafiggente.
DETAILS_TOOLTIP_24	Riduce il danno che viene inflitto da determinati mostri.
DETAILS_TOOLTIP_25	Riduce il danno che viene inflitto da determinati mostri.
DETAILS_TOOLTIP_26	Resistenza all'oscurità: riduce il danno che viene inflitto da determinati mostri.
DETAILS_TOOLTIP_27	Riduce il danno che viene inflitto da determinati mostri.
DETAILS_TOOLTIP_28	Riduce il danno che viene inflitto da determinati mostri.
DETAILS_TOOLTIP_29	Riduce il danno che viene inflitto da determinati mostri.
DETAILS_TOOLTIP_3	Forza contro Orchi: infligge una maggiore quantità di danni agli Orchi.
DETAILS_TOOLTIP_30	Incrementa il danno che provochi tramite la forza del lampo.
DETAILS_TOOLTIP_31	Incrementa il danno che provochi tramite la forza del ghiaccio.
DETAILS_TOOLTIP_32	Incrementa il danno che provochi tramite la forza dell'oscurità.
DETAILS_TOOLTIP_33	Incrementa il danno che provochi tramite la forza del fuoco.
DETAILS_TOOLTIP_34	Incrementa il danno che provochi tramite la forza del vento.
DETAILS_TOOLTIP_35	Incrementa il danno che provochi tramite la forza della terra.
DETAILS_TOOLTIP_36	Forte contro i guerrieri: infligge una maggiore quantità di danni ai guerrieri.
DETAILS_TOOLTIP_37	Forte contro i ninja: infligge una maggiore quantità di danni ai ninja.
DETAILS_TOOLTIP_38	Forte contro i sura: infligge una maggiore quantità di danni ai sura.
DETAILS_TOOLTIP_39	Forte contro gli shamani: infligge una maggiore quantità di danni agli shamani.
DETAILS_TOOLTIP_4	Forte contro gli Zombie: infligge una maggiore quantità di danni agli Zombie.
DETAILS_TOOLTIP_40	Forte contro i lican: infligge una maggiore quantità di danni ai lican.
DETAILS_TOOLTIP_41	Probabilità di difesa dagli attacchi dei guerrieri: riduce il danno che viene inflitto dai guerrieri.
DETAILS_TOOLTIP_42	Probabilità di difesa dagli attacchi dei ninja: riduce il danno che viene inflitto dai ninja.
DETAILS_TOOLTIP_43	Probabilità di difesa dagli attacchi dei sura: riduce il danno che viene inflitto dai sura.
DETAILS_TOOLTIP_44	Probabilità di difesa dagli attacchi degli shamani: riduce il danno che viene inflitto dagli shamani.
DETAILS_TOOLTIP_45	Probabilità di difesa dagli attacchi dei lican: riduce il danno che viene inflitto dai lican.
DETAILS_TOOLTIP_46	Riduce il danno che viene inflitto da una spada.
DETAILS_TOOLTIP_47	Riduce il danno che viene inflitto da un'arma a due mani.
DETAILS_TOOLTIP_48	Riduce il danno che viene inflitto da un pugnale.
DETAILS_TOOLTIP_49	Riduce il danno che viene inflitto da un artiglio.
DETAILS_TOOLTIP_5	Forte contro i mostri: infligge una maggiore quantità di danni ai mostri.
DETAILS_TOOLTIP_50	Riduce il danno che viene inflitto da una campana.
DETAILS_TOOLTIP_51	Riduce il danno che viene inflitto da un ventaglio.
DETAILS_TOOLTIP_52	Riduce il danno che viene inflitto da una freccia e da un arco.
DETAILS_TOOLTIP_53	Aumenta la probabilità di far svenire un avversario.
DETAILS_TOOLTIP_54	Aumenta la probabilità di rallentare un avversario.
DETAILS_TOOLTIP_55	Aumenta la probabilità di avvelenare un avversario.
DETAILS_TOOLTIP_56	Riduce il danno che viene inflitto da un veleno.
DETAILS_TOOLTIP_57	Aumenta la probabilità di mettere a segno un attacco sanguinante.
DETAILS_TOOLTIP_58	Resistenza all'attacco sanguinante: riduce il danno che viene inflitto da un attacco sanguinante.
DETAILS_TOOLTIP_59	Quando colpisci il tuo avversario, gli sottrae HP.
DETAILS_TOOLTIP_6	Forte contro i mostri dello zodiaco: infligge una maggiore quantità di danni ai mostri Zodiaco.
DETAILS_TOOLTIP_60	Quando colpisci il tuo avversario, gli sottrae MP.
DETAILS_TOOLTIP_61	Accelera la rigenerazione dei tuoi punti vita.
DETAILS_TOOLTIP_62	Accelera la rigenerazione dei tuoi punti mana.
DETAILS_TOOLTIP_63	Probabilità di bloccare attacchi nella lotta corpo a corpo: aumenta la probabilità di schivare un attacco corpo a corpo.
DETAILS_TOOLTIP_64	Probabilità di schivare frecce: aumenta la probabilità di schivare l'attacco, a distanza o con frecce, di un mostro.
DETAILS_TOOLTIP_65	Probabilità di riflettere un colpo nella lotta corpo a corpo: una parte del danno della lotta corpo a corpo viene restituito all'avversario.
DETAILS_TOOLTIP_66	Ripristino HP quando si uccide: quando uccidi un avversario, i tuoi punti vita aumentano.
DETAILS_TOOLTIP_67	Ripristino MP quando si uccide: quando uccidi un avversario, i tuoi punti mana aumentano.
DETAILS_TOOLTIP_68	Probabilità di ricevere esperienza doppia: aumenta la probabilità di ricevere un bonus EXP quando hai sconfitto un avversario.
DETAILS_TOOLTIP_69	Possibilità in più di Droppare Yang: aumenta la tua probabilità di ricevere Yang.
DETAILS_TOOLTIP_7	Forte contro gli animali: infligge una maggiore quantità di danni agli animali selvatici.
DETAILS_TOOLTIP_70	Probabilità di droppare oggetti: aumenta la probabilità di ottenere il doppio degli oggetti.
DETAILS_TOOLTIP_76	Riduce il danno che subisci tramite attacco magico.
DETAILS_TOOLTIP_77	Riduce la resistenza magia del tuo avversario.
DETAILS_TOOLTIP_8	Forte contro gli esoterici: infligge una maggiore quantità di danni agli esoterici.
DETAILS_TOOLTIP_9	Forte contro i diavoli: infligge una maggiore quantità di danni ai diavoli.
DETAILS_TOOLTIP_ATTBONUS_BELL	Interruzione della difesa campana: riduce la difesa campana dell'avversario.
DETAILS_TOOLTIP_ATTBONUS_BOW	Interruzione della difesa freccia: riduce la difesa freccia dell'avversario.
DETAILS_TOOLTIP_ATTBONUS_CLAW	Interruzione della difesa artigli: riduce la difesa artigli dell'avversario.
DETAILS_TOOLTIP_ATTBONUS_DAGGER	Interruzione della difesa pugnale: riduce la difesa pugnale dell'avversario.
DETAILS_TOOLTIP_ATTBONUS_FAN	Interruzione della difesa ventaglio: riduce la difesa ventaglio dell'avversario.
DETAILS_TOOLTIP_ATTBONUS_SWORD	Interruzione della difesa spada: riduce la difesa spada dell'avversario.
DETAILS_TOOLTIP_ATTBONUS_TWOHAND	Interruzione della difesa spadone: riduce la difesa spadone dell'avversario.
DETAILS_TOOLTIP_RESIST_MOUNT_FALL	Resistenza alla caduta: riduce la probabilità di cadere dalla cavalcatura.
DONT_USE_ITEM_WHEN_SHOW_CONFIRM	Non è possibile spostare gli oggetti mentre è in corso una richiesta.
DO_NOT_INSERT_UPBRINGING_PET	Non è possibile selezionare il pet attivo.
DO_YOU_BUY_ITEM1	Vuoi acquistare %s per %s?
DO_YOU_BUY_ITEM2	Vuoi acquistare %s (%s unità) per %s?
DO_YOU_BUY_ITEM3	Desideri comprare %s per %s Yang?
DO_YOU_BUY_ITEM4	Desideri comprare %s (%s unità) per %s Yang?
DO_YOU_DROP_MONEY	Desideri lasciar cadere %d Yang?
DO_YOU_SELL_ITEM1	Vuoi vendere %s per %s?
DO_YOU_SELL_ITEM2	Vuoi vendere %s (%s unità) per %s?
DRAGON_SOUL_CANNOT_REFINE	Non puoi raffinare questa Pietra del Drago.
DRAGON_SOUL_CANNOT_REFINE_MORE	Questa Pietra del Drago ha già raggiunto il livello più alto.
DRAGON_SOUL_EQUIP_WARNING1	È difficile eliminare nuovamente una Pietra del Drago.
DRAGON_SOUL_EQUIP_WARNING2	Vorresti continuare?
DRAGON_SOUL_EXPIRED	Pietra del Drago scaduta
DRAGON_SOUL_INVALID_DRAGON_SOUL	È la Pietra del Drago sbagliata.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	Questa non è una Pietra del Drago.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	Non è la giusta Pietra del Drago.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	Non hai materiale a sufficienza per il raffinamento.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL2	Per la %s\n serve questo item: %s (%d)
DRAGON_SOUL_NOT_ENOUGH_MONEY	Non hai abbastanza Yang per modificare il bonus.
DRAGON_SOUL_NOT_MATCHED_SLOT	La Pietra del Drago non va bene per questo slot.
DRAGON_SOUL_STEP_LEVEL1	Purezza: opaco,
DRAGON_SOUL_STEP_LEVEL2	Purezza: chiaro,
DRAGON_SOUL_STEP_LEVEL3	Purezza: limpido,
DRAGON_SOUL_STEP_LEVEL4	Purezza: brillante,
DRAGON_SOUL_STEP_LEVEL5	Purezza: eccellente,
DRAGON_SOUL_STRENGTH	Livello: +%d	SA
