NPC_SEARCH	Cãutare Npc
PETBOX_DESC8C	Slot skill 1: %s (%d)
PETBOX_DESC9C	Slot skill 2: %s (%d)
PETBOX_DESC10C	Slot skill 3: %s (%d)
PETBOX_DESC11C	Slot skill 4: %s (%d)
PET_EVOLUTION1	normal
PET_EVOLUTION2	sãlbatic
PET_EVOLUTION3	curajos
PET_EVOLUTION4	eroic
SUBTEXT_OFFLINESHOP_TEXT15	Nume:
SUBTEXT_OFFLINESHOP_TEXT16	Preþ:
CLOSE_AUCTION	Închide
CUBE_CATEGORY1	Arme
CUBE_CATEGORY2	Armuri
CUBE_CATEGORY3	Bijuterii
CUBE_CATEGORY4	Varie
CUBE_CATEGORY5	Brãþãri Lv. 90 [PvP]
CUBE_CATEGORY6	Bijuterii Lv. 100 [PvP]
CUBE_CATEGORY7	Curele [PvP]
CUBE_CATEGORY8	Curele [PvM]
CUBE_CATEGORY9	Coliere Lv. 90 [PvP]
CUBE_CATEGORY10	Cercei Lv. 90 [PvP]
CUBE_CATEGORY11	Arme Lv. 80 [PvP]
CUBE_CATEGORY12	Arme Lv. 90 [PvP]
CUBE_CATEGORY13	Arme Lv. 100 [PvP]
CUBE_CATEGORY14	Arme Lv. 105 [PvM]
CUBE_CATEGORY15	Armuri Lv. 80 [PvM]
CUBE_CATEGORY16	Armuri Lv. 90 [PvM]
CUBE_CATEGORY17	Armuri Lv. 110 [PvM]
CUBE_CATEGORY18	Armuri Lv. 90 [PvP]
CUBE_CATEGORY19	Armuri Lv. 105 [PvP]
CUBE_CATEGORY20	Armuri Lv. 110 [PvP]
CUBE_CATEGORY21	Papuci Lv. 105 [PvP]
CUBE_CATEGORY22	Papuci Lv. 100 [PvM]
CUBE_CATEGORY23	Coif-uri Lv. 115 [PvP]
CUBE_CATEGORY24	Coif-uri Lv. 80 [PvM]
CUBE_CATEGORY25	Coif-uri Lv. 95 [PvM]
CUBE_CATEGORY26	Coif-uri Lv. 105 [PvP]
CUBE_CATEGORY27	Mount-uri (Permanente)
CUBE_CATEGORY28	Pet-uri (Permanente)
CUBE_CATEGORY29	Creare Pietre Lucioase
CUBE_CATEGORY30	Creare Pietre Lucioase 1
CUBE_CATEGORY31	Creare Pietre Lucioase 2
CUBE_CATEGORY32	Creare Pietre Lucioase 3
CUBE_CATEGORY33	Creare Pietre Lucioase 4
CUBE_CATEGORY34	Creare Pietre Lucioase 5
CUBE_CATEGORY35	Creare Pietre Lucioase 6
CUBE_CATEGORY36	Creare Pietre Lucioase 7
CUBE_CATEGORY37	Creare Pietre Lucioase 8
CUBE_CATEGORY38	Creare Pietre Lucioase 9
CUBE_CATEGORY39	Creare Pietre Lucioase 10
CUBE_CATEGORY40	Creare Pietre Lucioase 11
CUBE_CATEGORY41	Creare Pietre Lucioase 12
CUBE_CATEGORY42	Creare Pietre Lucioase 13
CUBE_CATEGORY51	Accesorii Lv60 - Shield Lv75 [PVM]
CUBE_CATEGORY999	Altele
SYSTEM_OPTION_CPU_TILING_1	Modul grafic CPU poate îmbunata?i viteza unui PC mai slab.
SYSTEM_OPTION_CPU_TILING_2	Dacã aveþi probleme cu grafica, selectaþi opþiunea Sistem "sau CONFIG.exe"
SYSTEM_OPTION_CPU_TILING_3	ºi treceþi la modalitatea graficã GPU.
SYSTEM_OPTION_GPU_TILING_1	Modul grafic GPU poate reduce viteza unui PC mai slab.
SYSTEM_OPTION_GPU_TILING_2	Dacã aveþi probleme cu grafica, selectaþi opþiunea Sistem "sau CONFIG.exe"
SYSTEM_OPTION_GPU_TILING_3	ºi treceþi la modalitatea graficã CPU.
SYSTEM_OPTION_TILING_EXIT	Jocul trebuie repornit pentru a schimba modul grafic.
PETSKILL_COOLDOWN	Timp de aºteptare: %s sec
PETSKILL_HP	PV Restaurat: %s
PETSKILL_INVICIBLE	Invincibil pentru: %s sec
ITEM_PRICE_TITLE	[ Preþ ]
ITEM_IS_WORTH	%d |Eemoji/%s|e %s
ITEM_IS_FREE	Gratis
DO_YOU_BUY_ITEM_NORMAL	Vrei sã cumperi %d %s?
CHATTING_SETTING_LEFT1	Click dreapta pe filtru pentru a-l elimina.
CHATTING_SETTING_LEFT2	Filtrul general nu poate fi eliminat.
CHAT_TYPE_INFO_EXP	Exp
CHAT_TYPE_INFO_ITEM	Item
CHAT_TYPE_INFO_VALUE	Valutã
CHATTING_SETTING_ADD	Adaugã filtru
CHATTING_SETTING_ADD_MAX	Ai atins limita maximã.
CHATTING_SETTING_CHANGE_TITLE_NAME	Vrei sã salvezi numele acestui chat?
CHATTING_SETTING_CHANGE_TITLE_NOT	Nu poþi edita numele chat-ului general.
CHATTING_SETTING_CHANGE_TITLE_NOT2	Spaþiul nu potea fi folosit în numele chat-ului.
CHATTING_SETTING_CHANGE_TITLE_NOT3	Numele chat-ului nu poate sã conþinã mai mult de 6 caractere.
CHATTING_SETTING_CHANGE_TITLE_NOT4	Numele este gol.
CHATTING_SETTING_SETTING	Setãri
TOOLTIP_DOUBLE_DROP_ITEM	Drop-ul va fi dublat	SNA
TOOLTIP_IRR_WEAPON_DEFENSE	 %d%% întrerupe apãrarea armelor	SA
EMOTION_SIRENA	Sirenã
EMOTION_WEATHER	Vreme
EMOTION_PUSHUP	Flotare
WINDOW_TXT1	Nivel minim: %s
WINDOW_TXT2	Nivel maxim: %s
WINDOW_TXT3	Nu deþii itemele necesare pentru a intra.
WINDOW_TXT4	Iteme necesare:
WINDOW_TXT5	Vrei sã fii teleportat în harta %s?
WINDOW_TXT6	Nu ai suficient Yang!
DAILYGIFT_TXT1	Zi %d
DAILYGIFT_TXT2	Ridicã
DAILYGIFT_TXT3	Recompensã zilnicã:
QUESTION_DLG_CHANGELANGUAGE	Doreºti sã schimbi limba?
QUESTION_DLG_REMOVEACC	Doreºti sã ºtergi %s?
MINIMAP_SHOW_BLOCKPVP	Blocheazã previzualizarea echipamentului în duel [F10]
MINIMAP_SHOW_UNBLOCKPVP	Deblocheazã previzualizarea echipamentului în duel [F10]
SKILL_CHANGE_AVAILABLE	Schimbãri rãmase: %d
DUEL_MINIWINDOW_OVER_SLOT	Fãcând click pe aceastã imagine vei deschide panoul duelului.
PET_MINIWINDOW_OVER_SLOT	Apãsând "P" sau fãcând click pe acest slot ei deschide panoul pet-ului.
RENDER_TITLE	Previzualizare
MINIMAP_SHOW_WIKI	Wiki [H]
MINIMAP_SHOW_DUNGEONINFO	Informaþii dungeon-uri [F7]
MINIMAP_SHOW_DAILYGIFT	Recompensã zilnicã
MINIMAP_SHOW_BIOLOGIST	Misiunile biologului
MINIMAP_SHOW_TELEPORT	Teleporter [U]
MINIMAP_SHOW_SAVEPOINT	Salveazã locaþia [F11]
MINIMAP_SHOW_OFFLINESHOP	Magazin offline [Y]
RUNE_IS_UNLOCKED1	Ai deblocat runele.
RUNE_IS_UNLOCKED2	Dar înainte trebuie sã aflii despre ce este vorba, citeºte scrisoarea pe care ai primit-o.
TOOLTIP_APPLY_STOLA_COSTUME1A	Tare vs Monºtrii - min: %d%% ºi max: %d%%
TOOLTIP_APPLY_STOLA_COSTUME2A	Tare împotriva Metine - min: %d%% ºi max: %d%%
TOOLTIP_APPLY_STOLA_COSTUME2B	Vitalitate - min: +%d ºi max: +%d
TOOLTIP_APPLY_STOLA_COSTUME3A	Tare împotriva ªefilor - min: %d%% ºi max: %d%%
TOOLTIP_APPLY_STOLA_COSTUME3B	Inteligenþã - min: +%d ºi max: +%d
TOOLTIP_APPLY_STOLA_COSTUME4A	Tare vs Semi-Oameni - min: %d%% ºi max: %d%%
TOOLTIP_APPLY_STOLA_COSTUME5A	Rezistenþã la Semi-Oameni - min: %d%% ºi max: %d%%
TOOLTIP_APPLY_STOLA_COSTUME5B	Putere - min: +%d ºi max: +%d
TOOLTIP_APPLY_STOLA_COSTUME6A	Max. PV - min: +%d ºi max: +%d
GRADE_STOLA	[Grad: %d]
SUPPORT_ERR1	Trebuie sa evoci suportul mai întâi!
SUPPORT_ERR2	Poþi adãuga doar iteme ce pot fi echipate de ºamani.
SUPPORT_ERR3	Nu poþi adãuga acest item.
SUPPORT_ERR4	Item-ul nu este pentru acest sex!
SUPPORT_CONFIRM	Doreºti sã continuii?
SUPPORT_CONFIRM2	Sigur vrei sã ºtergi itemul echipat?
SUPPORT_CONFIRM3	Doreºti sã înlocuieºti?
AFFECT_NEW_POTION1	Fiolã Portocalie
AFFECT_NEW_POTION2	Fiolã Galbenã
AFFECT_NEW_POTION3	Fiolã Albastrã
AFFECT_NEW_POTION4	Fiolã Roºie
AFFECT_NEW_POTION5	Fiolã Verde
AFFECT_NEW_POTION6	Fiolã Violet
AFFECT_NEW_POTION7	Rouã Albastrã
AFFECT_NEW_POTION8	Rouã Portocalie
AFFECT_NEW_POTION9	Rouã Albã
AFFECT_NEW_POTION10	Rouã Galbenã
AFFECT_NEW_POTION11	Rouã Roºie
AFFECT_NEW_POTION12	Rouã Verde
AFFECT_NEW_POTION13	Loviturã Criticã
AFFECT_NEW_POTION14	Loviturã Pãtrunzãtoare
AFFECT_NEW_POTION15	Atacul Zeului Dragon
AFFECT_NEW_POTION16	Apãrarea Zeului Dragon
AFFECT_NEW_POTION17	Inteligenþa Zeului Dragon
AFFECT_NEW_POTION18	Viaþa Zeului Dragon
AFFECT_NEW_POTION19	Elixir Vitezã de Atac
AFFECT_NEW_POTION20	Poþiune Verde(L) (Permanentã)
AFFECT_NEW_POTION21	Inel EXP
AFFECT_NEW_POTION22	Poþiunea Înþelepciunei
AFFECT_NEW_POTION23	Mãnuºa Tâlharului
NEW_POTION_STATUS_0	[Dezactivat(ã)]
NEW_POTION_STATUS_1	[Activat(ã)]
RUNE_POWER	Putere: %d%%
RUNE_POWER_CHARGE	Putere rãmasã: %d%% din %d%%
RUNE_ACTIVATE	Doreºti sã activezi %s?
RUNE_DEACTIVATE	Doreºti sã dezactivezi %s?
RUNE_ACTIVATE_ALL	Doreºti sã activezi toate runele disponibile?
RUNE_DEACTIVATE_ALL	Doreºti sã dezactivezi toate runele disponibile?
RUNE_CHARGE	Vrei sã reîncarci putearea %s cu %s?
RUNE_ACTIVATED_1	Una sau mai multe Rune a/au fost activat(ã/e).
RUNE_ACTIVATED_2	Toate Runele sunt activate.
RUNE_LOCKED	Sistemul runelor va fi deblocat când vei atinge nivelul 70.
MAP_NAME_357	Piramida Anticã
AFFECT_SKILL_QUESTION	Sigur vrei sã dezactivezi efectul abilitãþii?
AFFECT_DROP_QUESTION1	Sigur doreºti sã dezactivezi drop-ul acestui cont?
AFFECT_DROP_QUESTION2	Sigur doreºti sã activezi drop-ul acestui cont?
TOOLTIP_DROP_BLOCK	Drop-ul acestui cont a fost dezactivat. Click aici pentru al activa.
TOOLTIP_DROP_UNBLOCK	Drop-ul acestui cont a fost activat. Click aici pentru al dezactiva.
TOOLTIP_APPLY_ATTBONUS_RUNE	+%d%% tare vs monºtrii Rune	SA
MAP_NAME_218	Dungeon Rune
UI_CHOOSE_LANGUAGE	Alege limba:
UI_END	Închide
UI_GETIN	Intrã acum
WHISPER_ADMIN_SEND_MESSAGE	Trimite mesajul
WHISPER_ADMIN_CLEAR_MESSAGE	ªterge text-ul
WHISPER_ADMIN_CANCEL_ACTION	Terminã acþiunea
WHISPER_ADMIN_LEN_TEXT	[i] Minim / maxim caractere: |cFF7cff00%d|r / |cFFff0000%d|r
WHISPER_ADMIN_CUR_LANG	[i] Limba selectatã: |cFFffce00[%s]
WHISPER_ADMIN_TITLE_NAME	GM: Trimite mesajul pentru aceastã þarã.
WHISPER_ADMIN_MESSAGE	[Server] : [%s] : %s
WHISPER_ADMIN_MESSAGE2	[Server] : [%s] :%s
WHISPER_ADMIN_QUESTION_SEND	Sigur doreºti sã trimiþi mesajul?
WHISPER_ADMIN_CANNOT_SEND_MESSAGE	Nu poþi rãspunde sistemului.
KASMIR_MARKET_PRIVATESHOP_0	Standard
KASMIR_MARKET_PRIVATESHOP_1	O mie ºi una de nopþi
KASMIR_MARKET_PRIVATESHOP_2	Maestrul grãtarului
KASMIR_MARKET_PRIVATESHOP_3	Vânãtor de comori
KASMIR_MARKET_PRIVATESHOP_4	Flacãrã minimã
KASMIR_MARKET_PRIVATESHOP_5	Vãnzãtor de arme
KASMIR_MARKET_PRIVATESHOP_6	Vãnzãre de arme
KASMIR_MARKET_PRIVATESHOP_7	Alchimist
KASMIR_PAKET_STANDART	Standard
KASMIR_PAKET_FIRE	Foc
KASMIR_PAKET_ICE	Gheaþã
KASMIR_PAKET_PAPER	Hârtie
KASMIR_PAKET_RIBON	Scrisoare
KASMIR_PAKET_WING	Aripi
MINIMAP_BOSS_RESPAWN_TIME	Respawn: %d min.
ALERT_SASH_REMOVE_ATTR	Vrei sã continuii?
TOOLTIP_APPLY_ATTBONUS_MEDI_PVM	Paguba medie [PVM] %d%%	SA
TOOLTIP_APPLY_PVM_CRITICAL_PCT	+%d%% posibilitate de a cauza daune critice (PVM)	SA
PET_ASK_LEARN	Sigur vrei sã continuii?
PET_APPLY_MAX_HP_PCT	PV max. +%s%% 	SA
PET_APPLY_ATTBONUS_MONSTER	Tare vs monºtrii +%s%%	SA
PET_APPLY_MEDI_PVM	Paguba medie [PVM] +%s%%	SA
PET_TIME_TOOLTIP	Duratã: %d Zile %d Ore %d Minute
PET_TIME_TOOLTIP_INF	Duratã: Infinitã
PET_TIME_GUI	Duratã: %d (z) %d (o) %d (m)
PET_TIME_GUI_OLD	Duratã: %s / %s Ore
ALERT_REVIVE_PET	Sigur vrei sã hrãneºti pet-ul?
DS_SET_INFO	Activeazã 6 Pietre Dragon +6 pentru a primi urmãtoarele bonusuri:
ASK_SEX_CHOOSE	Mai întâi trebuie sã alegi sexul!
COMB_ALERT	Bonusurile speciale vor fi ºterse!
COMB_ALERT1	Pentru a putea continue trebuie mai întâi sã adaugi Pergamentul Transformãrii.
COMB_ALERT2	Mai întâi trebuie sã adaugi costumul de pe care vor fi luate bonusurile.
COMB_ALERT3	Poþi transfera doar bonusurile costumelor.
COMB_ALERT4	Poþi transfera doar bonusurile costumelor doar dacã sunt de acelaºi tip.
COMB_ALERT5	Poþi transfera doar bonusurile costumelor doar de corp.
COMB_ALERT6	Poþi transfera doar bonusurile costumelor doar dacã sunt de acelaºi tip.
COMB_ALERT7	Costumul trebuie sã aibã cel puþin un bonus!
VIEW_RENDERING	Apasã |Eemoji/key_ctrl|e pentru previzualizare.
DUEL_BLOCK_CHANGE_ITEM	[x] Schimbã Item
DUEL_BLOCK_BUFF	[x] Buff
DUEL_BLOCK_POTION_RED	[x] Poþiuni Roºii
DUEL_BLOCK_HORSE_MOUNT	[x] Cal/Mount
DUEL_BLOCK_PET	[x] Pet
DUEL_BLOCK_POLY	[x] Transformat
DUEL_BLOCK_PARTY	[x] Grup
DUEL_BLOCK_EXCHANGE	[x] Negoþ
DUEL_TARGET_NAME	Dueleazã cu:  
DUEL_MONEY_ADD	[i] Introdu
DUEL_MONEY_CANCEL	[i] Anuleazã
DUEL_MONEY_TITLE	[i] Pariazã Yang
DUEL_MONEY_CURRENT	Suma: 
DUEL_VICTIM_ERROR	<Notificare> Nu poþi continua daca el/ea nu acceptã.
DUEL_MONEY_ERROR_1	<Notificare> Poþi introduce doar numere.
DUEL_MONEY_ERROR_2	<Notificare> Numãrul este invalid.
DUEL_MONEY_ERROR_3	<Notificare> Nu deþii aceastã sumã.
DUEL_TITLENAME	Vizualizare echipament în duel
DUEL_EQUIP_BLOCK	Blocheazã
DUEL_EQUIP_UNBLOCK	Deblocheazã
DUEL_TITLENAME_EQUIP	Echipamentul adversarului:
DUEL_CHOOSE_BLOCK	Alege ce vrei sã blochezi:
DUEL_INFO_1	Nume prs.:
DUEL_INFO_2	Nume breaslã:
DUEL_INFO_3	Nivel:
DUEL_INFO_4	Timp de joc:
DUEL_INFO_5	Câºtigãtorul pariului:
DUEL_INFO_6	Detaliile adversarului:
DUEL_LIVE_VICTIM_LEVEL	Nivel:
DUEL_LIVE_VICTIM_NAME	Nume:
COMMON_SKILL_143A	Creºte valoarea atacului cu: %d%%
COMMON_SKILL_143B	Creºte valoarea atacului magic cu: %d%%
COMMON_SKILL_144	Creºte drop-ul de Yang cu: %d%%
COMMON_SKILL_145	Creºte puterea vs monºtrii cu: %d%%
COMMON_SKILL_146	Creºte PV-UL cu: %d
NEW_EXCHANGE_ADDED	%s a adãugat %s.
NEW_EXCHANGE_YOU_READY	%s eºti pregãtit pentru a face negoþul.
NEW_EXCHANGE_YOU_ACCEPT	%s ai acceptat negoþul.
NEW_EXCHANGE_ACCEPT	%s %s a acceptat negoþul.
NEW_EXCHANGE_YOU_ABORT	%s ai anulat negoþul.
NEW_EXCHANGE_ABORT	%s %s a anulat negoþul.
NEW_EXCHANGE_LEVEL	Lv. %d
NEW_EXCHANGE_ALERT1	Eºti pe cale sã dai iteme pe nimic ºi nu vei
NEW_EXCHANGE_ALERT2	primii înapoi în caz de furt.
EXCHANGE_TITLE	schimbi cu %s
EXCHANGE_TITLE_LEVEL	schimbi cu %s (%d)
USE_200_ITEMS	|Eemoji/key_rclick|e + |Eemoji/key_ctrl|e Pentru a folosi tot stack-ul.
INFO_INCREASE_CHAR_STAT	|Eemoji/key_lclick|e + |Eemoji/key_ctrl|e Pentru a creºte cu 10 puncte.
BATTLE_PASS_JAN20	Decembrie 2021
SKILL_COLOR_SELECT_FIRST	Mai întâi alege o culoare.
SKILL_COLOR_PICK_TOOLTIP	Alege culoarea doritã pentru %s. (Cod HEX : %s)
SKILL_COLOR_PRESET_TOOLTIP_TITLE	Reseteazã Culoarea
SKILL_COLOR_PRESET_TOOLTIP_1	Poþi salva culoarea aleasã dacã doreºti.
SKILL_COLOR_PRESET_TOOLTIP_2	Iar dacã vei avea nevoie de aceeaºi culoare va fi de ajuns
SKILL_COLOR_PRESET_TOOLTIP_3	sã introduci codul din listã.
SKILL_COLOR_CUSTOM_HEX_CODE_TOOLTIP_TITLE	Codul culorii
SKILL_COLOR_CUSTOM_HEX_CODE_TOOLTIP_1	Poþi folosi o culoare personalizatã folosind codul acesteia HEX.
SKILL_COLOR_CUSTOM_HEX_CODE_TOOLTIP_2	De exemplu: #FFFFFF (Alb).
SKILL_COLOR_DO_YOU_RESET	Vrei sã resetezi culoarea abilitãþii?
SKILL_COLOR_DO_YOU_CHANGE	Vrei sã schimbi culoarea abilitãþii?
SKILL_COLOR_SELECT_PRESET	Alege o culoare.
SKILL_COLOR_SELECT_PRESET_NONE	Nici o culoare salvatã.
SKILL_COLOR_CANNOT_SAVE	Nu poþi salva alte culori.
ENVANTER_KEY_NEED	Ai nevoie de încã %s chei.
ENVANTER_EXPANS_1	Vrei sa extinzi inventarul cu ajutorul a %s chei?
SHOP_NOT_ENOUGH_ITEM	Nu deþii itemele necesare pentru a completa aceastã achiziþie.
SELECT_YES_GUILD	Numele breslei: %s
EMPIRE_SELECT	Selecteazã
CHARACTER_CREATE_MALE	Bãrbat
CHARACTER_CREATE_FEMALE	Femeie
CHARACTER_CREATE_APPEARANCE1	Still 1
CHARACTER_CREATE_APPEARANCE2	Still 2
INTRO_SELECT_LEVEL	Lv. %d
GRADE_CIANITE_EPIC	[Grad Epic]
GRADE_CIANITE_LEGG	[Grad Legendar]
GRADE_CIANITE_ANTIC	[Grad Antic]
GRADE_CIANITE_MISTC	[Grad Mistic]
REFINE_ERROR_ADD_PERC_STONES	[Îmbunãtãþire] Nu poþi adãuga poþiuni la îmbunãtãþirea pietrelor.
REFINE_COST_UPGRADE	[i] Cost de îmbunãtãþire
REFINE_CURRENT_ITEM	[i] Item actual
REFINE_NEXT_ITEM	[i] Item dupã upp
REFINE_NEED_ITEMS	[i] Iteme cerute
REFINE_PERCENTAGE_LOW	+5%
REFINE_PERCENTAGE_MEDIUM	+10%
REFINE_PERCENTAGE_EXTRA	+15%
REFINE_INCREASE_PERCENTAGE	[Extra + %d%%]
REFINE_ERROR_ITEM_VNUM	[Îmbunãtãþire] Nu poþi adãuga acest item.
REFINE_ERROR_ITEM_COUNT	[Îmbunãtãþire] Poþi adãuga maxim 1 poþiune de tip.
REFINE_ERROR_ITEM_OVERFLOW_PERCENTAGE	[Îmbunãtãþire] Procentul total este de 100%.
REFINE_ERROR_ADD_PERC_STONES	[Îmbunãtãþire] Nu poþi adãuga poþiuni la îmbunãtãþirea poþiunilor.
HIDE_COSTUME	Ascunde costume
SHOW_COSTUME	Aratã costume
UI_CHANNEL_GO	Schimbã
UI_CHANNEL_CLOSE	Închide
UI_CHANNEL_CHOOSE	Alege CH
UI_CHANNEL_REFRESH	Reîmprospãteazã
UI_CHANNEL_YET_ON_THIS_CH	Deja te aflii pe acest CH.
TOOLTIP_APPLY_ATTBONUS_ELEC	Puterea Fulgerului +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_FIRE	Puterea Focului +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ICE	Puterea Gheþii +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WIND	Puterea Vântului +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_EARTH	Puterea Pãmântului +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DARK	Puterea Întunericului +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_IRR_SPADA	Întrerupe apãrarea sabie +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_IRR_SPADONE	Întrerupe apãrarea armei de douã-mâini +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_IRR_PUGNALE	Întrerupe apãrarea pumnale +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_IRR_FRECCIA	Întrerupe apãrarea sageþi +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_IRR_VENTAGLIO	Întrerupe apãrarea evantai +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_IRR_CAMPANA	Întrerupe apãrarea clopot +%d%%	SA
TOOLTIP_APPLY_RESIST_MEZZIUOMINI	Rezistenþã la Semi-Oameni %d%%	SA
TOOLTIP_APPLY_DEF_TALISMAN	Apãrare: +%d	SA
TOOLTIP_APPLY_ATTBONUS_FORT_ZODIAC	Tare vs monºtrii Zodiac +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_IRR_ARTIGLIO	Întrerupe apãrarea ghearã +%d%%	SA
SUPPORT_SKILL_VALUE	Valoarea abilitãþii
SUPPORT_CHAR_TITLE	Buff Suport
LOCALIZATION_TITLE	Sistem Locaþii
LOCALIZATION_DESC_BTN_EDIT	[i] Editeazã numele locaþiei
LOCALIZATION_SAVE	Salveazã
UPDATE_GAYA_MARKET	Doreºti sã actualizezi piaþa Gaya?
EXPAND_GAYA	Doreºti sã extinzi piaþa Gaya?
GAYA_SYSTEM_UNIT_GAYA	Gaya
TIME_MIN_SEC	%dMin:%dSec
TIME_MIN	%dMin
CANNOT_CHANGE_FIGHT_MODE	Nu poþi schimba modul de luptã în aceastã mapã.
DEFANCE_WAWE_MAST_TEXT	Catârgul Navei
DEFANCE_WAWE_GAUGE_TOOLTIP	PV: 990000000 /990000000
LOCALIZATION_TELEPORT	Teleport
LOCALIZATION_EDIT	Salveazã
LOCALIZATION_CANCEL	Anuleazã
LOCALIZATION_CHANGE_NAME	Salveazã numele locaþiei
TARGET_INFO_DAMAGE	Daune : %s - %s
TARGET_INFO_DEFENSE	Apãrare : %s
TARGET_INFO_EXP	Experienþã : %s
TARGET_INFO_MAINRACE	Rasã : %s
TARGET_INFO_MAX_HP	Max. PV : %s
TARGET_INFO_NO_ITEM_TEXT	Nici un item disponibil.
TARGET_INFO_NO_RACE	Gol
TARGET_INFO_RACE_METIN	Metin
TARGET_INFO_RACE_ANIMAL	Animal
TARGET_INFO_RACE_DARK	Întunecat
TARGET_INFO_RACE_DEVIL	Diavol
TARGET_INFO_RACE_EARTH	Pãmânt
TARGET_INFO_RACE_ELEC	Fulger
TARGET_INFO_RACE_FIRE	Foc
TARGET_INFO_RACE_HUMAN	Semi-Om
TARGET_INFO_RACE_ICE	Gheaþã
TARGET_INFO_RACE_MILGYO	Mistic
TARGET_INFO_RACE_ORC	Orc
TARGET_INFO_RACE_UNDEAD	Vampir
TARGET_INFO_RACE_WIND	Vânt
TARGET_INFO_STONE_NAME	Piatrã fantomã
TARGET_INFO_SUBRACE	Subspecii : %s
SWITCHBOT_TITLE	Switchbot
SWITCHBOT_START	Start
SWITCHBOT_STOP	Stop
SWITCHBOT_EMPTY_ATTR	- Gol -
SWITCHBOT_SELECT_ATTR	Selecteazã bonusul
SWITCHBOT_CLEAR_ATTR	ªterge
SWITCHBOT_CONFIGURATION_TITLE	Setãri salvate
SWITCHBOT_SAVE_BUTTON	Deschide salvãrile
SWITCHBOT_SAVE	Salveazã
SWITCHBOT_LOAD_CONFIGURATION	Încarcã
SWITCHBOT_CLEAR_CONFIGURATION	Curãþã
SASH_REFINE_COST	Pret absorbþie: %d
SASH_ABSORB_CHANCE	Ratã de absorbire: %d%%
SASH_ABSORB_CHANCE2	Ratã de absorbire: %d%% ~ %d%%
SASH_DO_YOU_CLEAN	Vrei sã ºtergi toate bonusurile disponibile?
SASH_FAILURE_CLEAN	Nici un bonus nu poate fi ºters.
SASH_DEL_SERVEITEM	Eºarfa 2 va fi distrusã.
SASH_DEL_ABSORDITEM	Absorbi item-ul, distrugându-l în acest proces?
LOGIN_FAILURE_WRONG_VERSION	Versiunea clientul-ui tãu este veche. Te rugãm sã actualizezi.
DETAILS_79	Paguba medie [PVM]
DETAILS_CATE_7	BONUSURI ALTERNATIVE
DO_YOU_BUY_ITEM3	Vrei sã cumperi %s pentru %s Yang?
DO_YOU_BUY_ITEM4	Vrei sã cumperi %s (%s unitate) pentru %s Yang?
FINDM_BUTTON_01	Retrage
FINDM_BUTTON_02	Îmbunãtãþeºte
FINDM_POPUP_01	Nu ai toate obiectele necesare pentru a deschide mini jocul.
FINDM_POPUP_02	Nu ai destul(e) %s.
FINDM_POPUP_03	Nu se mai poate folosi.
FINDM_POPUP_04	Aceasta este deja recompensa îmbunãtãþitã.
FINDM_POPUP_05	Nu ai destul Yang pentru mini joc.
FINDM_POPUP_06	Dacã nu o învârþi în %d secund(e), cele 3 carþi vor fi învârtite automat.
FINDM_QUESTION_01	Vei consuma %d Yang ºi %s.\nContinuii?
FINDM_QUESTION_02	Reîncerci sã foloseºti %s %d?
FINDM_QUESTION_03	Recompensã: %s
FINDM_QUESTION_04	Un nou tentativ? În cazul în care eºueazã recompensa actualã va rãmâne a ta.
FINDM_QUESTION_05	Terminã jocul ºi retrage recompensa?
FINDM_TOOLTIP_01	Dacã nu faci nimic în intervalul de timp arãtat, cele 3 carþi vor fi învârtite automat.
GUILDLAND_ABANDON_VOTE	Donezi pãmântul breslei tale cãtre breasla %s.
GUILDLAND_ABANDON_VOTE_RESULT1	Pãmântul breslei a fost donat cãtre breasla %s.
GUILDLAND_ABANDON_VOTE_RESULT2	Pãmântul breslei a fost donat.
GUILDLAND_ABANDON_VOTE_RESULT3	Rezultatul sondajului:
GUILDLAND_ABANDON_VOTE_RESULT4	Sondajul este invalid.
GUILDLAND_ABANDON_VOTE_TEXT	Sigur vrei sã începi sondajul?
GUILDLAND_ABANDON_VOTE_TEXT1	Votezi pro pentru donarea pãmântului al breslei?
GUILDLAND_DEAL	Vinde terenul breslei
GUILDLAND_DEAL_TEXT1	Breasla %s vrea sã vândã terenul acesteia,
GUILDLAND_DEAL_TEXT2	pentru %s Yang.
GUILDLAND_DEAL_TEXT3	Accepþi oferta?
GUILDLAND_DELA_VOTE	Breasla %s doreºte sã achiziþioneze terenul.
GUILDLAND_DELA_VOTE_RESULT1	Vânzarea terenului cãtre breasla %s.
GUILDLAND_DELA_VOTE_RESULT2	Sondajul a luat sfârºit.
GUILDLAND_DELA_VOTE_RESULT3	Rezultatul sondajul pentru vinderea terenului:
