TELEPORT_PANEL_TITLE	teleport
GUILD_WAR_TYPE_DEFENSE	ätÌtov· bitva
GUILD_WAR_TYPE_DIE	Bitva v arÈnÏ
GUILD_WAR_TYPE_FLAG	Zajmout vlajku
GUILD_WAR_TYPE_NORMAL	PolnÌ bitva
GUILD_WAR_TYPE_TIGER	RozdrcenÌ
GUILD_WAR_TYPE_TIME	»asov˝ ˙tok
GUILD_WAR_WARP	Arena
GUILD_WAR_WIN	Kola
GUILD_WAR_WIN_FIVE	5
GUILD_WAR_WIN_ONE	1
GUILD_WAR_WIN_THREE	3
GUILD_WATER	Voda
GUILD_WATER_STONE	VodnÌ k·men
GUILD_WITHDRAW	VzÌt
HELP_ATTACK	Aktivuje jeden ˙tok na jedno kliknutÌ myöi.
HELP_ATTACK_KEY	⁄tok: stiskni mezernÌk nebo levÈ tlaËÌtko myöi
HELP_AUTO_ATTACK	Aktivuje automatickÈ ˙toËenÌ na kliknutÌ myöi.
HELP_CAMERA	Pohled kamery
HELP_CHANGE_PK_MODE	ZmÏnit ˙toËn˝ mÛd: zmÏÚte nastavenÌ levÈho tlaËÌtka myöi
HELP_CHARACTER_BUTTON1	(Okno postavy, Invent·¯,
HELP_CHARACTER_BUTTON2	Seznam p¯·tel a Moûnosti)
HELP_CHAT	Pro konverzaci k urËitÈ skupinÏ dej p¯ed zpr·vu n·sledujÌcÌ:  !(zavolat), #(skupinov˝ chat) nebo %(cechovnÌ chat).
HELP_CLICK_OTHER_PLAYER	Klikni prav˝m tlaËÌtkem na jinÈho hr·Ëe pro obchod, vytvo¯enÌ skupiny nebo v˝zvu k souboji.
HELP_CONTROL_CAMERA_BY_MIDDLEBUTTON	V˝chozÌ pohled kamery: st¯ednÌ tlaËÌtko myöi
HELP_CONTROL_CAMERA_BY_RIGHTBUTTON	AlternativnÌ pohled kamery: pravÈ nebo levÈ tlaËÌtko myöi
HELP_EMOTINO	Vyj·d¯i svÈ emoce pomocÌ kl·ves <CTRL> + <1~9>.
HELP_EXP	Zkuöenost
HELP_FURY	Item Shop ve h¯e
HELP_GUILD_WINDOW	Otev¯Ìt okno cechu: stistknutÌm kl·ves Alt + G
HELP_HELP	Zobrazit n·povÏdu: stisknutÌm kl·vesy H
HELP_HELP_KEY	V˝chozÌ nastavenÌ jsou zobrazeny na obrazovce n·povÏdy.
HELP_HP	Body ûivota (ZB)
HELP_KEYSETTING	NastavenÌ kl·ves m˘ûeö provÈst v nastavenÌ hry.
HELP_MESSENGER_WINDOW	Otev¯Ìt Seznam p¯·tel: pomocÌ kl·ves Alt + M
HELP_MINIMAP	ZobrazÌ minimapu.
HELP_MINIMAP_QUEST	Mise jsou zobrazeny na velkÈ i malÈ mapÏ jako blikajÌcÌ ikony.
HELP_MOUSE_LEFT	Funkce levÈho tlaËÌtka myöi
HELP_MOUSE_RIGHT	Funkce pravÈho tlaËÌtka myöi
HELP_MOVE_KEY	Pohyb: k pohybu pouûij kl·vesy W, S, A, D nebo öipky
HELP_OFF_QUESTSCROLL	Zobraz/skryj svitky ˙kol˘ pomocÌ <CTRL> + Q.
HELP_OPEN_CHARACTER	Otev¯Ìt okno postavy: pomocÌ kl·vesy C
HELP_OPEN_CHAT	Otev¯Ìt okno chatu: pomocÌ kl·vesy Enter
HELP_OPEN_INVENTORY	Otev¯Ìt Invent·¯: pomocÌ kl·vesy I
HELP_OPEN_LOG	Otev¯Ìt log chatu: pomocÌ kl·vesy L
HELP_OPEN_MINIMAP	Otev¯Ìt Minimapu: pomocÌ kl·ves Shift + M
HELP_OPEN_QUEST	Otev¯Ìt okno s ˙koly: pomocÌ kl·vesy N
HELP_OPEN_SKILL	Otev¯Ìt okno schopnosti: pomocÌ kl·vesy V
HELP_OPEN_WHISPER	Otev¯Ìt äepot: pomocÌ kl·ves Shift + Enter
HELP_OPEN_ZONEMAP	Otev¯Ì velkou mapu: pomocÌ kl·vesy M
HELP_PICK_ITEM	Zvedat p¯edmÏty: pomocÌ kl·ves ^ nebo Y nebo lev˝m tlaËÌtkem myöi
HELP_QUICKSLOT	Pole rychlÈho p¯Ìstupu
HELP_SCREEN_CAPTURE	Uloûit SnÌmek obrazovky: pomocÌ kl·vesy Print (bude uloûen v souboru "Metin2\screenshot")
HELP_SERVER	ZobrazÌ server a kan·l.
HELP_SHOW_ALL_NAME	Zobrazit JmÈna: pomocÌ kl·vesy Alt
HELP_SKILL	Zde m˘ûeö pouûÌt schopnost pomocÌ pravÈho tlaËÌtka myöi.
HELP_SP	MagickÈ Body (MB)
HELP_SYSTEM_BUTTON	SystÈmovÈ kl·vesy
INVENTORY_PAGE_BUTTON_TOOLTIP_1	1. Invent·¯
INVENTORY_PAGE_BUTTON_TOOLTIP_2	2. Invent·¯
INVENTORY_PAGE_BUTTON_TOOLTIP_3	3. invent·¯
INVENTORY_PAGE_BUTTON_TOOLTIP_4	4. invent·¯
INVENTORY_TITLE	Invent·¯
ITEM_MALL	Item Shop
KEYCHANGE_ACTION_WINDOW	Akce
KEYCHANGE_ATTACK	⁄tok
KEYCHANGE_AUTORUN	Aut. bÏh
KEYCHANGE_AUTO_WINDOW	Automatick˝ lov
KEYCHANGE_BASEACTION	StandardnÌ kl·vesy
KEYCHANGE_CAM_DOWN1	Kamera (dol˘)
KEYCHANGE_CAM_DOWN2	Kamera (dol˘)
KEYCHANGE_CAM_LEFT1	Kamera (vlevo)
KEYCHANGE_CAM_LEFT2	Kamera (vlevo)
KEYCHANGE_CAM_RIGHT1	Kamera (vpravo)
KEYCHANGE_CAM_RIGHT2	Kamera (vpravo)
KEYCHANGE_CAM_UP1	Kamera (nahoru)
KEYCHANGE_CAM_UP2	Kamera (nahoru)
KEYCHANGE_CAM_ZOOM_IN1	Kamera (zvÏtöenÌ)
KEYCHANGE_CAM_ZOOM_IN2	Kamera (zvÏtöit)
KEYCHANGE_CAM_ZOOM_OUT1	Kamera (zmenöenÌ)
KEYCHANGE_CAM_ZOOM_OUT2	Kamera (zmenöit)
KEYCHANGE_CANCLE	Storno
KEYCHANGE_CHAT_WINDOW	Historie konverzace
KEYCHANGE_CLEAR	StandardnÌ
KEYCHANGE_DDS_WINDOW	DSS
KEYCHANGE_DOWN1	Dozadu
KEYCHANGE_DOWN2	Dozadu
KEYCHANGE_DSS1	DS [Nebe]
KEYCHANGE_DSS2	DS [ZemÏ]
KEYCHANGE_EMOTION1	Emoce (smutn˝)
KEYCHANGE_EMOTION2	Emoce (Yang)
KEYCHANGE_EMOTION3	Emoce (hudba)
KEYCHANGE_EMOTION4	Emoce (srdce)
KEYCHANGE_EMOTION5	Emoce (srdce)
KEYCHANGE_EMOTION6	Emoce (bomba)
KEYCHANGE_EMOTION7	Emoce (n·pad)
KEYCHANGE_EMOTION8	Emoce (bou¯e)
KEYCHANGE_EMOTION9	Emoce (omlouv·m se)
KEYCHANGE_GUILD_WINDOW	Cech
KEYCHANGE_HELP_WINDOW	N·povÏda
KEYCHANGE_IMPOSSIBLE_CHANGE	[CTRL], [ALT], [SHIFT] zde nejsou povoleny!
KEYCHANGE_INGAMEEVENT	UD¡LOST
KEYCHANGE_INTERFACE	Okno
KEYCHANGE_INVENTORY_WINDOW	Invent·¯
KEYCHANGE_KEY_SETTING	NastavenÌ kl·vesnice
KEYCHANGE_LEFT1	Vlevo
KEYCHANGE_LEFT2	Vlevo
KEYCHANGE_MESSENGER_WINDOW	P¯·telÈ
KEYCHANGE_MINIMAP_MINER	Minimapa (-)
KEYCHANGE_MINIMAP_PLUS	Minimapa (+)
KEYCHANGE_MINIMAP_WINDOW	Velk· mapa
KEYCHANGE_MONSTER_CARD_WINDOW	Karta p¯Ìöery
KEYCHANGE_NEXT_TARGET	DalöÌ cÌl
KEYCHANGE_PARTY_MATCH_WINDOW	SkupinovÈ hled·nÌ
KEYCHANGE_PET_WINDOW	MazlÌk
KEYCHANGE_QUEST_SCROLL_ONOFF	Svitky ˙kol˘
KEYCHANGE_QUEST_WINDOW	⁄koly
KEYCHANGE_QUICKSLOT1	⁄roveÚ 1
KEYCHANGE_QUICKSLOT2	⁄roveÚ 2
KEYCHANGE_QUICKSLOT3	⁄roveÚ 3
KEYCHANGE_QUICKSLOT4	⁄roveÚ 4
KEYCHANGE_RIDE	Nasednout
KEYCHANGE_RIDE_BYE	Odeslat konÏ
KEYCHANGE_RIDE_HORSE	Nasednout
KEYCHANGE_RIDE_PEED	Nakrmit konÏ
KEYCHANGE_RIGHT1	Vpravo
KEYCHANGE_RIGHT2	Vpravo
KEYCHANGE_ROOT1	Sebrat
KEYCHANGE_ROOT2	Sebrat
KEYCHANGE_SAVE	Uloûit
KEYCHANGE_SCREENSHOT	SnÌmek obrazovky
KEYCHANGE_SHOW_NAME	Zobrazit jmÈna
KEYCHANGE_SKILL_WINDOW	Schopnosti
KEYCHANGE_SLOT1	Pozice 1
KEYCHANGE_SLOT2	Pozice 2
KEYCHANGE_SLOT3	Pozice 3
KEYCHANGE_SLOT4	Pozice 4
KEYCHANGE_SLOT5	Pozice 5
KEYCHANGE_SLOT6	Pozice 6
KEYCHANGE_SLOT7	Pozice 7
KEYCHANGE_SLOT8	Pozice 8
KEYCHANGE_SLOT_KET	Rychl· volba
KEYCHANGE_STATUS_WINDOW	Postava
KEYCHANGE_UP1	Dop¯edu
KEYCHANGE_UP2	Dop¯edu
LANGUAGE_AE	Arabsky
LANGUAGE_CZ	»esky
LANGUAGE_DE	NÏmecky
LANGUAGE_DK	D·nsky
LANGUAGE_EN	Anglicky
LANGUAGE_ES	äpanÏlsky
LANGUAGE_FR	Francouzsky
LANGUAGE_GR	ÿecky
LANGUAGE_HU	MaÔarsky
LANGUAGE_IT	Italsky
LANGUAGE_NL	Holandsky
LANGUAGE_PL	Polsky
LANGUAGE_PT	Portugalsky
LANGUAGE_RO	Rumunsky
LANGUAGE_RU	Rusky
LANGUAGE_TR	Turecky
LOAD_ERROR	Soubor je poökozen. ProsÌm nainstaluj Client znovu. TeÔ stiskni kl·vesu ESC.
LOGIN_CONNECT	P¯ipojit
LOGIN_CONNECTING	Budeö spojen se serverem.
LOGIN_DEFAULT_SERVERADDR	N·zev serveru, kan·l 1
LOGIN_EXIT	UkonËit
LOGIN_ID	UûivatelskÈ jmÈno
LOGIN_PASSWORD	Heslo
LOGIN_REGION_TITLE	Zvolit mÌsto na vystavenÌ ˙Ëtenky
LOGIN_SELECT_BUTTON	Zvolit
LOGIN_SELECT_EXIT	UkonËit
LOGIN_SELECT_OK	OK
LOGIN_SELECT_TITLE	Zvolit server
LUCKY_BOX_NOTICE_YANG	Poplatek v YanzÌch za ötÏstÌ novÈho p¯edmÏtu
LUCKY_BOX_RECV_BUTTON	P¯ijmout p¯edmÏt
LUCKY_BOX_RECV_NAME	Obsahuje:
LUCKY_BOX_RETRY_BUTTON	ätÏstÌ novÈho p¯edmÏtu
LUCKY_BOX_TITLE_NAME	Truhla ätÏstÌ
MAILBOX_POST_ALL_DELETE_BUTTON	Smazat vöe
MAILBOX_POST_ALL_RECEIVE	ZÌskat vöe
MAILBOX_POST_READ_BLOCK	Blokovat
MAILBOX_POST_READ_DELETE	Smazat
MAILBOX_POST_READ_FROM	Od
MAILBOX_POST_READ_MAIN_TITLE	Zpr·va
MAILBOX_POST_READ_RECV	ZÌskat
MAILBOX_POST_READ_TITLE	P¯edmÏt
MAILBOX_POST_SEND_TITLE	Zpr·va
MAILBOX_POST_WRITE_BUTTON_TEXT	Odeslat
MAILBOX_POST_WRITE_CLOSE_TEXT	Zav¯Ìt
MAILBOX_POST_WRITE_CONFIRM_TEXT	Zkontrolovat p¯Ìjemce
MAILBOX_POST_WRITE_SEND_TEXT	Odeslat
MAILBOX_POST_WRITE_TITLE	P¯edmÏt
MAILBOX_POST_WRITE_TO	Pro
MAILBOX_TITLE	DoruËen· poöta
MALL_PASSWORD_TITLE	Heslo
MALL_TITLE	Sklad Item Shop
MARKET_TITLE	Nahr·t
MARKLIST_REFRESH	Aktualizovat
MARKLIST_TITLE	Zaregistrovat logo cechu
MC_EXCHANGE_BUTTON	ZamÏnit
MC_MISSION_INIT_BUTTON	Zresetovat ˙roveÚ mise
MC_MOTION_BUTTON	Pohyb
MC_POLY_BUTTON	Transformovat
MC_PROMOTION_BUTTON	Vylepöit
MC_REQUEST_MISSION_BUTTON	P¯ijmout misi
MC_REWARD_CARD_BUTTON	Sebrat kartu p¯Ìöery
MC_SHUFFLE_BUTTON	ZamÌchat karty misÌ
MC_SUMMON_BUTTON	Vyvolat
MC_TAB_BUTTON_CARD_MISSION	Karta mise
MC_TAB_BUTTON_PARTY	SbÌrka bludiötÏ
MC_TAB_BUTTON_SOLO	Otev¯Ìt SbÌrku svÏta
MC_WARP_BUTTON	Teleportace
MESSAGE	Toto je zpr·va
MESSENGER_ADD_FRIEND	P¯idat p¯·tele
MESSENGER_BLOCK_FRIEND	Blokovat
MESSENGER_DELETE_FRIEND	Smazat
MESSENGER_MOBILE	Poslat SMS
MESSENGER_OPEN_GUILD	Otev¯Ìt okno cechu
MESSENGER_TITLE	P¯·telÈ
MESSENGER_USE_GUILD_MOVE_SKILL	Pouûij cechovnÌ schopnost pohybu
MESSENGER_WHISPER	äeptat
MINIGAME_FISH_EVENT_USE_COUNT	MnoûstvÌ
MINIMIZE	Minimalizovat [ESC]
MINI_BOSS_DUNGEON_DESC_BTN	Pravidla ud·losti
MINI_BOSS_DUNGEON_TITLE_NAME	N·zev
MINI_BOSS_DUNGEON_TITLE_NUM	Hodnost
MINI_BOSS_DUNGEON_TITLE_POINT	Body apokalypsy
MINI_BOSS_DUNGEON_TOOTIP_01	P¯ehled bludiötÏ
MINI_BOSS_DUNGEON_TOOTIP_02	Apokalypsa pro ˙rovnÏ 40-80
MINI_BOSS_DUNGEON_TOOTIP_03	Apokalypsa pro ˙rovnÏ 81+
MINI_BOSS_DUNGEON_TOOTIP_04	Vstoupit
MINI_BOSS_DUNGEON_TOOTIP_05	Zb˝vajÌcÌ Ëas
MINI_BOSS_DUNGEON_TOOTIP_06	MÈ Body apokalypsy
MINI_BOSS_DUNGEON_TOOTIP_07	Zb˝vajÌcÌ apokalypsy
MINI_BOSS_DUNGEON_TOOTIP_08	M· odmÏna
MINI_BOSS_TITLE	Apokalypsa ZvÏrokruhu
MINI_GAME_BLACK_AND_WHITE_DONATE	Darovat
MINI_GAME_BLACK_AND_WHITE_GAME_TITLE	Souboj vÏötc˘
MINI_GAME_BLACK_AND_WHITE_RANK_BUTTON	éeb¯ÌËek
MINI_GAME_BLACK_AND_WHITE_REWARD_TRADE	Ceny
MINI_GAME_BLACK_AND_WHITE_START_BUTTON	Start
MINI_GAME_BLACK_AND_WHITE_WAITTING_TITLE	Souboj vÏötc˘
MINI_GAME_CATCHKING_CHALLENGE	S·zka
MINI_GAME_CATCHKING_HELP_TEXT	Pravidla
MINI_GAME_CATCHKING_HIGH_SCORE	NejlepöÌ skÛre
MINI_GAME_CATCHKING_MYNUMBER	MÈ karty
MINI_GAME_CATCHKING_POPUP_CONFIRM	Zobrazit/skr˝t okno
MINI_GAME_CATCHKING_RETRY	Hr·t znovu
MINI_GAME_CATCHKING_REWARD	Tv· odmÏna
MINI_GAME_CATCHKING_SCORE	Body
MINI_GAME_CATCHKING_SELECTION_NUMBER	OdhalenÈ karty
MINI_GAME_CATCHKING_START_TEXT	Start
MINI_GAME_CATCHKING_TITLE	Chyù kr·le
MINI_GAME_FISH_HELP_TEXT	N·povÏda
MINI_GAME_FISH_START_TEXT	Start
MINI_GAME_FISH_TITLE	Ryb·¯sk· skl·daËka
MINI_GAME_RUMI_DISCARD_TEXT	ZabezpeËen˝ mÛd
MINI_GAME_RUMI_EXIT	Konec
MINI_GAME_RUMI_LBUTTON_DESC	Lev˝ klik pro p¯id·nÌ karty
MINI_GAME_RUMI_RBUTTON_DESC	Prav˝ klik pro zahozenÌ karty
MINI_GAME_RUMI_SCORE	SkÛre
MINI_GAME_RUMI_START_TEXT	Start
MINI_GAME_RUMI_TITLE	Metin 2 - karetnÌ hra Okey
MINI_GAME_YUTNORI_COM_TEXT	PoËÌtaË
MINI_GAME_YUTNORI_PLAYER_TEXT	Hr·Ë
MINI_GAME_YUTNORI_PROBABILITY	äance
MINI_GAME_YUTNORI_PROB_DESC	Zvol skÛre Yut pro zv˝öenÌ öance, ûe padne.
MINI_GAME_YUTNORI_REMAIN_COUNT	Pohyby!
MINI_GAME_YUTNORI_REWARD_TEXT	OdmÏna
MINI_GAME_YUTNORI_SCORE	SkÛre
MINI_GAME_YUTNORI_START_TEXT	Start
MINI_GAME_YUTNORI_THROW	Hodit
MINI_GAME_YUTNORI_TITLE	Yutnori
MINI_GAME_YUTNORI_YUTSEM1	Do
MINI_GAME_YUTNORI_YUTSEM2	Gae
MINI_GAME_YUTNORI_YUTSEM3	Geol
MINI_GAME_YUTNORI_YUTSEM4	Yut
MINI_GAME_YUTNORI_YUTSEM5	Mo
MINI_GAME_YUTNORI_YUTSEM6	Back Do
MISTS_ISLAND_EMPIRE_NAME	N·zev kr·lovstvÌ
MISTS_ISLAND_EMPIRE_SCORE	SkÛre kr·lovstvÌ
MISTS_ISLAND_END_TIME	»as ukonËenÌ
MISTS_ISLAND_EXIT	Opustit
MISTS_ISLAND_INFO_TEXT	Po¯adÌ/Stav
MISTS_ISLAND_RANK	Po¯adÌ
MISTS_ISLAND_SCORE	SkÛre
MISTS_ISLAND_TITLE_RANK	Po¯adÌ/Stav
MISTS_ISLAND_TITLE_SCORE	P¯ehled
MOUSEBUTTON_ATTACK	⁄toËit
MOUSEBUTTON_AUTO_ATTACK	Automaticky ˙toËit
MOUSEBUTTON_CAMERA	Kamera
MOUSEBUTTON_SKILL	Schopnosti
MUSICLIST_TITLE	V˝bÏr hudby
MYSHOP_DECO_CANCEL	Zav¯Ìt
MYSHOP_DECO_DEFAULT	V˝chozÌ
MYSHOP_DECO_NEXT	DalöÌ
MYSHOP_DECO_OK	Potvrdit
MYSHOP_DECO_PREV	ZpÏt
MYSHOP_DECO_SELECT_MODEL	Zvol si vzhled svÈho obchodu.
MYSHOP_DECO_SELECT_TITLE	Zvol si vzhled svÈho jmÈna.
NO	Ne
OK	OK
OPPOSITES	OdmÌtnout
OPTION_ALWAYS_SHOW_NAME	JmÈno
OPTION_ALWAYS_SHOW_NAME_OFF	omezen
OPTION_ALWAYS_SHOW_NAME_ON	vûdy
OPTION_BLOCK	Blokovat
OPTION_BLOCK_EXCHANGE	Obchodovat
OPTION_BLOCK_FRIEND	P¯·telÈ
OPTION_BLOCK_GUILD	Cech
OPTION_BLOCK_PARTY	Skupina
OPTION_BLOCK_PARTY_REQUEST	Dotaz
OPTION_BLOCK_WHISPER	äeptat
OPTION_CAMERA_DISTANCE	Kamera
OPTION_CAMERA_DISTANCE_LONG	Daleko
OPTION_CAMERA_DISTANCE_SHORT	BlÌzko
OPTION_DELETE_MOBILE_BUTTON	Smazat ËÌslo mobilu
OPTION_EFFECT	ZobrazenÌ z·sah˘
OPTION_ENV_EFFECT	Prost¯edÌ
OPTION_ENV_EFFECT_OFF	Vyp.
OPTION_ENV_EFFECT_ON	Zap.
OPTION_FOG	Mlha
OPTION_FOG_DENSE	HodnÏ
OPTION_FOG_LIGHT	M·lo
OPTION_FOG_MIDDLE	St¯ednÏ
OPTION_FOG_OFF	Vyp.
OPTION_FOG_ON	Zap.
OPTION_INPUT_MOBILE_BUTTON	Vloûit ËÌslo mobilu
OPTION_KEY_SETTING	Kl·vesnice
OPTION_LANGUAGE_CHANGE	PouûÌt
OPTION_LANGUAGE_SELECT	Jazyk
OPTION_MOBILE	Mobil
OPTION_MOB_INFO	Info o p¯Ìöe¯e
OPTION_MOB_INFO_AGGR	AgresivnÌ
OPTION_MOB_INFO_LEVEL	⁄roveÚ
OPTION_MUSIC	Hudba
OPTION_MUSIC_CHANGE	ZmÏnit
OPTION_MUSIC_DEFAULT_THEMA	StandardnÌ titul Metinu2
OPTION_NAME_COLOR	N·zev barvy
OPTION_NAME_COLOR_EMPIRE	Barva ¯Ìöe
OPTION_NAME_COLOR_NORMAL	Norm·lnÌ
OPTION_NIGHT_MODE	Noc
OPTION_NIGHT_MODE_OFF	Vyp.
OPTION_NIGHT_MODE_ON	Zap.
OPTION_PVPMODE	Modus PvP
OPTION_PVPMODE_FREE	Voln˝
OPTION_PVPMODE_FREE_TOOLTIP	SmÌö ˙toËit na vöechny hr·Ëe
OPTION_PVPMODE_GUILD	Cech
OPTION_PVPMODE_GUILD_TOOLTIP	SmÌö ˙toËit na vöechny hr·Ëe kromÏ Ëlen˘ vlastnÌho cechu.
OPTION_PVPMODE_PEACE	MÌr
OPTION_PVPMODE_PEACE_TOOLTIP	Nem˘ûeö za˙toËit na hr·Ëe z tvÈho kr·lovstvÌ.
OPTION_PVPMODE_REVENGE	Nep¯·telsky
OPTION_PVPMODE_REVENGE_TOOLTIP	M˘ûeö ˙toËit pouze hr·Ëe s jin˝m sm˝ölenÌm.
OPTION_SETTING	Otev¯Ìt
OPTION_SNOW_MODE	SnÏûenÌ
OPTION_SNOW_MODE_OFF	Vyp.
OPTION_SNOW_MODE_ON	Zap.
OPTION_SNOW_TEXTURE_MODE	SnÌh
OPTION_SNOW_TEXTURE_MODE_OFF	Vyp.
OPTION_SNOW_TEXTURE_MODE_ON	Zap.
OPTION_SOUND	Efekty
OPTION_TARGET_BOARD	CÌlovÈ menu
OPTION_TARGET_BOARD_NO_VIEW	Zav¯Ìt
OPTION_TARGET_BOARD_VIEW	Zobrazit
OPTION_TITLE	NastavenÌ
OPTION_VIEW_CHAT	ÿ·dek v chatu
OPTION_VIEW_CHAT_OFF	skr˝t
OPTION_VIEW_CHAT_ON	uk·zat
PARTY_MATCH_TEXT_DUNGEON_NAME	BludiötÏ
PARTY_MATCH_TEXT_DUNGEON_SELECT	Zvol si bludiötÏ
PARTY_MATCH_TEXT_ENTREE_LEVEL	⁄roveÚ: %d
PARTY_MATCH_TEXT_LEVEL_LIMIT	Poûadavky na ˙roveÚ:
PARTY_MATCH_TEXT_REQUEST_MATCH	Hledat
PARTY_MATCH_TEXT_REQUEST_MATCH_CANCEL	Storno
PARTY_MATCH_TEXT_REQUIRED_ITEMS	Poûadovan˝ p¯edmÏt
PARTY_MEMBER_INFO_NAME	JmÈno Ëlena cechu
PASSWORD_DESC_1	Zadejte svÈ heslo
PASSWORD_DESC_2	k otev¯enÌ skladu.
PASSWORD_DESC_3	Jiû sis zmÏnil heslo?
PASSWORD_DESC_4	Pokud ne, heslo je '000000'.
PASSWORD_DESC_5	SvÈ heslo si zmÏÚ ve skladiöti.
PASSWORD_TITLE	PamÏù- PW
PET_AGE_TEXT	VÏk mazlÌka
PET_ATTR_CHANGE_ITEM_TEXT	ZaËarovat mazlÌka
PET_ATTR_CHANGE_TITLE	ZmÏnit typ mazlÌka
PET_ATTR_CONFIRMATION	ZmÏnit
PET_ATTR_DETERMINE_TITLE	Nov˝ typ mazlÌka
PET_ATTR_OK	Zav¯Ìt
PET_CHANGE_TEXT	MazlÌk
PET_FEED_TITLE	Nakrmit
PET_FFED_BUTTON_TEXT	Nakrmit
PET_HATCHING_BUTTON	VylÌhnout
PET_HATCHING_NIK	JmÈno mazlÌka
PET_HATCHING_WINDOW_TITLE	Inkub·tor
PET_INFORMATION_ABILITIES	Bonusy
PET_INFORMATION_AGE	VÏk
PET_INFORMATION_COSTUME_BONUS	Bonus kost˝mu
PET_INFORMATION_DEFENCE	Obrana
PET_INFORMATION_EVOL_BUTTON	Vyvinout
PET_INFORMATION_EXP	Zkuöenosti
PET_INFORMATION_EXP_BUTTON	Zk. p¯edmÏtu
PET_INFORMATION_HP	ZB
PET_INFORMATION_LEVEL	⁄roveÚ
PET_INFORMATION_LIFE	Doba trv·nÌ
PET_INFORMATION_LIFETIME_BUTTON	Nakrmit
PET_INFORMATION_LIFE_TIME	Hodin
PET_INFORMATION_SKILL	Schopnost
PET_INFORMATION_SP	MB
PET_INFORMATION_TITLE	MazlÌk
PET_NAME_CHANGE_BUTTON	ZmÏnit
PET_NAME_CHANGE_WINDOW_TITLE	ZmÏnit jmÈno
PET_REVIVE_BUTTON	Oûivit
PET_REVIVE_CANCEL_BUTTON	Storno
PET_REVIVE_MATERIAL_TITLE	Materi·l
PET_REVIVE_REUSLT_TEXT	V˝sledek
PET_REVIVE_TARGET	MazlÌk k oûivenÌ
PET_REVIVE_TITLE	Oûivit mazlÌka
PICK_MONEY_TITLE	DÏlit
PRIVATESHOPSEARCH_BUY	Koupit
PRIVATESHOPSEARCH_COUNT	MnoûstvÌ
PRIVATESHOPSEARCH_ITEMNAME	N·zev
PRIVATESHOPSEARCH_ITEMTYPE	P¯edmÏty
PRIVATESHOPSEARCH_JOB	T¯Ìda
PRIVATESHOPSEARCH_LEVEL	⁄roveÚ
PRIVATESHOPSEARCH_PRICE	Cena
PRIVATESHOPSEARCH_REFINE	⁄roveÚ p¯edmÏtu
PRIVATESHOPSEARCH_SEARCH	Hledat
PRIVATESHOPSEARCH_SEARCH_BAR	Hledat
PRIVATESHOPSEARCH_SELECT	Zvolit
PRIVATESHOPSEARCH_SELLER	Prodejce
PRIVATE_SHOP_CLOSE_BUTTON	Zav¯Ìt obchod
PRIVATE_SHOP_NAME	JmÈno obchodu
PRIVATE_SHOP_TITLE	Otev¯Ìt obchod
QUEST_UI_TEXT_COLLECTION	Biologovy ˙koly
QUEST_UI_TEXT_DAILY	DennÌ ˙kol
QUEST_UI_TEXT_EVENT	⁄koly akce
QUEST_UI_TEXT_LEVELUP	LoveckÈ ˙koly
QUEST_UI_TEXT_MAIN	HlavnÌ ˙koly
QUEST_UI_TEXT_SCROLL	⁄koly z Knihy misÌ
QUEST_UI_TEXT_SUB	VedlejöÌ ˙koly
QUEST_UI_TEXT_SYSTEM	HernÌ ˙koly
REFINE_COST	N·klady na zlepöenÌ: 0 Yang˘
REFINE_ELEMENT_CHANGE_COST_TITLE	N·klady
REFINE_ELEMENT_CHANGE_DARK	Temnota
REFINE_ELEMENT_CHANGE_EARTH	ZemÏ
REFINE_ELEMENT_CHANGE_ELECT	Blesk
REFINE_ELEMENT_CHANGE_FIRE	OheÚ
REFINE_ELEMENT_CHANGE_ICE	Led
REFINE_ELEMENT_CHANGE_TITLE	ZmÏnit element
REFINE_ELEMENT_CHANGE_WIND	VÌtr
REFINE_ELEMENT_DOWNGRADE_TITLE	SnÌûit stupeÚ
REFINE_ELEMENT_UPGRADE_TITLE	Vylepöit
REFINE_INFO	PravdÏpodobnost ˙spÏönÈho zlepöenÌ: 100 %
REFINE_MONEY	Poplatek za zuölechtÏnÌ
REFINE_SELECT	ZuölechtÏnÌ
REFINE_TTILE	ZlepöenÌ
REPORT_VIOLENT_WHISPER	
RESTART_GIVEUP	Vzd·t to
RESTART_HERE	Zde znovu spustit
RESTART_IMMEDIATE	Reinkarnace
RESTART_TOWN	Znovu spustit ve mÏstÏ
ROULETTE_SPECIAL_TITLE	OdmÏny (%s)
ROULETTE_SPIN_TEXT1	ZATO»IT
ROULETTE_SPIN_TEXT2	50 duöÌ
ROULETTE_SPIN_TEXT3	250 000 Yang˘
ROULETTE_TITLE	OdmÏny
SAFE_CHANGE_PASSWORD	ZmÏnit heslo
SAFE_TITLE	Sklad
SELECT_ATTR_CHANGED	NovÈ
SELECT_ATTR_CURRENT	Aktu·lnÌ
SELECT_ATTR_SELECT	Zvolit
SELECT_ATTR_TITLE	ZaËarovat p¯edmÏt+
SELECT_ATT_GRADE	SIL
SELECT_CREATE	Vytvo¯it
SELECT_DELETE	Smazat
SELECT_DEX_GRADE	POH
SELECT_EMPIRE_NAME	N·zev kr·lovstvÌ
SELECT_EXIT	UkonËit
SELECT_HP	VIT
SELECT_LEVEL	⁄roveÚ
