NPC_SEARCH	Szukaj NPC
CZ_REWARD_TOOLTIP_CAN_GET_GREEN_BOX	Kliknij tutaj, aby w ramach nagrody odebraæ swój Skarb Aventurin.
CZ_REWARD_TOOLTIP_CAN_GET_YELLOW_BOX	Kliknij tutaj, aby w ramach nagrody odebraæ swój Skarb Aureolin.
CZ_REWARD_TOOLTIP_COMPLETABLE	Zrealizuj
CZ_REWARD_TOOLTIP_GREEN_BOX	Skarb Aventurin
CZ_REWARD_TOOLTIP_GREEN_BOX_COMP_CNT	Zrealizowane Skarby Aventurin: %d
CZ_REWARD_TOOLTIP_WEEKLY	Dzieñ
CZ_REWARD_TOOLTIP_WEEKLY_FRI	Pi¹tek
CZ_REWARD_TOOLTIP_WEEKLY_MON	Poniedzia³ek
CZ_REWARD_TOOLTIP_WEEKLY_SAT	Sobota
CZ_REWARD_TOOLTIP_WEEKLY_SAT_SUN	Sobota/Niedziela
CZ_REWARD_TOOLTIP_WEEKLY_THU	Czwartek
CZ_REWARD_TOOLTIP_WEEKLY_TUE	Wtorek
CZ_REWARD_TOOLTIP_WEEKLY_WED	Œroda
CZ_REWARD_TOOLTIP_YELLOW_BOX	Skarb Aureolin
CZ_REWARD_TOOLTIP_YELLOW_BOX_COMP_CNT	Zrealizowane Skarby Aureolin: %d
DAY	d
DETAILS_10	Si³a vs Pot. Pustyni
DETAILS_11	Si³a vs Insektom
DETAILS_14	Przeciêtne Obra¿enia
DETAILS_15	Odp. na Przeciê.Obr.
DETAILS_16	Obra¿. umiejêtnoœci
DETAILS_17	Odpornoœæ na obra¿. umiej.
DETAILS_19	Magiczny Atak
DETAILS_20	Szansa na Cios Kryt.
DETAILS_21	Przeszyw. Cios
DETAILS_22	Odp. na Przesz. Cios
DETAILS_23	Odp. na Przesz. Cios
DETAILS_24	Odp. na B³yskawice
DETAILS_25	Odp. na Lód
DETAILS_26	Odp. na Mrok
DETAILS_27	Odp. na Ogieñ
DETAILS_28	Odp. na Wiatr
DETAILS_29	Odp. na Ziemiê
DETAILS_3	Si³a vs Orkom
DETAILS_30	Moc B³yskawic
DETAILS_31	Moc Lodu
DETAILS_32	Moc Mroku
DETAILS_33	Moc Ognia
DETAILS_34	Moc Wiatru
DETAILS_35	Moc Ziemi
DETAILS_36	Si³a vs Wojownikom
DETAILS_37	Si³a vs Ninja
DETAILS_38	Si³a vs Sura
DETAILS_39	Si³a vs Szamanom
DETAILS_4	Si³a vs Nieumar³ym
DETAILS_40	Si³a vs Likanom
DETAILS_41	Obrona vs Wojownikom
DETAILS_42	Obrona vs Ninja
DETAILS_43	Obrona vs Sura
DETAILS_44	Obrona vs Szamanom
DETAILS_45	Obrona vs Likanom
DETAILS_46	Odpornoœæ na Miecz
DETAILS_47	Odp. na Br. Dwurêczn¹
DETAILS_48	Odpornoœæ na Sztylet
DETAILS_49	Odpornoœæ na Szpon
DETAILS_5	Si³a vs Potworom
DETAILS_50	Odpornoœæ na Dzwon
DETAILS_51	Odpornoœæ na Wachlarz
DETAILS_52	Odpornoœæ na Strza³
DETAILS_53	Szansa na Omdlenie
DETAILS_54	Szansa na Spowolnie.
DETAILS_55	Szansa na Zatrucie
DETAILS_56	Odp. na Truciznê
DETAILS_57	Atak Krwawienia
DETAILS_58	Odp. Atak Krw.
DETAILS_6	Si³a vs Potw. Zodiaku
DETAILS_7	Si³a vs Zwierzêtom
DETAILS_76	Odp. na Magiê
DETAILS_77	Antymagia
DETAILS_8	Si³a vs Mistykom
DETAILS_9	Si³a vs Diab³om
DETAILS_ATTBONUS_BELL	Z³amanie Dzwonu
DETAILS_ATTBONUS_BOW	Z³amanie Strza³y
DETAILS_ATTBONUS_CLAW	Z³amanie Szponów
DETAILS_ATTBONUS_DAGGER	Z³amanie Sztyletu
DETAILS_ATTBONUS_FAN	Z³amanie Wachlarza
DETAILS_ATTBONUS_SWORD	Z³amanie Miecza
DETAILS_ATTBONUS_TWOHAND	Z³amanie Broni oburêcznej
DETAILS_RESIST_MOUNT_FALL	Odpornoœæ na Upadek
DETAILS_TITLE	Szczegó³y
DETAILS_TOOLTIP_1	Si³a w walce z LudŸmi: zadaje wiêcej obra¿eñ Ludziom.
DETAILS_TOOLTIP_10	Si³a w walce z potworami pustyni: zadaje wiêksze obra¿enia potworom pustyni.
DETAILS_TOOLTIP_11	Si³a w walce z insektami: zadaje wiêksze obra¿enia insektom.
DETAILS_TOOLTIP_12	Zwiêksza twoj¹ si³ê ataku.
DETAILS_TOOLTIP_13	Zwiêksza twoj¹ si³ê obrony.
DETAILS_TOOLTIP_14	Zwiêksza przeciêtne obra¿enia, które zadajesz przeciwnikom podczas ataku
DETAILS_TOOLTIP_15	Odpornoœæ na przeciêtne obra¿enia: zmniejsza obra¿enia, które odnosisz podczas ataku.
DETAILS_TOOLTIP_16	Zwiêksza obra¿enia zadawane przez umiejêtnoœæ.
DETAILS_TOOLTIP_17	Odpornoœæ na obra¿enia umiejêtnoœci: zmniejsza obra¿enia, które odnosisz wskutek umiejêtnoœci.
DETAILS_TOOLTIP_18	Zwiêksza zarówno fizyczn¹ jak i magiczn¹ si³ê ataku.
DETAILS_TOOLTIP_19	Zwiêksza obra¿enia, które zadajesz przeciwnikom za pomoc¹ magicznych ataków.
DETAILS_TOOLTIP_2	Odpornoœæ na Ludzi: zmniejsza obra¿enia zadawane przez Ludzi.
DETAILS_TOOLTIP_20	Zwiêksza szansê na zadanie ciosu krytycznego.
DETAILS_TOOLTIP_21	Szansa na przeszywaj¹cy cios: zwiêksza szansê na zadanie przeszywaj¹cego ciosu.
DETAILS_TOOLTIP_24	Zmniejsza obra¿enia zadawane przez okreœlone potwory.
DETAILS_TOOLTIP_25	Zmniejsza obra¿enia zadawane przez okreœlone potwory.
DETAILS_TOOLTIP_26	Odpornoœæ na mrok: zmniejsza obra¿enia zadawane przez okreœlone potwory.
DETAILS_TOOLTIP_27	Zmniejsza obra¿enia zadawane przez okreœlone potwory.
DETAILS_TOOLTIP_28	Zmniejsza obra¿enia zadawane przez okreœlone potwory.
DETAILS_TOOLTIP_29	Zmniejsza obra¿enia zadawane przez okreœlone potwory.
DETAILS_TOOLTIP_3	Si³a w walce z orkami: zadaje wiêksze obra¿enia orkom.
DETAILS_TOOLTIP_30	Zwiêksza obra¿enia, które zadajesz za pomoc¹ b³yskawic.
DETAILS_TOOLTIP_31	Zwiêksza obra¿enia, które zadajesz za pomoc¹ lodu.
DETAILS_TOOLTIP_32	Zwiêksza obra¿enia, które zadajesz za pomoc¹ mroku.
DETAILS_TOOLTIP_33	Zwiêksza obra¿enia, które zadajesz za pomoc¹ ognia.
DETAILS_TOOLTIP_34	Zwiêksza obra¿enia, które zadajesz za pomoc¹ wiatru.
DETAILS_TOOLTIP_35	Zwiêksza obra¿enia, które zadajesz za pomoc¹ ziemi.
DETAILS_TOOLTIP_36	Si³a w walce z wojownikami: zadaje wiêksze obra¿enia wojownikom.
DETAILS_TOOLTIP_37	Si³a w walce z ninja: zadaje wiêksze obra¿enia ninja.
DETAILS_TOOLTIP_38	Si³a w walce z sura: zadaje wiêksze obra¿enia sura.
DETAILS_TOOLTIP_39	Si³a w walce z szamanami: zadaje wiêksze obra¿enia szamanom.
DETAILS_TOOLTIP_4	Si³a w walce z nieumar³ymi: zadaje wiêksze obra¿enia nieumar³ym.
DETAILS_TOOLTIP_40	Si³a w walce z likanami: zadaje wiêksze obra¿enia likanom.
DETAILS_TOOLTIP_41	Odpornoœæ na Wojowników: zmniejsza obra¿enia, które odnosisz z rêki Wojowników.
DETAILS_TOOLTIP_42	Odpornoœæ na Ninja: zmniejsza obra¿enia, które odnosisz z rêki Ninja.
DETAILS_TOOLTIP_43	Odpornoœæ na Sura: zmniejsza obra¿enia, które odnosisz z rêki Sura.
DETAILS_TOOLTIP_44	Odpornoœæ na Szamanów: zmniejsza obra¿enia, które odnosisz z rêki Szamanów.
DETAILS_TOOLTIP_45	Odpornoœæ na Likanów: zmniejsza obra¿enia, które odnosisz z rêki Likanów.
DETAILS_TOOLTIP_46	Zmniejsza obra¿enia zadawane mieczem.
DETAILS_TOOLTIP_47	Zmniejsza obra¿enia zadawane broni¹ dwurêczn¹.
DETAILS_TOOLTIP_48	Zmniejsza obra¿enia zadawane sztyletem.
DETAILS_TOOLTIP_49	Zmniejsza obra¿enia zadawane szponem.
DETAILS_TOOLTIP_5	Si³a w walce z potworami: zadaje wiêksze obra¿enia potworom.
DETAILS_TOOLTIP_50	Zmniejsza obra¿enia zadawane dzwonem.
DETAILS_TOOLTIP_51	Zmniejsza obra¿enia zadawane wachlarzem.
DETAILS_TOOLTIP_52	Zmniejsza obra¿enia zadawane ³ukiem i strza³ami.
DETAILS_TOOLTIP_53	Zwiêksza szansê wywo³ania u przeciwnika efektu omdlenia.
DETAILS_TOOLTIP_54	Zwiêksza szansê na spowolnienie przeciwnika.
DETAILS_TOOLTIP_55	Zwiêksza szansê na zatrucie przeciwnika.
DETAILS_TOOLTIP_56	Zmniejsza obra¿enia zadawane trucizn¹.
DETAILS_TOOLTIP_57	Zwiêksza szansê na wykonanie ataku krwawienia.
DETAILS_TOOLTIP_58	Odpornoœæ na atak krwawienia: zmniejsza obra¿enia zadawane atakiem krwawienia.
DETAILS_TOOLTIP_59	Przy trafieniu absorbuje P¯ przeciwnika.
DETAILS_TOOLTIP_6	Si³a w walce z potworami Zodiaku: zadaje wiêksze obra¿enia potworom Zodiaku.
DETAILS_TOOLTIP_60	Przy trafieniu absorbuje PE przeciwnika.
DETAILS_TOOLTIP_61	Przyspiesza regeneracjê twoich punktów ¿ycia.
DETAILS_TOOLTIP_62	Przyspiesza regeneracjê twoich punktów energii.
DETAILS_TOOLTIP_63	Szansa na blok ciosów: zwiêksza szansê na unikniêcie ataku z krótkiego dystansu.
DETAILS_TOOLTIP_64	Szansa na unikniêcie strza³y: zwiêksza szansê na unikniêcie strza³y lub d³ugodystansowego ataku potwora.
DETAILS_TOOLTIP_65	Szansa na odbicie ciosu: czêœæ obra¿eñ od ciosu jest odbijana do przeciwnika.
DETAILS_TOOLTIP_66	Regeneracja P¯ przy zabiciu: zabicie przeciwnika podwy¿sza twoje punkty ¿ycia.
DETAILS_TOOLTIP_67	Regeneracja PE przy zabiciu: zabicie przeciwnika podwy¿sza twoje punkty energii.
DETAILS_TOOLTIP_68	Szansa na otrzymanie podwójnego doœwiadczenia: zwiêksza szansê na bonusowe PD po pokonaniu przeciwnika.
DETAILS_TOOLTIP_69	Szansa na drop podwójnej iloœci Yang: zwiêksza szansê na otrzymanie podwójnej iloœci Yang.
DETAILS_TOOLTIP_7	Si³a w walce ze zwierzêtami: zadaje wiêksze obra¿enia dzikim zwierzêtom.
DETAILS_TOOLTIP_70	Szansa na drop przedmiotów: zwiêksza szansê na podwójny ³up przedmiotów.
DETAILS_TOOLTIP_76	Zmniejsza obra¿enia odnoszone wskutek magicznych ataków.
DETAILS_TOOLTIP_77	Zmniejsza odpornoœæ na magiê twojego przeciwnika.
DETAILS_TOOLTIP_8	Si³a w walce z mistykami: zadaje wiêksze obra¿enia mistykom.
DETAILS_TOOLTIP_9	Si³a w walce z diab³ami: zadaje wiêksze obra¿enia diab³om.
DETAILS_TOOLTIP_ATTBONUS_BELL	Z³amanie Odpornoœci na Dzwony: zmniejsza odpornoœæ na dzwony przeciwnika.
DETAILS_TOOLTIP_ATTBONUS_BOW	Z³amanie Odpornoœci na Strza³y: zmniejsza odpornoœæ na strza³y przeciwnika.
DETAILS_TOOLTIP_ATTBONUS_CLAW	Z³amanie Odpornoœci na Szpony: zmniejsza odpornoœæ na szpony przeciwnika.
DETAILS_TOOLTIP_ATTBONUS_DAGGER	Z³amanie Odpornoœci na Sztylety: zmniejsza odpornoœæ na sztylety przeciwnika.
DETAILS_TOOLTIP_ATTBONUS_FAN	Z³amanie Odpornoœci na Wachlarze: zmniejsza odpornoœæ na wachlarze przeciwnika.
DETAILS_TOOLTIP_ATTBONUS_SWORD	Z³amanie Odpornoœci na Miecze: zmniejsza odpornoœæ na miecze przeciwnika.
DETAILS_TOOLTIP_ATTBONUS_TWOHAND	Z³amanie Odpornoœci na Bronie oburêczne: zmniejsza odpornoœæ na bronie oburêczne przeciwnika.
DETAILS_TOOLTIP_RESIST_MOUNT_FALL	Odpornoœæ na Upadek: zmniejsza ryzyko upadku z wierzchowca.
DONT_USE_ITEM_WHEN_SHOW_CONFIRM	Nie mo¿esz przemieszczaæ przedmiotów w trakcie zapytania.
DO_NOT_INSERT_UPBRINGING_PET	Nie mo¿na wybraæ aktywnego zwierzaka.
DO_YOU_BUY_ITEM1	Czy chcesz kupiæ %s za %s?
DO_YOU_BUY_ITEM2	Czy chcesz kupiæ %s (%s szt.) za %s?
DO_YOU_BUY_ITEM3	Czy chcesz kupiæ przedmiot %s za %s Yang?
DO_YOU_BUY_ITEM4	Czy chcesz kupiæ przedmiot %s (%s szt.) za %s Yang?
DO_YOU_DROP_MONEY	Czy chcesz upuœciæ %d Yang?
DO_YOU_SELL_ITEM1	Czy chcesz sprzedaæ %s za %s?
DO_YOU_SELL_ITEM2	Czy chcesz sprzedaæ %s (%s szt.) za %s?
DRAGON_SOUL_CANNOT_REFINE	Nie mo¿esz uszlachetniæ tego Smoczego Kamienia.
DRAGON_SOUL_CANNOT_REFINE_MORE	Ten Smoczy Kamieñ osi¹gn¹³ ju¿ najwy¿szy poziom.
DRAGON_SOUL_EQUIP_WARNING1	Usuniêcie Smoczego Kamienia nie jest prost¹ spraw¹.
DRAGON_SOUL_EQUIP_WARNING2	Chcesz mimo to kontynuowaæ?
DRAGON_SOUL_EXPIRED	Wygas³y Smoczy Kamieñ
DRAGON_SOUL_INVALID_DRAGON_SOUL	To nieprawid³owy Smoczy Kamieñ.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	To nie jest Smoczy Kamieñ.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	To nieprawid³owy Smoczy Kamieñ.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	Nie posiadasz wystarczaj¹co materia³u do uszlachetnienia.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL2	Dla swojego: %s\n potrzebujesz: %s %dx
DRAGON_SOUL_NOT_ENOUGH_MONEY	Masz za ma³o Yang, by zmieniæ bonus.
DRAGON_SOUL_NOT_MATCHED_SLOT	Ten Smoczy Kamieñ nie pasuje do tego slotu.
DRAGON_SOUL_STEP_LEVEL1	Jakoœæ: matowy,
DRAGON_SOUL_STEP_LEVEL2	Jakoœæ: przejrzysty,
DRAGON_SOUL_STEP_LEVEL3	Jakoœæ: bez skazy,
DRAGON_SOUL_STEP_LEVEL4	Jakoœæ: znakomity,
DRAGON_SOUL_STEP_LEVEL5	Jakoœæ: wyborny,
DRAGON_SOUL_STRENGTH	Poziom: +%d	SA
DRAGON_SOUL_UNEQUIP_WARNING1	Smoczy Kamieñ mo¿e ulec zniszczeniu.
DRAGON_SOUL_UNEQUIP_WARNING2	Chcesz mimo to kontynuowaæ?
DRAGON_SOUL_UNMATCHED_SLOT	To nieprawid³owy slot.
DROP_ITEM_FAILURE_EQUIP_ITEM	Nie mo¿esz upuœciæ za³o¿onych przedmiotów.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Nie mo¿esz upuœciæ przedmiotu z ekwipunku, jeœli otworzy³eœ prywatny sklep.
DROP_MONEY_FAILURE_1000_OVER	Mo¿esz upuœciæ maksimum 999 Yang.
DS_SYSTEM_MSG_1	Potrzebujesz %s%d razy.
DUTCH_AUCTION_CLOSE_OTHER_WINDOW	Zamknij wszystkie okna, zanim otworzysz aukcjê b³yskawiczn¹.
EMOTION_ALCOHOL	Na zdrowie!
EMOTION_ANGRY	Denerwowaæ
EMOTION_ATTRACTIVE	Uwodziæ
EMOTION_BANTER	Drwiæ
EMOTION_BUSY	Stres
EMOTION_CALL	Rozmowa telefoniczna
EMOTION_CELEBRATION	Impreza
EMOTION_CHARGING	Do³adowanie
EMOTION_CHEERS_1	Powitanie 1
EMOTION_CHEERS_2	Powitanie 2
EMOTION_CHEERUP	Rozweselaæ
EMOTION_CHOOSE_ONE	Wybierz cel
EMOTION_CLAP	Klaszcz
EMOTION_CLAP_KISS	Poca³unek
EMOTION_CONGRATULATION	Zgoda
EMOTION_DANCE_1	Taniec 1
EMOTION_DANCE_2	Taniec 2
EMOTION_DANCE_3	Taniec 3
EMOTION_DANCE_4	Taniec 4
EMOTION_DANCE_5	Taniec 5
EMOTION_DANCE_6	Gumsan Style
EMOTION_DANCE_7	Samba
EMOTION_DOZE	Drzemka
EMOTION_EXERCISE	Rozgrzewka
EMOTION_FORGIVE	Wybaczyæ
EMOTION_FRENCH_KISS	Francuski poca³unek
EMOTION_HUNGRY	G³ód
EMOTION_JOY	Radoœæ
EMOTION_LETTER	List mi³osny
EMOTION_NOSAY	Zaniemówiæ
EMOTION_PUSH_UP	Pompki
EMOTION_SAD	Smutek
EMOTION_SELFIE	Selfie
EMOTION_SHY	Odmowa
EMOTION_SIREN	Syrena
EMOTION_SLAP	Uderzenie
EMOTION_WEATHER_1	S³oñce
EMOTION_WEATHER_2	Têcza
EMOTION_WEATHER_3	Ksiê¿yc
EMOTION_WHIRL	Zamieszanie
EMPIRE_A	Królestwo Shinsoo
EMPIRE_B	Królestwo Chunjo
EMPIRE_C	Królestwo Jinno
EMPIRE_SELECT_MODE	Wybierz królestwo
EXCHANGE_CANNOT_GIVE	Nie mo¿esz handlowaæ tym przedmiotem.
EXCHANGE_CANT_EDIT_MONEY	Nie mo¿esz teraz zmieniæ kwoty.
EXCHANGE_FAILURE_EQUIP_ITEM	Nie mo¿esz wymieniæ ubranych przedmiotów.
EXCHANGE_MONEY	Kwota
EXCHANGE_TITLE	Handluj z %s (%d)
EXINVEN_USE_ITEM_FAIL_FALL_SHORT	Potrzebujesz jeszcze Rozszerzenia Ekwipunku: %d
EXINVEN_USE_ITEM_FAIL_FOURTH_PAGE_STAGE_MAX	Twój ekwipunek posiada ju¿ maksymaln¹ iloœæ rozszerzeñ.
EXINVEN_USE_ITEM_QUESTION	Czy chcesz powiêkszyæ swój ekwipunek u¿ywaj¹c %d Rozszerzeñ Ekwipunku?
FISHING_FAILURE	Straci³eœ przynêtê.
FISHING_NOTIFY1	Wygl¹da na to, ¿e na haczyku jest %s.
FISHING_NOTIFY2	Wygl¹da³o na to, ¿e %s wisi na haku.
FISHING_RENEWAL_CANNOT_EMOTION	Podczas wêdkowania nie mo¿esz okazywaæ emocji.
FISHING_RENEWAL_CANNOT_OPEN_1	Podczas wêdkowania nie mo¿esz tego otworzyæ.
FISHING_RENEWAL_CANNOT_OPEN_2	Nie mo¿esz wykonaæ tej akcji podczas wêdkowania.
FISHING_RENEWAL_QUESTION	Ryba wziê³a. Chcesz j¹ z³owiæ?
FISHING_RENEWAL_TIMEOUT	Minê³o za du¿o czasu. Ryba siê zerwa³a.
FISHING_SUCCESS1	Zdoby³eœ %s!
FISHING_SUCCESS2	Wy³owi³eœ %s!
FISHING_UNKNOWN	Coœ nadzia³o siê na haczyk, ale nie widzisz, co to jest.
FISHING_WRONG_PLACE	Nie mo¿esz tu ³owiæ ryb.
FLOWER_EVENT_USE_ITEM_TEXT1	Czy chcesz wymieniæ aktywny efekt?
FLOWER_EVENT_USE_ITEM_TEXT2	Próba mo¿e zakoñczyæ siê niepowodzeniem i kwiat wtedy zwiêdnie.
FOR_FEMALE	dla kobiet	
FOR_MALE	dla mê¿czyzn	
FRAGMENT_COMB_COST	Koszty po³¹czenia: %s
GAME_CANNOT_MINING	Nie mo¿esz wydobywaæ surowców podczas jazdy konnej.
GAME_CANNOT_PICK_ITEM	Nie mo¿esz podnieœæ tego Przedmiotu, nie ty go zdoby³eœ.
GAME_GUILDWAR_NOW_JOIN	Czy chcesz do³¹czyæ do wojny gildii?
GAME_INIT_ERROR_CURSOR	Kursor nie mo¿e zostaæ utworzony.
GAME_INIT_ERROR_DIRECTX	Aby gra mog³a ruszyæ musi byæ zainstalowany DirectX 8.1 .\nZainstaluj DirectX 8.1 lub nowszy.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	¯adne graficzne urz¹dzenie nie zosta³o znalezione.\nSprawdŸ, czy twoja karta VGA jest aktualnie zainstalowana.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Nie mo¿na by³o uruchomiæ karty graficznej.\nSprawdŸ czy masz kartê VGA.\nAlternatywniem mo¿esz aktywowaæ akceleracjê sprzêtow¹.\n(Ustaw suwak akceleracji sprzêtowej na maks. \nPanel Sterowania->Ekran->Ustawienia->Zaawansowane->Rozwi¹zywanie Problemów)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	Karta graficzna w komputerze nie obs³uguje trybu ekranowego w trybie 32bit.\nUstaw tryb 16 bitowy lub u¿yj trybu pe³noekranowego.
GAME_INIT_ERROR_ITEM_PROTO	Brak danych o Przedmiotach.\nZainstaluj grê jeszcze raz.
GAME_INIT_ERROR_MAIN_WINDOW	Gra nie mog³a zostaæ uruchomiona w okienku
GAME_INIT_ERROR_MOB_PROTO	Brak danych o Potworach.\nZainstaluj grê jeszcze raz.
GAME_INIT_ERROR_NETWORK	Nie mo¿na by³o uruchomiæ urz¹dzeñ sieciowych.\nSprawdŸ swoje ustawienia internetowe.
GEM_SYSTEM_ADD_SLOT	Wymagany przedmiot: %s.\nCzy chcesz u¿yæ teraz %d, aby odblokowaæ kolejny slot?
GEM_SYSTEM_BUY_ITEM	Czy chcesz kupiæ ten przedmiot?
GEM_SYSTEM_NAME	Gaya
GEM_SYSTEM_NOT_ENOUGHT_REFRESHITEM	[Gaya] Masz za ma³o 'Reset Sklepu Gaya'.
GEM_SYSTEM_NOT_ENOUGH_HP_GEM	[Gaya] Masz za ma³o Gaya.
GEM_SYSTEM_NO_MORE_ADDSLOT	[Gaya] Nie mo¿esz dodaæ wiêcej slotów.
GEM_SYSTEM_OPEN_GEMSHOP	[Gaya] Otwórz najpierw Sklep Gaya.
GEM_SYSTEM_PICK_GEM	[Gaya] Iloœæ Gaya: %d
GEM_SYSTEM_REFRESH_SHOP_ITEMS	Czy chcesz zresetowaæ?
GIVEUP_QUESTION	Czy naprawdê chcesz siê poddaæ?
GUILDBANK_CLEARBANK	Uwaga: magazyn gildii musi zostaæ opró¿niony!
GUILDBANK_DONT_MONEY_OUT	Nie masz Yang w banku gildii!
GUILDBANK_GOLD_IN	Wp³ata
GUILDBANK_GOLD_OUT	Wyp³ata
GUILDBANK_ITEM_IN	W³ó¿
GUILDBANK_ITEM_OUT	Wyjmij
GUILDBANK_MONEYIN	Wp³aæ Yang
GUILDBANK_MONEYOUT	Wyp³aæ Yang
GUILDBANK_NOTUSE	Nie masz uprawnieñ do tego.
GUILDBANK_NOT_ENOUGH_MONEY	Masz za ma³o Yang do wp³aty.
GUILDBANK_OVER_INCOME	Osi¹gniêto limit konta.
GUILDBANK_OVER_MONEY	Konto gildii jest pe³ne.
GUILDLAND_ABANDON	Zrezygnuj z obszaru gildii.
GUILDLAND_ACCEPT	Tak
GUILDLAND_DONTHAVE_LAND	Nie posiadasz ¿adnego obszaru gildii.
GUILDLAND_NOT	Nie
GUILDLIST_APPLICANT	Czy chcesz z³o¿yæ podanie?
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Wysokoœæ nie ma 128px.
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Wysokoœæ nie ma 12px.
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Szerokoœæ nie ma 16px.
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Szerokoœæ nie ma 64px.
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Gra nie obs³uguje tego obrazka.
GUILDMARK_UPLOADER_ERROR_PATH	Przenieœ plik do folderu upload/ w g³ównym katalogu gry Metin2.
GUILDMARK_UPLOADER_ERROR_SELECT	Plik z obrazkiem nie zosta³ wybrany.
GUILDWAR_ALL	Walki (W)
GUILDWAR_CTF_TITLE	Walka o flagi
GUILDWAR_DRAW	Remis (R)
GUILDWAR_GAINSCORE_FIFTY	50 punktów
GUILDWAR_GAINSCORE_HUNDRED	100 punktów
GUILDWAR_GAINSCORE_THIRTY	30 punktów
GUILDWAR_GAMETIME_SIXTY	60 min.
GUILDWAR_GAMETIME_TEN	10 min.
GUILDWAR_GAMETIME_THIRTY	30 min.
GUILDWAR_INPUT_OTHERGUILD	Podaj gildiê przeciwnika
GUILDWAR_LADDER	Punkty rangi
GUILDWAR_LIMIT_MEMBER_FIVE	Minimum uczestników wynosi 5.
GUILDWAR_LOSE	Pora¿ki (P)
GUILDWAR_NORMAL_TITLE	Pole Bitwy
GUILDWAR_OVER_MEMBERCOUNT	Osi¹gn¹³eœ limit cz³onków gildii.
GUILDWAR_QUESTION_LINE_1	Gildia %s wypowiedzia³a wojnê twojej Gildii.
GUILDWAR_QUESTION_LINE_2	Akceptujesz? (%s)
GUILDWAR_RANKING	Ranga
GUILDWAR_RECODE_ALL	%d W, %d Z, %d P, %d R
GUILDWAR_SELECT_MEMBER_COUNT	Wybierz iloœæ uczestników
GUILDWAR_TYPE_DEFENSE	Tarcza bojowa
GUILDWAR_TYPE_TIGER	Zag³ada
GUILDWAR_TYPE_TIME	Atak czasowy
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Walka na arenie
GUILDWAR_WIN	Zwyciêstwa (Z)
GUILDWAR_WIN_FIVE	Piêæ rund
GUILDWAR_WIN_ONE	Jedna runda
GUILDWAR_WIN_THREE	Trzy rundy
GUILDWINDOW_BUTTON_BANKGOLDINFO	Log Magazynu Gildii
GUILDWINDOW_BUTTON_BASEABANDON	Zrezygnuj z obszaru gildii.
GUILDWINDOW_BUTTON_BASEDEAL	Sprzedaj obszar gildii
GUILDWINDOW_BUTTON_BOARD	Notatka gildii
GUILDWINDOW_BUTTON_CHANGEMASTER	Zmieñ lidera gildii
GUILDWINDOW_BUTTON_DECLARE	Wypowiedzenie wojny
GUILDWINDOW_BUTTON_DONATE	Wp³ata
GUILDWINDOW_BUTTON_GOLDIN	Wp³ata
GUILDWINDOW_BUTTON_GOLDOUT	Wyp³ata
GUILDWINDOW_BUTTON_GRADE	Zarz¹dzanie prawami
GUILDWINDOW_BUTTON_GUILDLIST	Lista gildii
GUILDWINDOW_BUTTON_HEALGSP	Przywróæ Moc Smoka
GUILDWINDOW_BUTTON_INFO	Informacje o gildii
GUILDWINDOW_BUTTON_LANDINFO	Informacje o obszarze
GUILDWINDOW_BUTTON_MARK	Wgraj logo gildii
GUILDWINDOW_BUTTON_MEMBER	Cz³onkowie
GUILDWINDOW_BUTTON_OFFER	Wp³aæ PD
GUILDWINDOW_BUTTON_OUTMEMBER	Usuñ cz³onka gildii
GUILDWINDOW_BUTTON_SKILL	Umiejêtnoœci gildii
GUILDWINDOW_BUTTON_SYMBOL	Wgraj flagê gildii
GUILDWINDOW_BUY_GUILD_LAND	Zakup obszaru
GUILDWINDOW_CHANGE_BLACKSMITH	Zmieñ profesjê
GUILDWINDOW_CHANGE_OBJECT	Przebudowa
GUILDWINDOW_CHANGE_SMELTER	Przebudowa pieca
GUILDWINDOW_CREATE_OBJECT	Budowa budynku
GUILDWINDOW_DEAL_GUILD_LAND	Sprzeda¿ obszaru
GUILDWINDOW_GRADE_BANK	Mo¿e u¿ywaæ banku gildii oraz magazynu gildii
GUILDWINDOW_GRADE_DRIVEOUTAUTHORITY	Mo¿e usuwaæ cz³onków gildii z gildii
GUILDWINDOW_GRADE_GRADENAME	Nazwa rangi
GUILDWINDOW_GRADE_GRADENUMBER	Numer rangi
GUILDWINDOW_GRADE_GUILDWAR	Mo¿e wybieraæ cz³onków gildii, którzy mog¹ wzi¹æ udzia³ w wojnie jako wojownicy
