TELEPORT_PANEL_TITLE	teleportáló
HELP_KEYSETTING	Kicserélheted a rögzített billentyûidet a játék beállításokban.
HELP_MESSENGER_WINDOW	Barátlista megnyitása: Alt+M
HELP_MINIMAP	Megmutatja a minitérképet.
HELP_MINIMAP_QUEST	A küldetések villogó ikonokként jelennek meg a minitérképen és a nagy térképen.
HELP_MOUSE_LEFT	Bal egérgomb funkció
HELP_MOUSE_RIGHT	Jobb egérgomb funkció
HELP_MOVE_KEY	Vezérlés: W, A, S, D, vagy nyíl billentyûk
HELP_OFF_QUESTSCROLL	Jelenítsd meg/rejtsd el a küldetéstekercseket a <CTRL> + Q-val.
HELP_OPEN_CHARACTER	Karakter ablak megnyitása: C
HELP_OPEN_CHAT	Cset ablak megnyitása: Enter
HELP_OPEN_INVENTORY	Leltár ablak megnyitása: I
HELP_OPEN_LOG	Cset-log megnyitása: L
HELP_OPEN_MINIMAP	Mini térkép megnyitása: Shift + M
HELP_OPEN_QUEST	Feladat ablak megnyitása: N
HELP_OPEN_SKILL	Képesség ablak megnyitása: V
HELP_OPEN_WHISPER	Suttogás ablak megnyitása: Shift + Enter
HELP_OPEN_ZONEMAP	Nagy térkép megnyitása: M
HELP_PICK_ITEM	Tárgyak összegyûjtése: 0 vagy Y billentyû, vagy bal egérgomb
HELP_QUICKSLOT	Gyors elérési mezõk
HELP_SCREEN_CAPTURE	Képernyõkép mentése: Nyomtatás (a "Metin2\screenshot" könyvtárban lesz elmentve egy fájlba)
HELP_SERVER	Kijelzi a szervert és a csatornát.
HELP_SHOW_ALL_NAME	Nevek megmutatása: Alt
HELP_SKILL	Itt használhatsz egy készséget a jobb egérgombbal.
HELP_SP	Mana pontok (MP)
HELP_SYSTEM_BUTTON	Rendszer billentyûk
INVENTORY_PAGE_BUTTON_TOOLTIP_1	1. leltár
INVENTORY_PAGE_BUTTON_TOOLTIP_2	2. leltár
INVENTORY_PAGE_BUTTON_TOOLTIP_3	3. leltár
INVENTORY_PAGE_BUTTON_TOOLTIP_4	4. leltár
INVENTORY_TITLE	Leltár
ITEM_MALL	Tárgy piac
KEYCHANGE_ACTION_WINDOW	Akciók
KEYCHANGE_ATTACK	Támadás
KEYCHANGE_AUTORUN	Auto. futás
KEYCHANGE_AUTO_WINDOW	Auto-vadászat
KEYCHANGE_BASEACTION	Standard gombok
KEYCHANGE_CAM_DOWN1	Kamera (le)
KEYCHANGE_CAM_DOWN2	Kamera (le)
KEYCHANGE_CAM_LEFT1	Kamera (bal)
KEYCHANGE_CAM_LEFT2	Kamera (bal)
KEYCHANGE_CAM_RIGHT1	Kamera (jobb)
KEYCHANGE_CAM_RIGHT2	Kamera (jobb)
KEYCHANGE_CAM_UP1	Kamera (fel)
KEYCHANGE_CAM_UP2	Kamera (fel)
KEYCHANGE_CAM_ZOOM_IN1	Kamera (közelít)
KEYCHANGE_CAM_ZOOM_IN2	Kamera (közelít)
KEYCHANGE_CAM_ZOOM_OUT1	Kamera (távolít)
KEYCHANGE_CAM_ZOOM_OUT2	Kamera (távolít)
KEYCHANGE_CANCLE	Mégsem
KEYCHANGE_CHAT_WINDOW	Csetlog
KEYCHANGE_CLEAR	Standard
KEYCHANGE_DDS_WINDOW	DSS
KEYCHANGE_DOWN1	Hátra
KEYCHANGE_DOWN2	Hátra
KEYCHANGE_DSS1	DS [Ég]
KEYCHANGE_DSS2	DS [Föld]
KEYCHANGE_EMOTION1	Érzelem (szomorú)
KEYCHANGE_EMOTION2	Érzelem (Yang)
KEYCHANGE_EMOTION3	Érzelem (zene)
KEYCHANGE_EMOTION4	Érzelem (szív)
KEYCHANGE_EMOTION5	Érzelem (szívek)
KEYCHANGE_EMOTION6	Érzelem (bomba)
KEYCHANGE_EMOTION7	Érzelem (ötlet)
KEYCHANGE_EMOTION8	Érzelem (vihar)
KEYCHANGE_EMOTION9	Érzelem (sajnálat)
KEYCHANGE_GUILD_WINDOW	Céh
KEYCHANGE_HELP_WINDOW	Segítség
KEYCHANGE_IMPOSSIBLE_CHANGE	[CTRL], [ALT], [SHIFT] itt nincs engedélyezve!
KEYCHANGE_INGAMEEVENT	RENDEZVÉNY
KEYCHANGE_INTERFACE	Ablak
KEYCHANGE_INVENTORY_WINDOW	Leltár
KEYCHANGE_KEY_SETTING	Billentyûzet beállítások
KEYCHANGE_LEFT1	Bal
KEYCHANGE_LEFT2	Bal
KEYCHANGE_MESSENGER_WINDOW	Barátok
KEYCHANGE_MINIMAP_MINER	Minitérkép (-)
KEYCHANGE_MINIMAP_PLUS	Minitérkép (+)
KEYCHANGE_MINIMAP_WINDOW	Nagy térkép
KEYCHANGE_MONSTER_CARD_WINDOW	Szörnykártya
KEYCHANGE_NEXT_TARGET	Következõ célpont
KEYCHANGE_PARTY_MATCH_WINDOW	Csoport keresés
KEYCHANGE_PET_WINDOW	Házikedvenc
KEYCHANGE_QUEST_SCROLL_ONOFF	Küldetéstekercsek
KEYCHANGE_QUEST_WINDOW	Küldetések
KEYCHANGE_QUICKSLOT1	1-es szint
KEYCHANGE_QUICKSLOT2	2-es szint
KEYCHANGE_QUICKSLOT3	3-as szint
KEYCHANGE_QUICKSLOT4	4-es szint
KEYCHANGE_RIDE	Hátas
KEYCHANGE_RIDE_BYE	Ló elküldése
KEYCHANGE_RIDE_HORSE	Hátas
KEYCHANGE_RIDE_PEED	Ló etetése
KEYCHANGE_RIGHT1	Jobb
KEYCHANGE_RIGHT2	Jobb
KEYCHANGE_ROOT1	Felvesz
KEYCHANGE_ROOT2	Felvesz
KEYCHANGE_SAVE	Mentés
KEYCHANGE_SCREENSHOT	Képernyõkép
KEYCHANGE_SHOW_NAME	Nevek mutatása
KEYCHANGE_SKILL_WINDOW	Készségek
KEYCHANGE_SLOT1	1-es hely
KEYCHANGE_SLOT2	2-es hely
KEYCHANGE_SLOT3	3-as hely
KEYCHANGE_SLOT4	4-es hely
KEYCHANGE_SLOT5	5-ös hely
KEYCHANGE_SLOT6	6-os hely
KEYCHANGE_SLOT7	7-es hely
KEYCHANGE_SLOT8	8-as hely
KEYCHANGE_SLOT_KET	Gyorsgombok
KEYCHANGE_STATUS_WINDOW	Karakter
KEYCHANGE_UP1	Elõre
KEYCHANGE_UP2	Elõre
LANGUAGE_AE	Arab
LANGUAGE_CZ	Cseh
LANGUAGE_DE	Német
LANGUAGE_DK	Dán
LANGUAGE_EN	Angol
LANGUAGE_ES	Spanyol
LANGUAGE_FR	Francia
LANGUAGE_GR	Görög
LANGUAGE_HU	Magyar
LANGUAGE_IT	Olasz
LANGUAGE_NL	Holland
LANGUAGE_PL	Lengyel
LANGUAGE_PT	Portugál
LANGUAGE_RO	Román
LANGUAGE_RU	Orosz
LANGUAGE_TR	Török
LOAD_ERROR	Az adatfájl megsérült. Installáld újra a klienst. Nyomd meg az ESC gombot.
LOGIN_CONNECT	Csatlakozik
LOGIN_CONNECTING	A szerverhez leszel kapcsolva.
LOGIN_DEFAULT_SERVERADDR	Szervernév, 1. csatorna
LOGIN_EXIT	Bezár
LOGIN_ID	Felhasználónév
LOGIN_PASSWORD	Jelszó
LOGIN_REGION_TITLE	Számlakibocsátás helyszíne
LOGIN_SELECT_BUTTON	Választ
LOGIN_SELECT_EXIT	Bezár
LOGIN_SELECT_OK	OK
LOGIN_SELECT_TITLE	Szervert választ
LUCKY_BOX_NOTICE_YANG	Új tárgy választásának Yang költsége
LUCKY_BOX_RECV_BUTTON	Tárgy elfogadása
LUCKY_BOX_RECV_NAME	Tartalma:
LUCKY_BOX_RETRY_BUTTON	Próba-szerencse: új tárgy
LUCKY_BOX_TITLE_NAME	Szerencse-láda
MAILBOX_POST_ALL_DELETE_BUTTON	Összes törlése
MAILBOX_POST_ALL_RECEIVE	Összes begyûjtése
MAILBOX_POST_READ_BLOCK	Blokkol
MAILBOX_POST_READ_DELETE	Töröl
MAILBOX_POST_READ_FROM	Feladó
MAILBOX_POST_READ_MAIN_TITLE	Üzenet
MAILBOX_POST_READ_RECV	Begyûjt
MAILBOX_POST_READ_TITLE	Tárgy
MAILBOX_POST_SEND_TITLE	Üzenet
MAILBOX_POST_WRITE_BUTTON_TEXT	Küldés
MAILBOX_POST_WRITE_CLOSE_TEXT	Bezár
MAILBOX_POST_WRITE_CONFIRM_TEXT	Címzett ellenõrzése
MAILBOX_POST_WRITE_SEND_TEXT	Küldés
MAILBOX_POST_WRITE_TITLE	Tárgy
MAILBOX_POST_WRITE_TO	Címzett
MAILBOX_TITLE	Bejövõ üzenetek
MALL_PASSWORD_TITLE	Jelszó
MALL_TITLE	Tárgypiac raktár
MARKET_TITLE	Betölt
MARKLIST_REFRESH	Aktualizál
MARKLIST_TITLE	Céh jelet regisztrál
MC_EXCHANGE_BUTTON	Csere
MC_MISSION_INIT_BUTTON	Megbízásszint-visszaállítás
MC_MOTION_BUTTON	Mozgás
MC_POLY_BUTTON	Átváltozás
MC_PROMOTION_BUTTON	Elõléptetés
MC_REQUEST_MISSION_BUTTON	Megbízás elfogadása
MC_REWARD_CARD_BUTTON	Gyûjts Szörnykártyát
MC_SHUFFLE_BUTTON	Megbízáskártyák megkeverése
MC_SUMMON_BUTTON	Idézés
MC_TAB_BUTTON_CARD_MISSION	Kártya megbízás
MC_TAB_BUTTON_PARTY	Kazamata-gyûjtemény
MC_TAB_BUTTON_SOLO	Nyílt terep-gyûjtemény
MC_WARP_BUTTON	Teleport
MESSAGE	Ez egy üzenet
MESSENGER_ADD_FRIEND	Barát hozzáadása
MESSENGER_BLOCK_FRIEND	Blokkol
MESSENGER_DELETE_FRIEND	Töröl
MESSENGER_MOBILE	SMS köldés
MESSENGER_OPEN_GUILD	Céh ablak nyitás
MESSENGER_TITLE	Barát
MESSENGER_USE_GUILD_MOVE_SKILL	Használd a céh mozgatókészséget
MESSENGER_WHISPER	Súgás
MINIGAME_FISH_EVENT_USE_COUNT	Darab
MINIMIZE	Minimalizál [ESC]
MINI_BOSS_DUNGEON_DESC_BTN	Rendezvény-szabályok
MINI_BOSS_DUNGEON_TITLE_NAME	Név
MINI_BOSS_DUNGEON_TITLE_NUM	Helyezés
MINI_BOSS_DUNGEON_TITLE_POINT	Apokalipszis-pontok
MINI_BOSS_DUNGEON_TOOTIP_01	Kazamata áttekintés
MINI_BOSS_DUNGEON_TOOTIP_02	Apokalipszis 40-80. szint közöttieknek
MINI_BOSS_DUNGEON_TOOTIP_03	Apokalipszis 81. szint felettieknek
MINI_BOSS_DUNGEON_TOOTIP_04	Belépés
MINI_BOSS_DUNGEON_TOOTIP_05	Maradék idõ
MINI_BOSS_DUNGEON_TOOTIP_06	Apokalipszis pontjaim
MINI_BOSS_DUNGEON_TOOTIP_07	Hátralévõ Apokalipszisek
MINI_BOSS_DUNGEON_TOOTIP_08	Jutalmam
MINI_BOSS_TITLE	Zodiákus Apokalipszis
MINI_GAME_BLACK_AND_WHITE_DONATE	Adományozás
MINI_GAME_BLACK_AND_WHITE_GAME_TITLE	Látók párbaja
MINI_GAME_BLACK_AND_WHITE_RANK_BUTTON	Helyezések
MINI_GAME_BLACK_AND_WHITE_REWARD_TRADE	Díjak
MINI_GAME_BLACK_AND_WHITE_START_BUTTON	Indítás
MINI_GAME_BLACK_AND_WHITE_WAITTING_TITLE	Látók párbaja
MINI_GAME_CATCHKING_CHALLENGE	Tét
MINI_GAME_CATCHKING_HELP_TEXT	Szabályok
MINI_GAME_CATCHKING_HIGH_SCORE	Rekord
MINI_GAME_CATCHKING_MYNUMBER	Kártyám
MINI_GAME_CATCHKING_POPUP_CONFIRM	Pop-up be/ki
MINI_GAME_CATCHKING_RETRY	Játssz újra
MINI_GAME_CATCHKING_REWARD	Jutalmad
MINI_GAME_CATCHKING_SCORE	Pontszám
MINI_GAME_CATCHKING_SELECTION_NUMBER	Felfedett kártya
MINI_GAME_CATCHKING_START_TEXT	Indítás
MINI_GAME_CATCHKING_TITLE	Kapd el a Királyt
MINI_GAME_FISH_HELP_TEXT	Súgó
MINI_GAME_FISH_START_TEXT	Indítás
MINI_GAME_FISH_TITLE	Hal-kirakós
MINI_GAME_RUMI_DISCARD_TEXT	Biztonságos mód
MINI_GAME_RUMI_EXIT	Vége
MINI_GAME_RUMI_LBUTTON_DESC	Bal kattintás kártya hozzáadásához
MINI_GAME_RUMI_RBUTTON_DESC	Jobb kattintás kártya elvetéséhez
MINI_GAME_RUMI_SCORE	Pontszám
MINI_GAME_RUMI_START_TEXT	Kezdés
MINI_GAME_RUMI_TITLE	Metin2 Okey kártyajáték
MINI_GAME_YUTNORI_COM_TEXT	Számítógép
MINI_GAME_YUTNORI_PLAYER_TEXT	Játékos
MINI_GAME_YUTNORI_PROBABILITY	Valószínûség
MINI_GAME_YUTNORI_PROB_DESC	Válassz egy Yut értéket, aminek emelkedjen az esélye dobáskor.
MINI_GAME_YUTNORI_REMAIN_COUNT	Körök
MINI_GAME_YUTNORI_REWARD_TEXT	Jutalom
MINI_GAME_YUTNORI_SCORE	Pontszám
MINI_GAME_YUTNORI_START_TEXT	Indítás
MINI_GAME_YUTNORI_THROW	Dobás
MINI_GAME_YUTNORI_TITLE	Yut Nori
MINI_GAME_YUTNORI_YUTSEM1	Do
MINI_GAME_YUTNORI_YUTSEM2	Gae
MINI_GAME_YUTNORI_YUTSEM3	Geol
MINI_GAME_YUTNORI_YUTSEM4	Yut
MINI_GAME_YUTNORI_YUTSEM5	Mo
MINI_GAME_YUTNORI_YUTSEM6	Back Do
MISTS_ISLAND_EMPIRE_NAME	Birodalom neve
MISTS_ISLAND_EMPIRE_SCORE	Birodalom pontszáma
MISTS_ISLAND_END_TIME	Befejezés ideje
MISTS_ISLAND_EXIT	Kilépés
MISTS_ISLAND_INFO_TEXT	Rang/státusz információ
MISTS_ISLAND_RANK	Helyezés
MISTS_ISLAND_SCORE	Pontszám
MISTS_ISLAND_TITLE_RANK	Rang/státusz információ
MISTS_ISLAND_TITLE_SCORE	Áttekintés
MOUSEBUTTON_ATTACK	Támad
MOUSEBUTTON_AUTO_ATTACK	Automatikus támadás
MOUSEBUTTON_CAMERA	Kamera
MOUSEBUTTON_SKILL	Készség
MUSICLIST_TITLE	Zene választás
MYSHOP_DECO_CANCEL	Bezár
MYSHOP_DECO_DEFAULT	Alapértelmezett
MYSHOP_DECO_NEXT	Következõ
MYSHOP_DECO_OK	Megerõsít
MYSHOP_DECO_PREV	Vissza
MYSHOP_DECO_SELECT_MODEL	Válaszd ki boltod megjelenését!
MYSHOP_DECO_SELECT_TITLE	Válaszd ki neved megjelenését!
NO	Nem
OK	OK
OPPOSITES	Visszautasít
OPTION_ALWAYS_SHOW_NAME	Név
OPTION_ALWAYS_SHOW_NAME_OFF	Korlátozott
OPTION_ALWAYS_SHOW_NAME_ON	Mindig
OPTION_BLOCK	Letilt
OPTION_BLOCK_EXCHANGE	Kereskedés
OPTION_BLOCK_FRIEND	Barátok
OPTION_BLOCK_GUILD	Céh
OPTION_BLOCK_PARTY	Csoport
OPTION_BLOCK_PARTY_REQUEST	Kérés
OPTION_BLOCK_WHISPER	Súgás
OPTION_CAMERA_DISTANCE	Kamera
OPTION_CAMERA_DISTANCE_LONG	Távoli
OPTION_CAMERA_DISTANCE_SHORT	Közeli
OPTION_DELETE_MOBILE_BUTTON	Telefonszám törlés
OPTION_EFFECT	Találati info.
OPTION_ENV_EFFECT	Környezet
OPTION_ENV_EFFECT_OFF	Ki
OPTION_ENV_EFFECT_ON	Be
OPTION_FOG	Köd
OPTION_FOG_DENSE	Sok
OPTION_FOG_LIGHT	Kevés
OPTION_FOG_MIDDLE	Közepes
OPTION_FOG_OFF	Ki
OPTION_FOG_ON	Be
OPTION_INPUT_MOBILE_BUTTON	Mobiltelefonszám megadása
OPTION_KEY_SETTING	Billentyûzet
OPTION_LANGUAGE_CHANGE	OK
OPTION_LANGUAGE_SELECT	Nyelv
OPTION_MOBILE	Mobiltelefon
OPTION_MOB_INFO	Szörny-infó
OPTION_MOB_INFO_AGGR	Agresszív
OPTION_MOB_INFO_LEVEL	Szint
OPTION_MUSIC	Zene
OPTION_MUSIC_CHANGE	Váltani
OPTION_MUSIC_DEFAULT_THEMA	Metin2 alap zene
OPTION_NAME_COLOR	Szín név
OPTION_NAME_COLOR_EMPIRE	Birod. Szín
OPTION_NAME_COLOR_NORMAL	Normális
OPTION_NIGHT_MODE	Éjjel
OPTION_NIGHT_MODE_OFF	Ki
OPTION_NIGHT_MODE_ON	Be
OPTION_PVPMODE	PvP Mód
OPTION_PVPMODE_FREE	Szabad
OPTION_PVPMODE_FREE_TOOLTIP	Minden játékost megtámadhatsz.
OPTION_PVPMODE_GUILD	Céh
OPTION_PVPMODE_GUILD_TOOLTIP	Céhtagokat kivéve minden játékost megtámadhatsz.
OPTION_PVPMODE_PEACE	Béke
OPTION_PVPMODE_PEACE_TOOLTIP	Nem támadhatod meg a saját birodalmad játékosait.
OPTION_PVPMODE_REVENGE	Ellenség
OPTION_PVPMODE_REVENGE_TOOLTIP	Csak eltérõ világképû játékost támadhatsz meg.
OPTION_SETTING	Megnyit
OPTION_SNOW_MODE	Hóesés
OPTION_SNOW_MODE_OFF	Ki
OPTION_SNOW_MODE_ON	Be
OPTION_SNOW_TEXTURE_MODE	Hó
OPTION_SNOW_TEXTURE_MODE_OFF	Ki
OPTION_SNOW_TEXTURE_MODE_ON	Be
OPTION_SOUND	Hatás
OPTION_TARGET_BOARD	Cél menü
OPTION_TARGET_BOARD_NO_VIEW	Bezár
OPTION_TARGET_BOARD_VIEW	Megmutat
OPTION_TITLE	Opciók
OPTION_VIEW_CHAT	Cset sor
OPTION_VIEW_CHAT_OFF	Elrejt
OPTION_VIEW_CHAT_ON	Mutat
PARTY_MATCH_TEXT_DUNGEON_NAME	Kazamata
PARTY_MATCH_TEXT_DUNGEON_SELECT	Válassz kazamatát
PARTY_MATCH_TEXT_ENTREE_LEVEL	Szint: %d
PARTY_MATCH_TEXT_LEVEL_LIMIT	Szint követelmény
PARTY_MATCH_TEXT_REQUEST_MATCH	Keresés
PARTY_MATCH_TEXT_REQUEST_MATCH_CANCEL	Mégse
PARTY_MATCH_TEXT_REQUIRED_ITEMS	Szükséges tárgy
PARTY_MEMBER_INFO_NAME	Csoporttárs neve
PASSWORD_DESC_1	Írd be a jelszavad
PASSWORD_DESC_2	a raktár megnyitásához.
PASSWORD_DESC_3	Megváltoztattad már a jelszavad?
PASSWORD_DESC_4	Ha még nem, a jelszavad "000000" lesz.
PASSWORD_DESC_5	Változtasd meg a jelszavad a raktárban.
PASSWORD_TITLE	Jelszó mentés
PET_AGE_TEXT	Kedvenc kora
PET_ATTR_CHANGE_ITEM_TEXT	Kedvenc megbûvölõ
PET_ATTR_CHANGE_TITLE	Házikedvenc típus megváltoztatása
PET_ATTR_CONFIRMATION	Változtat
PET_ATTR_DETERMINE_TITLE	Új kedvenc típus
PET_ATTR_OK	Bezár
PET_CHANGE_TEXT	Házikedvenc
PET_FEED_TITLE	Etetés
PET_FFED_BUTTON_TEXT	Etetés
PET_HATCHING_BUTTON	Kikelés
PET_HATCHING_NIK	Kedvenc neve
PET_HATCHING_WINDOW_TITLE	Inkubátor
PET_INFORMATION_ABILITIES	Bónuszok
PET_INFORMATION_AGE	Kor
PET_INFORMATION_COSTUME_BONUS	Öltözék bónusz
PET_INFORMATION_DEFENCE	Védekezés
PET_INFORMATION_EVOL_BUTTON	Nevelés
PET_INFORMATION_EXP	Tapasztalat
PET_INFORMATION_EXP_BUTTON	Tárgy EXP
PET_INFORMATION_HP	TP
PET_INFORMATION_LEVEL	Szint
PET_INFORMATION_LIFE	Idõtartam
PET_INFORMATION_LIFETIME_BUTTON	Etetés
PET_INFORMATION_LIFE_TIME	Óra
PET_INFORMATION_SKILL	Készség
PET_INFORMATION_SP	MP
PET_INFORMATION_TITLE	Házikedvenc
PET_NAME_CHANGE_BUTTON	Csere
PET_NAME_CHANGE_WINDOW_TITLE	Névváltoztatás
PET_REVIVE_BUTTON	Felélesztés
PET_REVIVE_CANCEL_BUTTON	Mégse
PET_REVIVE_MATERIAL_TITLE	Anyag
PET_REVIVE_REUSLT_TEXT	Eredmény
PET_REVIVE_TARGET	Felélesztendõ kedvenc
PET_REVIVE_TITLE	Házikedvenc felélesztése
PICK_MONEY_TITLE	Feloszt
PRIVATESHOPSEARCH_BUY	Vásárol
PRIVATESHOPSEARCH_COUNT	Mennyiség
PRIVATESHOPSEARCH_ITEMNAME	Név
PRIVATESHOPSEARCH_ITEMTYPE	Tárgyak
PRIVATESHOPSEARCH_JOB	Osztály
PRIVATESHOPSEARCH_LEVEL	Szint
PRIVATESHOPSEARCH_PRICE	Ár
PRIVATESHOPSEARCH_REFINE	Tárgyszint
PRIVATESHOPSEARCH_SEARCH	Keresés
PRIVATESHOPSEARCH_SEARCH_BAR	Keresés
PRIVATESHOPSEARCH_SELECT	Választás
PRIVATESHOPSEARCH_SELLER	Eladó
PRIVATE_SHOP_CLOSE_BUTTON	Bolt zárás
PRIVATE_SHOP_NAME	Bolt neve
PRIVATE_SHOP_TITLE	Magán bolt nyitás
QUEST_UI_TEXT_COLLECTION	Biológus küldetések
QUEST_UI_TEXT_DAILY	Napi küldetés
QUEST_UI_TEXT_EVENT	Esemény küldetések
QUEST_UI_TEXT_LEVELUP	Vadászküldetések
QUEST_UI_TEXT_MAIN	Fõküldetések
QUEST_UI_TEXT_SCROLL	Missziókönyv küldetések
QUEST_UI_TEXT_SUB	Mellékküldetések
QUEST_UI_TEXT_SYSTEM	Játék küldetések
REFINE_COST	Javítási költségek: 0 Yang
REFINE_ELEMENT_CHANGE_COST_TITLE	Ára
REFINE_ELEMENT_CHANGE_DARK	Sötétség
REFINE_ELEMENT_CHANGE_EARTH	Föld
REFINE_ELEMENT_CHANGE_ELECT	Villám
REFINE_ELEMENT_CHANGE_FIRE	Tûz
REFINE_ELEMENT_CHANGE_ICE	Jég
REFINE_ELEMENT_CHANGE_TITLE	Elem megváltoztatása
REFINE_ELEMENT_CHANGE_WIND	Szél
REFINE_ELEMENT_DOWNGRADE_TITLE	Visszafejlesztés
REFINE_ELEMENT_UPGRADE_TITLE	Fejlesztés
REFINE_INFO	Esély a sikeres javításra: 100%
REFINE_MONEY	Nemesítési díj
REFINE_SELECT	Nemesítés
REFINE_TTILE	Javítások
REPORT_VIOLENT_WHISPER	
RESTART_GIVEUP	Feladás
RESTART_HERE	Újraindít itt
RESTART_IMMEDIATE	Újraélesztõ
RESTART_TOWN	Újraindít a városban
ROULETTE_SPECIAL_TITLE	Jutalmak (%s)
ROULETTE_SPIN_TEXT1	FORGAT
ROULETTE_SPIN_TEXT2	50 lélek
ROULETTE_SPIN_TEXT3	250.000 Yang
ROULETTE_TITLE	Jutalmak
SAFE_CHANGE_PASSWORD	Jelszó változtatás
SAFE_TITLE	Tárolóhely
SELECT_ATTR_CHANGED	Új
SELECT_ATTR_CURRENT	Jelenlegi
SELECT_ATTR_SELECT	Választás
SELECT_ATTR_TITLE	Megbûvölõ tárgy+
SELECT_ATT_GRADE	ERÕ
SELECT_CREATE	Létrehoz
SELECT_DELETE	Töröl
SELECT_DEX_GRADE	ÜGY
SELECT_EMPIRE_NAME	Birodalom neve
SELECT_EXIT	Bezár
SELECT_HP	VIT
SELECT_LEVEL	Szint
SELECT_METIN_STONE_TITLE	Szellemkõ választás
SELECT_NAME	Név
SELECT_NO_GUILD	Nincs céh
SELECT_PLAYTIME	Játékidõ
SELECT_SELECT	Start
SELECT_SP	INT
SELECT_TITLE	Cím választás
SHOP_BUY	Vásárol
SHOP_SELL	Elad
SHOP_TITLE	Bolt
SKILL_SUPPORT_TITLE	Standard készségek
STEP	Tisztasági minõség
STEP_SELECT	Tisztasági minõség
STRENGTH	Erõsítés
STRENGTH_SELECT	Szint
STRUCTURE_VIEW_MODE	Dekoráció
STRUCTURE_VIEW_TYPE_STRUCTURE	Elrejt
SYSTEMOPTION_TITLE	Rendszer opciók
SYSTEM_CHANGE	Karakter csere
SYSTEM_EXIT	Játék befejezés
SYSTEM_HELP	Segítség
SYSTEM_LOGOUT	Kilépés
SYSTEM_MALL	Tárgy piac
SYSTEM_MOVE_CHANNEL	Csatorna váltás
SYSTEM_OPTION	Rendszer opciók
TASKBAR_CHARACTER	Karakter [C/V/B/N]
TASKBAR_CHAT	Cset ablak [Enter]
TASKBAR_DISABLE	Kikapcsolva
TASKBAR_DRAGON_SOUL	Sárkánykõ-alkímia [O]
TASKBAR_EXPAND	Meghosszabbítás
TASKBAR_INVENTORY	Leltár [I]
TASKBAR_MESSENGER	Barátok [Alt+M]
TASKBAR_MONEY_EXPAND	Vagyon
TASKBAR_NEXT_QUICKSLOT	Következõ gyors elérésû mezõ [Shift+Szám, Alt]
TASKBAR_PET_INFO	Házikedvenc infó
TASKBAR_PREV_QUICKSLOT	Elõzõ gyors elérésû mezõ [Shift+Szám]
TASKBAR_SYSTEM	Opciók [ESC]
TOTAL_RANKING	Összesített rangsor
WARP_MI_LABEL	A megtámadott szentélyhez
WEEKLY_RANKING	Heti rangsor
WHISPER_BAN	Letiltás
WHISPER_NAME	Suttogás
WHISPER_REPORT	
WHISPER_SEND	Küld
YES	Igen
ZONE_MAP	Nagy térkép
PET_MISSING_1	Képesség
PET_MISSING_2	TP
PET_MISSING_3	Szörnyek elleni ero
PET_MISSING_4	Átlagos kár [PVM]
PET_MISSING_5	Szint
PET_MISSING_6	Tapasztalat
PET_MISSING_7	Kor
PET_MISSING_8	Kisállat Rendszer
HIDE_2_OPTION	Effektek Elrejtése
HIDE_2_OPTION0	Csillogó Páncél
HIDE_2_OPTION1	Csillogó Fegyver
HIDE_2_OPTION2	Buff
HIDE_2_OPTION3	Képesség
HIDE_OPTION	Elrejt
HIDE_OPTION0	Mount
HIDE_OPTION1	Kisállat
HIDE_OPTION2	Támogató S.
HIDE_OPTION3	Piac
HIDE_OPTION4	Név Piac.
HIDE_OPTION5	Zászlók
TIME_TYPE	Ido DE/DU
ENVIRONMENT_MODE	Égbolt
ENVIRONMENT_MODE0	Nappal
ENVIRONMENT_MODE1	Éjszaka
ENVIRONMENT_MODE2	Speciális 1
ENVIRONMENT_MODE3	Speciális 2
ENVIRONMENT_MODE4	Speciális 3
ENVIRONMENT_MODE5	Speciális 4
ENVIRONMENT_MODE6	Speciális 5
OPTION_AUTO_PICKUP	Felszedés
OPTION_AUTO_PICKUP_ON	Automatikus
OPTION_AUTO_PICKUP_OFF	Kézi
OPTION_NAMES_TYPE_NAME	Típus Név
OPTION_NAMES_TYPE_NAME_0	Részleges
OPTION_NAMES_TYPE_NAME_1	Teljes
MASK_HP_DEFAULT	TP: 12.000.000 / 12.000.000
EXTRA_INVENTORY_TITLE	Extra Leltár
FISHING_RENEWAL_TITLE	Halászat
BIOLOG_WND_CHANGE	Csere
BIOLOG_WND_TITLE_CHOOSE	Bónusz csere
BIOLOG_WND_CHOOSE_1	Válassz küldetést:
BIOLOG_WND_CHOOSE_2	Válassz bónuszt:
BIOLOG_WND_TITLE	A Biológus kutatásat
BIOLOG_WND_REWARD	Jutalom
BIOLOG_WND_REWARD_BUTTON	Jutalom
UICHAR_LV	Szint
UICHAR_EXP	EXP
UICHAR_NEXTEXP	Szükséges EXP
UICHAR_STATUS	Karakter Státusz
UICHAR_CHARACTERISTICS	Karakterisztikák
UICHAR_STATUS_VALUE	[%d]
UICHAR_STATUS_VIT	VIT
UICHAR_STATUS_INT	INT
UICHAR_STATUS_STR	ERO
UICHAR_STATUS_DEX	ÜGY
UICHAR_STATUS_HP	TP
UICHAR_STATUS_SP	MP
UICHAR_STATUS_ATT	Támadó Érték
UICHAR_STATUS_DEF	Védelem
UICHAR_CHARACTERISTICS_1a	Mozgási
UICHAR_CHARACTERISTICS_1b	Sebesség
UICHAR_CHARACTERISTICS_2a	Támadási
