NPC_SEARCH	Npc keresés
GUILD_WAR_GAINSCORE_THIRTY	30 pont
GUILD_WAR_GAMETIME_SIXTY	60 perc
GUILD_WAR_GAMETIME_TEN	10 perc
GUILD_WAR_GAMETIME_THIRTY	30 perc
GUILD_WAR_LIMIT_30MIN	Idõ: 30 perc
GUILD_WAR_REWARD_POTION	Jutalom: a gyõztes italokat kap
GUILD_WAR_SELECT_WAR	Válassz típust
GUILD_WAR_TYPE_DEFENSE	Pajzs-harc
GUILD_WAR_TYPE_DIE	Aréna-harc
GUILD_WAR_TYPE_FLAG	Kapd el a zászlót
GUILD_WAR_TYPE_NORMAL	Mezei harc
GUILD_WAR_TYPE_TIGER	Megsemmisítés
GUILD_WAR_TYPE_TIME	Támadás idõre
GUILD_WAR_USE_BATTLE_MAP	Helyszín: Céhháború Aréna
GUILD_WAR_USE_NORMAL_MAP	Helyszín: Normál Térkép
GUILD_WAR_WIN_CHECK_SCORE	Legmagasabb eredmény háborút nyer.
GUILD_WAR_WIN_FIVE	5 menet
GUILD_WAR_WIN_ONE	1 menet
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Szerezd meg az ellenség zászlaját,
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	és vidd el a bázisodra.
GUILD_WAR_WIN_THREE	3 menet
GUILD_WAR_WIN_WIPE_OUT_GUILD	Gyõzz le minden ellenséget a gyõzelemért.
GUILD_WITHDRAW	Visszavonás
GUILD_YOU_DO_NOT_JOIN	Nem tartozol céhhez.
HORSE_HEALTH0	Halott
HORSE_HEALTH1	Éhezõ
HORSE_HEALTH2	Éhes
HORSE_HEALTH3	Tele
HORSE_LEVEL1	Normál ló
HORSE_LEVEL2	Csataló
HORSE_LEVEL3	Katonai ló
HOUR	ó
HOW_MANY_ITEM_DO_YOU_DROP1	Szeretnéd ezt: %s eldobni?
HOW_MANY_ITEM_DO_YOU_DROP2	Szeretnél %s %d eldobni?
INPUT_MATRIX_CARD_NUMBER	Mátrix térképszám beadás
INPUT_MATRIX_CARD_TITLE	Mátrix térkép
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Törlõ kód beadása a felhasználó kezelõbõl
INPUT_PRIVATE_CODE_DIALOG_TITLE	Karakter törlés
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Nem kombinálható tekercs.
INVENTORY_REALLY_USE_ITEM	Tárgy használata ezen a tárgyon?
INVENTORY_REALLY_USE_ITEM2	Valóban használni akarod ezt a tárgyat?
INVENTORY_REALLY_USE_PET_BAG_ITEM	Tényleg be akarod helyezni házikedvenced a Szállító dobozba?
INVENTORY_REALLY_USE_PET_BAG_TAKE_OUT	Ki akarod nyitni a Szállító dobozt?
INVENTORY_REALLY_USE_PET_FEEDSTUFF_ITEM	Meg akarod etetni ezt: %s ezzel: %s?
IS_NOT_PET_CHANGE_ITEM	Ez nem egy Kedvenc megbûvölõ tárgy.
IS_NOT_PET_ITEM	Ez nem egy házikedvenc.
JOB_ASSASSIN	Nindzsa
JOB_ASSASSIN0	Nincs
JOB_ASSASSIN1	Tõr-nindzsa
JOB_ASSASSIN2	Íjász-nindzsa
JOB_SHAMAN	Sámán
JOB_SHAMAN0	Nincs
JOB_SHAMAN1	Sárkány sámán
JOB_SHAMAN2	Gyógyító sámán
JOB_SURA	Sura
JOB_SURA0	Nincs
JOB_SURA1	Fegyveres sura
JOB_SURA2	Mágikus sura
JOB_WARRIOR	Harcos
JOB_WARRIOR0	Nincs
JOB_WARRIOR1	Testi harcos
JOB_WARRIOR2	Mentális harcos
JOB_WOLFMAN	Vérfarkas
JOB_WOLFMAN0	Amatõr vérfarkas
JOB_WOLFMAN1	Ösztön
JOB_WOLFMAN2	N.A.
KEYCHANGE_DONT_SAVE_EXIT	Kilépés mentés nélkül?
KEYCHANGE_IMPOSSIBLE_CHANGE	[CTRL], [ALT], [SHIFT] itt nincs engedélyezve!
KEYCHANGE_SAVE_EXIT	Mentés és kilépés?
KEY_0	ö
KEY_0_LALT	ALT + ö
KEY_0_LCONTROL	CTRL + ö
KEY_0_LSHIFT	SHIFT + ö
KEY_1	1
KEY_1_LALT	ALT + 1
KEY_1_LCONTROL	CTRL + 1
KEY_1_LSHIFT	SHIFT + 1
KEY_2	2
KEY_2_LALT	ALT + 2
KEY_2_LCONTROL	CTRL + 2
KEY_2_LSHIFT	SHIFT + 2
KEY_3	3
KEY_3_LALT	ALT + 3
KEY_3_LCONTROL	CTRL + 3
KEY_3_LSHIFT	SHIFT + 3
KEY_4	4
KEY_4_LALT	ALT + 4
KEY_4_LCONTROL	CTRL + 4
KEY_4_LSHIFT	SHIFT + 4
KEY_5	5
KEY_5_LALT	ALT + 5
KEY_5_LCONTROL	CTRL + 5
KEY_5_LSHIFT	SHIFT + 5
KEY_6	6
KEY_6_LALT	ALT + 6
KEY_6_LCONTROL	CTRL + 6
KEY_6_LSHIFT	SHIFT + 6
KEY_7	7
KEY_7_LALT	ALT + 7
KEY_7_LCONTROL	CTRL + 7
KEY_7_LSHIFT	SHIFT + 7
KEY_8	8
KEY_8_LALT	ALT + 8
KEY_8_LCONTROL	CTRL + 8
KEY_8_LSHIFT	SHIFT + 8
KEY_9	9
KEY_9_LALT	ALT + 9
KEY_9_LCONTROL	CTRL + 9
KEY_9_LSHIFT	SHIFT + 9
KEY_A	A
KEY_ADD	ó
KEY_A_LALT	ALT + A
KEY_A_LCONTROL	CTRL + A
KEY_A_LSHIFT	SHIFT + A
KEY_B	B
KEY_B_LALT	ALT + B
KEY_B_LCONTROL	CTRL + B
KEY_B_LSHIFT	SHIFT + B
KEY_C	C
KEY_COMMA	,
KEY_COMMA_LALT	ALT + ,
KEY_COMMA_LCONTROL	CTRL + ,
KEY_COMMA_LSHIFT	SHIFT + ,
KEY_C_LALT	ALT + C
KEY_C_LCONTROL	CTRL + C
KEY_C_LSHIFT	SHIFT + C
KEY_D	D
KEY_DOWN	LE
KEY_D_LALT	ALT + D
KEY_D_LCONTROL	CTRL + D
KEY_D_LSHIFT	SHIFT + D
KEY_E	E
KEY_E_LALT	ALT + E
KEY_E_LCONTROL	CTRL + E
KEY_E_LSHIFT	SHIFT + E
KEY_F	F
KEY_F1	F1
KEY_F10	F10
KEY_F10_LALT	ALT + F10
KEY_F10_LCONTROL	CTRL + F10
KEY_F10_LSHIFT	SHIFT + F10
KEY_F1_LALT	ALT + F1
KEY_F1_LCONTROL	CTRL + F1
KEY_F1_LSHIFT	SHIFT + F1
KEY_F2	F2
KEY_F2_LALT	ALT + F2
KEY_F2_LCONTROL	CTRL + F2
KEY_F2_LSHIFT	SHIFT + F2
KEY_F3	F3
KEY_F3_LALT	ALT + F3
KEY_F3_LCONTROL	CTRL + F3
KEY_F3_LSHIFT	SHIFT + F3
KEY_F4	F4
KEY_F4_LALT	ALT + F4
KEY_F4_LCONTROL	CTRL + F4
KEY_F4_LSHIFT	SHIFT + F4
KEY_F5	F5
KEY_F5_LALT	ALT + F5
KEY_F5_LCONTROL	CTRL + F5
KEY_F5_LSHIFT	SHIFT + F5
KEY_F6	F6
KEY_F6_LALT	ALT + F6
KEY_F6_LCONTROL	CTRL + F6
KEY_F6_LSHIFT	SHIFT + F6
KEY_F7	F7
KEY_F7_LALT	ALT + F7
KEY_F7_LCONTROL	CTRL + F7
KEY_F7_LSHIFT	SHIFT + F7
KEY_F8	F8
KEY_F8_LALT	ALT + F8
KEY_F8_LCONTROL	CTRL + F8
KEY_F8_LSHIFT	SHIFT + F8
KEY_F9	F9
KEY_F9_LALT	ALT + F9
KEY_F9_LCONTROL	CTRL + F9
KEY_F9_LSHIFT	SHIFT + F9
KEY_F_LALT	ALT + F
KEY_F_LCONTROL	CTRL + F
KEY_F_LSHIFT	SHIFT + F
KEY_G	G
KEY_GRAVE	0
KEY_GRAVE_LALT	ALT + 0
KEY_GRAVE_LCONTROL	CTRL + 0
KEY_GRAVE_LSHIFT	SHIFT + 0
KEY_G_LALT	ALT + G
KEY_G_LCONTROL	CTRL + G
KEY_G_LSHIFT	SHIFT + G
KEY_H	H
KEY_H_LALT	ALT + H
KEY_H_LCONTROL	CTRL + H
KEY_H_LSHIFT	SHIFT + H
KEY_I	I
KEY_I_LALT	ALT + I
KEY_I_LCONTROL	CTRL + I
KEY_I_LSHIFT	SHIFT + I
KEY_J	J
KEY_J_LALT	ALT + J
KEY_J_LCONTROL	CTRL + J
KEY_J_LSHIFT	SHIFT + J
KEY_K	K
KEY_K_LALT	ALT + K
KEY_K_LCONTROL	CTRL + K
KEY_K_LSHIFT	SHIFT + K
KEY_L	L
KEY_LALT	ALT
KEY_LCONTROL	CTRL
KEY_LEFT	BAL
KEY_LSHIFT	SHIFT
KEY_L_LALT	ALT + L
KEY_L_LCONTROL	CTRL + L
KEY_L_LSHIFT	SHIFT + L
KEY_M	M
KEY_M_LALT	ALT + M
KEY_M_LCONTROL	CTRL + M
KEY_M_LSHIFT	SHIFT + M
KEY_N	N
KEY_NUMLOCK	NUMLOCK
KEY_NUMPAD0	NUMPAD 0
KEY_NUMPAD1	NUMPAD 1
KEY_NUMPAD2	NUMPAD 2
KEY_NUMPAD3	NUMPAD 3
KEY_NUMPAD4	NUMPAD 4
KEY_NUMPAD5	NUMPAD 5
KEY_NUMPAD6	NUMPAD 6
KEY_NUMPAD7	NUMPAD 7
KEY_NUMPAD8	NUMPAD 8
KEY_NUMPAD9	NUMPAD 9
KEY_N_LALT	ALT + N
KEY_N_LCONTROL	CTRL + N
KEY_N_LSHIFT	SHIFT + N
KEY_O	O
KEY_O_LALT	ALT + O
KEY_O_LCONTROL	CTRL + O
KEY_O_LSHIFT	SHIFT + O
KEY_P	P
KEY_PERIOD	.
KEY_PERIOD_LALT	ALT + .
KEY_PERIOD_LCONTROL	CTRL + .
KEY_PERIOD_LSHIFT	SHIFT + .
KEY_PGDN	PAGE DOWN
KEY_PGUP	PAGE UP
KEY_P_LALT	ALT + P
KEY_P_LCONTROL	CTRL + P
KEY_P_LSHIFT	SHIFT + P
KEY_Q	Q
KEY_Q_LALT	ALT + Q
KEY_Q_LCONTROL	CTRL + Q
KEY_Q_LSHIFT	SHIFT + Q
KEY_R	R
KEY_RIGHT	JOBB
KEY_R_LALT	ALT + R
KEY_R_LCONTROL	CTRL + R
KEY_R_LSHIFT	SHIFT + R
KEY_S	S
KEY_SPACE	SZÓKÖZ
KEY_SUBTRACT	-
KEY_SYSRQ	PRNTSCR
KEY_S_LALT	ALT + S
KEY_S_LCONTROL	CTRL + S
KEY_S_LSHIFT	SHIFT + S
KEY_T	T
KEY_TAB	TAB
KEY_T_LALT	ALT + T
KEY_T_LCONTROL	CTRL + T
KEY_T_LSHIFT	SHIFT + T
KEY_U	U
KEY_UP	FEL
KEY_U_LALT	ALT + U
KEY_U_LCONTROL	CTRL + U
KEY_U_LSHIFT	SHIFT + U
KEY_V	V
KEY_V_LALT	ALT + V
KEY_V_LCONTROL	CTRL + V
KEY_V_LSHIFT	SHIFT + V
KEY_W	W
KEY_W_LALT	ALT + W
KEY_W_LCONTROL	CTRL + W
KEY_W_LSHIFT	SHIFT + W
KEY_X	X
KEY_X_LALT	ALT + X
KEY_X_LCONTROL	CTRL + X
KEY_X_LSHIFT	SHIFT + X
KEY_Y	Z
KEY_Y_LALT	ALT + Z
KEY_Y_LCONTROL	CTRL + Z
KEY_Y_LSHIFT	SHIFT + Z
KEY_Z	Y
KEY_Z_LALT	ALT + Y
KEY_Z_LCONTROL	CTRL + Y
KEY_Z_LSHIFT	SHIFT + Y
LEADER_NAME	Vezetõ neve
LEFT_TIME	Maradék idõ
LIMIT_LEVEL_GUILD	Céh szint: %d
LOGIN_CONNECT_FAILURE	Hiba a szerver kapcsolatban.
LOGIN_CONNECT_SUCCESS	A szerver kapcsolat létrejött.
LOGIN_CONNETING	Kérjük, várj. Kapcsolódás a szerverhez...
LOGIN_FAILURE_ALREAY	A felhasználói fiókod már csatlakoztatva van.
LOGIN_FAILURE_BACKEND_ERR	Hiba történt. Kérjük, lépj kapcsolatba a Támogatással.
LOGIN_FAILURE_BE_SAME_KEY	Bejelentkezési probléma
LOGIN_FAILURE_BLOCK_ID	Ez a felhasználói fiók zárolva lett.
LOGIN_FAILURE_BLOCK_LOGIN	Lezárt szerver: Kérlek válassz egyet a többi szerver közül!
LOGIN_FAILURE_COUNTRY_ERR	Az országkód helytelen.\nKérjük, lépj kapcsolatba a Támogatással.
LOGIN_FAILURE_INTEGRTING	Ez a felhasználói fiók jelenleg összevonás alatt áll. Kérjük, próbáld újra késõbb.
LOGIN_FAILURE_IOVATION_ERR	Sajnos hiba történt. Kérjük, lépj kapcsolatba a Támogatással.
LOGIN_FAILURE_NOBILL	Ennek a felhasználói fióknak nincs játékideje.
LOGIN_FAILURE_NOT_EXIST_ID	Hibás Felhasználónév vagy Jelszó.
LOGIN_FAILURE_NOT_MAIL_CONFIRM	Meg kell erõsítened a fiókod email címét.
LOGIN_FAILURE_REPAIR_ID	Ezen a felhasználói fiókon tárgyak lettek helyreállítva.
LOGIN_FAILURE_SAMELOGIN	Valaki kapcsolódott a felhasználói fiókodhoz.
LOGIN_FAILURE_SHUTDOWN	A szerver még nem nyílt meg.
LOGIN_FAILURE_STEAM_SESSION	Lejárt a munkameneted. Kérjük, indítsd újra a klienst.
LOGIN_FAILURE_TNT_SESSION	A klienst nem sikerült megnyitni. Kérjük, nyisd meg újra a játék-indítót, és jelentkezz be!
LOGIN_FAILURE_TOO_MANY_USER	Nem csatlakozhatsz, mert túl sokan játszanak.
LOGIN_FAILURE_UNKNOWN	Ismeretlen okból nem tudsz bejelentkezni.
LOGIN_FAILURE_WEB_BLOCK	Le lettél tiltva a web oldalon. Ellenõrizd leveleidet.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	Rossz számot adtál meg.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	Háromszor adtál meg helytelen számot. A kapcsolat lezáródik.
LOGIN_FAILURE_WRONG_PASSWORD	Hibás Felhasználónév vagy Jelszó.
LOGIN_INPUT_ID	Add meg az ID-t.
LOGIN_INPUT_PASSWORD	Add meg a jelszót.
LOGIN_PROCESSING	Bejelentkezés folyamatban...
LUCKY_BOX_DIALOG_RECV_TEXT	Szeretnéd elfogadni a tárgyat?
LUCKY_BOX_DIALOG_RETRY_TEXT	Szeretnél újra szerencsét próbálni?
MAILBOX_FAIL_USE_TIME_LIMIT	A Postaláda tartalma épp frissül. Kérjük, próbáld újra késõbb.
MAILBOX_POST_ALL_DELETE_FAIL_EMPTY	Nincs üzeneted
MAILBOX_POST_ALL_DELETE_QUESTION1	Összes üzenet törlése?
MAILBOX_POST_ALL_DELETE_QUESTION2	A küldeménnyel rendelkezõ üzenetek nem lesznek törölve.
MAILBOX_POST_ALL_GET_ITEMS_FAIL_EMPTY	Nincs küldeménnyel rendelkezõ üzenet a postaládádban.
MAILBOX_POST_ALL_GET_ITEMS_QUESTION	Küldemény átvétele? (5% adó levonásra kerül a Yangból)
MAILBOX_POST_DELETE_FAIL_EXIST_ITEMS	Az üzenet nem törölhetõ. Kérlek, elõbb fogadd el a küldeményt.
MAILBOX_POST_DELETE_QUESTION	Biztosan törölni szeretnéd ezt az üzenetet?
MAILBOX_POST_GET_ITEMS_NOT_ENOUGHT_INVENTORY	Nem tudod átvenni a tárgyakat. Megtelt a leltárad.
MAILBOX_POST_GET_ITEMS_QUESTION	Küldemény átvétele? (5% adó levonásra kerül a Yangból)
MAILBOX_POST_GET_ITEMS_WON_OVERFLOW	Nem lehet nálad több Won.
MAILBOX_POST_GET_ITEMS_YANG_OVERFLOW	Nem lehet nálad több Yang.
MAILBOX_POST_GM_ARRIVE	GM Üzenet
MAILBOX_POST_NOT_CONFIRM_INFO_1	Olvasatlan üzenetek: %d
MAILBOX_POST_NOT_CONFIRM_INFO_2	Küldemény nélkül: %d / Küldeménnyel: %d
MAILBOX_POST_READ_BLOCK	Biztosan blokkolni szeretnéd %s-t?
MAILBOX_POST_WRITE_ALREADY_ITEM	Üzenetenként csak egy tárgyat küldhetsz.
MAILBOX_POST_WRITE_CAN_NOT_SPLIT_ITEM	Válaszd szét a halomba rakott tárgyakat a leltáradban, mielõtt az üzenetedhez csatolnád.
MAILBOX_POST_WRITE_CONFIRM_FAIL	Ismeretlen címzett. Az üzenet nem küldhetõ el.
MAILBOX_POST_WRITE_CONFIRM_FULL_MAILBOX	A címzett postaládája tele van. Az üzenet nem küldhetõ el.
MAILBOX_POST_WRITE_LEVEL_LIMIT	20-as szinttõl kezdve küldhetsz üzeneteket.
MAILBOX_POST_WRITE_MONEY_NOT_ENOUGHT	Nincs elég Yangod az üzenet elküldéséhez.
MAILBOX_POST_WRITE_NAME_CHECK	Erõsítsd meg a címzettet a Címzett ellenõrzése gombra kattintva.
MAILBOX_POST_WRITE_NAME_EMPTY	Add meg a címzettet.
MAILBOX_POST_WRITE_QUESTION1	Szeretnéd elküldeni az üzenetet %s részére?
MAILBOX_POST_WRITE_QUESTION2	Kézbesítési díj: %d Yang
MAILBOX_POST_WRITE_SEND_FAIL_EMPTY_NAME	Adj meg egy címzettet.
MAILBOX_POST_WRITE_SEND_FAIL_EMPTY_TITLE	Írd be a tárgyat.
MAILBOX_POST_WRITE_SEND_MONEY_TITLE	Vagyon
MAILBOX_POST_WRITE_WRONG_ITEM	Nem küldhetsz el lélekhez csatolt tárgyakat.
MAILBOX_POST_WRITE_WRONG_MESSAGE	Az üzenet nem megengedett szavakat tartalmaz.
MAILBOX_POST_WRITE_WRONG_TITLE	A tárgy nem megengedett szavakat tartalmaz.
MALL_CANNOT_INSERT	Nem tudod elhelyezni a tárgyat.
MALL_PASSWORD_TITLE	Jelszó
MAP_A1	Yongan-terület
MAP_A2	Seungryong-völgy
MAP_A2_1	
MAP_A3	Yayang Terület
MAP_AG	Jungrang
MAP_B1	Joan-terület
MAP_B2	Imji Völgy
MAP_B3	Bokjung-terület
MAP_BATTLE_FIELD	Harci övezet
MAP_BAY	Nefrit-öböl
MAP_BAYBLACKSAND	Nefrit-öböl
MAP_BG	Waryong
MAP_BOSS_AWAKEN_DAWNMIST	MV: Az Elvarázsolt erdõ
MAP_BOSS_AWAKEN_FLAME	MV: Vörös sárkány-erõd
MAP_BOSS_AWAKEN_SKIPIA	MV: A Számûzött barlangja
MAP_BOSS_AWAKEN_SNOW	MV: Nemere õrtornya
MAP_BOSS_CRACK_DAWNMIST	IH: Az Elvarázsolt erdõ
MAP_BOSS_CRACK_FLAME	IH: Vörös sárkány-erõd
MAP_BOSS_CRACK_SKIPIA	IH: A Számûzött barlangja
MAP_BOSS_CRACK_SNOW	IH: Nemere õrtornya
MAP_BOSS_LABYRINTH	Illúziók fennsíkja
MAP_C1	Pyungmoo-terület
MAP_C2	Bangsan Völgy
MAP_C3	Bakra-terület
MAP_CAPE	Sárkánytûz-fok
MAP_CAPEDRAGONHEAD	Sárkánytûz-fok
MAP_CG	Imha
MAP_CZ_DUNGEON	Zodiákus templom
MAP_DAWN	Gautama-szikla
MAP_DAWNMISTWOOD	Gautama-szikla
MAP_DAWNMIST_DUNGEON_01	Elvarázsolt erdõ
MAP_DEFENSE_WAVE	Hajó megvédése
MAP_DEFENSE_WAVE_PORT	Kikötõ
MAP_DESERT	Yongbi sivatag
MAP_DEVILCATACOMB	Az Ördög Katakombája
MAP_DEVILTOWER1	Démon-torony
MAP_DUEL	Gyakorlóharc aréna
MAP_E	Kolónia
MAP_EMPIREWAR01	Kastélyharc
MAP_EMPIREWAR02	Kastélyharc
MAP_EMPIREWAR03	Kastélyharc
MAP_FLAME	Doyyumhwan
MAP_GUILD_01	Jungrang
MAP_GUILD_02	Waryong
MAP_GUILD_03	Imha
MAP_GUILD_PVE	Sárkánykirály palotája
MAP_HOLYPLACE_DESERT	Sivatagi terület, birodalmi csata
MAP_HOLYPLACE_FLAME	Tûzföld, birodalmi csata
MAP_HOLYPLACE_ICE	Jégföld, birodalmi csata
MAP_MILGYO	Hwang templom
MAP_MILGYO_A	
MAP_MINIBOSS_01	Kék kazamata – 40-80. szint
MAP_MINIBOSS_02	Vörös kazamata – 81. szinttõl
MAP_MISTS_OF_ISLAND	Köd szigete
MAP_MONKEY_DUNGEON	Hasun Dong
MAP_MONKEY_DUNGEON2	Jungsun Dong
MAP_MONKEY_DUNGEON3	Sangsun Dong
MAP_MONKEY_DUNGEON_11	Hasun Dong
MAP_MONKEY_DUNGEON_12	Hasun Dong
MAP_MONKEY_DUNGEON_13	Hasun Dong
MAP_MT_THUNDER	Mennydörgés-hegység
MAP_MT_TH_DUNGEON_01	Az Ochao temploma
MAP_NUSLUCK	Óriások Földje
MAP_NUSLUCK01	Óriások földje
MAP_N_DESERT_01	Yongbi sivatag
MAP_N_DESERT_02	
MAP_N_FLAME_01	Tûzföld
MAP_N_FLAME_02	
MAP_N_FLAME_DRAGON	Meley barlangja
MAP_N_FLAME_DUNGEON_01	Vörös sárkány-erõd
MAP_N_SNOWM_01	Sohan-hegy
MAP_N_SNOWM_02	
MAP_N_SNOW_DUNGEON_01	Nemere õrtornya
MAP_N_THREEWAY	Seungryong-völgy
MAP_OXEVENT	OX-verseny
MAP_PATHWAY_DESERT_01	Sivatagi terület, birodalmi csata
MAP_PATHWAY_DESERT_02	Sivatagi terület, birodalmi csata
MAP_PATHWAY_DESERT_03	Sivatagi terület, birodalmi csata
MAP_PATHWAY_FLAME_01	Tûzföld, birodalmi csata
MAP_PATHWAY_FLAME_02	Tûzföld, birodalmi csata
MAP_PATHWAY_FLAME_03	Tûzföld, birodalmi csata
MAP_PATHWAY_ICE_01	Jégföld, birodalmi csata
MAP_PATHWAY_ICE_02	Játéktér
MAP_PATHWAY_ICE_03	Jégföld, birodalmi csata
MAP_SKELTOWER	Gumsan torony
MAP_SKIPIA_DUNGEON_01	A Számûzött barlangja
MAP_SKIPIA_DUNGEON_011	
MAP_SKIPIA_DUNGEON_012	
MAP_SKIPIA_DUNGEON_013	
MAP_SKIPIA_DUNGEON_02	A Számûzött barlangja 2
MAP_SKIPIA_DUNGEON_021	
MAP_SKIPIA_DUNGEON_022	
MAP_SKIPIA_DUNGEON_023	
MAP_SKIPIA_DUNGEON_BOSS	A Sárkány Temploma
MAP_SKIPIA_DUNGEON_BOSS_1	Pók kazamata 1
MAP_SKIPIA_DUNGEON_BOSS_2	Pók kazamata 2
MAP_SKIPIA_DUNGEON_BOSS_3	Pók kazamata 3
MAP_SNOW	Sohan-hegy
MAP_SPIDER	Kuahlo Dong
MAP_SPIDERDUNGEON	Pók kazamata 1
MAP_SPIDERDUNGEON_02	Pók kazamata 2
MAP_SPIDERDUNGEON_02_1	Pók kazamata 2
MAP_SPIDERDUNGEON_03	Pók kazamata 3
MAP_SUNGZI	Birodalmi csata
MAP_SUNGZI_DESERT_01	Sivatagi terület, birodalmi csata
MAP_SUNGZI_DESERT_HILL_01	Sivatagi terület, birodalmi csata
MAP_SUNGZI_DESERT_HILL_02	Sivatagi terület, birodalmi csata
MAP_SUNGZI_DESERT_HILL_03	Sivatagi terület, birodalmi csata
MAP_SUNGZI_FLAME_HILL_01	Tûzföld, birodalmi csata
MAP_SUNGZI_FLAME_HILL_02	Tûzföld, birodalmi csata
MAP_SUNGZI_FLAME_HILL_03	Tûzföld, birodalmi csata
MAP_SUNGZI_SNOW	Jégföld, birodalmi csata
MAP_SUNGZI_SNOW_PASS01	Jégföld, birodalmi csata
MAP_SUNGZI_SNOW_PASS02	Jégföld, birodalmi csata
MAP_SUNGZI_SNOW_PASS03	Jégföld, birodalmi csata
MAP_T1	Céhháború terület
MAP_T2	Céhháború terület
MAP_T3	Céhháború terület
MAP_T4	Céhháború terület
MAP_TEMPLE	Hwang templom
MAP_THUNDER	Mennydörgés-hegység
MAP_TREE	Lungsam
MAP_TRENT	Szellem-erdõ
MAP_TRENT02	Vörös Erdõ
MAP_TRENT02_A	Vörös Erdõ
MAP_TRENT_A	
MAP_WEDDING_01	Esküvõi terület
MAP_WL	Kígyórét
MAP_WL_01	Kígyórét
MC_ACCUMULATION_COUNT	Begyûjtött Szörnykártyák: %d
MC_ALTER_TEXT	Megbízás-szint: %d
MC_CARD_FALL_SHORT	Kevés a regisztrált kártya.
MC_CARD_SHUFFLE	Szeretnéd megkeverni a kártyákat?
MC_INIT_ITEM_FALL_SHORT	%d Visszaállító jegyre van szükséged.
MC_MISSION_FAIL_MSG	Nincs aktív megbízás vagy meghaladott korlát.
MC_MISSION_INIT	Vissza akarod állítani a megbízást 1-es szintre?
MC_MISSION_NO_CLEAR	Elõbb teljesítened kell a megbízást.
MC_MOTION_BUTTON_OVER_MSG	Ez a lehetõség csak 2 csillagnál nyílik meg.
MC_POLY_BUTTON_OVER_MSG	Ez a lehetõség csak 3 csillagnál nyílik meg.
MC_POLY_FAIL	Jelenleg nem tudsz átalakulni.
MC_POLY_QUESTION	Szeretnél átalakulni ezzé a szörnnyé?
MC_PROMOTION_MAX	Nem léptethetõ elõ tovább.
MC_PROMOTION_QUESTION	Szeretnéd emelni a szintet?
MC_QUESTION_BUTTON_DESC1	Csak 6 alkalommal lehet visszaállítani 24 órán belül.
MC_QUESTION_BUTTON_DESC2	Minden egymást követõ visszaállításhoz egyre több Visszaállító jegy kell.
MC_QUESTION_BUTTON_DESC3	Kattints ide a fennmaradó újratöltési idõ kijelzéséhez.
MC_REWARD_FAIL	Nincs elég hely a leltáradban.
MC_REWARD_MISSION	Be szeretnéd gyûjteni a Szörnykártyád most?
MC_SHUFFLE_NO_ITEM	Nincs Újrakeverõ jegyed.
MC_TIME	Újratöltés: %s
MC_TRADE_QUESTION	%d kártya le lesz vonva. Szeretnéd folytatni?
MC_USE_ITEM_FAIL	Ez a kártya nem adható hozzá.
MC_USE_ITEM_QUESTION	Szeretnéd hozzáadni ezt a Szörnykártyát?
MC_WARP_BUTTON_OVER_MSG	Ez a lehetõség csak 4 csillagnál nyílik meg.
MC_WARP_FAIL	Többé nem teleportálhatsz.
MC_WARP_LIMIT_LEVEL	Jelenlegi szinted nem elég magas a teleportáláshoz.
MC_WARP_QUESTION	El akarsz teleportálni e szörny területére?
MD_POPUP_MSG_1	Csak a Zodiákus templomból tudsz belépni.
MD_POPUP_MSG_2	A Zodiákus õrzõknek újra kell szervezõdniük.\nAdj nekik egy kis idõt.
MD_SYSTEM_MSG_1	Nem vagy zombi. Nem harcolhatsz, ha halott vagy.
MEDAL_OF_HONOR	Bátorság medálja
MEDAL_OF_HONOR_SYSTEM_PICK	Kapott tárgy: Bátorság medálja x %d
MESSENGER_ADD_BLOCK_FRIEND	Hozzáadás
MESSENGER_ADD_FRIEND	Barát hozzáadása
MESSENGER_BLOCK	Blokkolt
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s felvett barátnak.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Elfogadod?
MESSENGER_DO_YOU_DELETE	Töröl?
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Szeretnéd a mobilszámot törölni?
MESSENGER_DO_YOU_MOVE	Folytatod?
MESSENGER_EMPTY_LIST	Üres
MESSENGER_FAMILY	Család
MESSENGER_FRIEND	Barátok
MESSENGER_GUILD	Céh
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Add meg a visszaigazoló számot, amely a telefonodra érkezett.
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Visszaigazoló szám megadása
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Add meg a mobilszámot az sms küldéshez.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	Szeretnéd megadni a számot most?
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Mobilszám megadás
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Üzenet küldés
METIN_TEST	
