NPC_SEARCH	Npc Search
DETAILS_TOOLTIP_38	Strong against Suras: Deals heavier damage to suras.
DETAILS_TOOLTIP_39	Strong against Shamans: Deals heavier damage to shamans.
DETAILS_TOOLTIP_4	Strong against Undead: Deals heavier damage to undead.
DETAILS_TOOLTIP_40	Strong against Lycans: Deals heavier damage to lycans.
DETAILS_TOOLTIP_41	Defence chance against warrior attacks: Reduces the damage you suffer from warriors.
DETAILS_TOOLTIP_42	Defence chance against ninja attacks: Reduces the damage you suffer from ninjas.
DETAILS_TOOLTIP_43	Defence chance against sura attacks: Reduces the damage you suffer from suras.
DETAILS_TOOLTIP_44	Defence chance against shaman attacks: Reduces the damage you suffer from shamans.
DETAILS_TOOLTIP_45	Defence chance against lycan attacks: Reduces the damage you suffer from lycans.
DETAILS_TOOLTIP_46	Reduces the damage dealt by a sword.
DETAILS_TOOLTIP_47	Reduces the damage dealt by a two-handed weapon.
DETAILS_TOOLTIP_48	Reduces the damage dealt by a dagger.
DETAILS_TOOLTIP_49	Reduces the damage dealt by a claw.
DETAILS_TOOLTIP_5	Strong against Monsters: Deals heavier damage to monsters.
DETAILS_TOOLTIP_50	Reduces the damage dealt by a bell.
DETAILS_TOOLTIP_51	Reduces the damage dealt by a fan.
DETAILS_TOOLTIP_52	Reduces the damage dealt by bows and arrows.
DETAILS_TOOLTIP_53	Increases the chance of knocking out an opponent.
DETAILS_TOOLTIP_54	Increases the chance of slowing an opponent.
DETAILS_TOOLTIP_55	Increases the chance of poisoning an enemy.
DETAILS_TOOLTIP_56	Reduces the damage dealt by poison.
DETAILS_TOOLTIP_57	Increases the chance of carrying out a bleeding attack.
DETAILS_TOOLTIP_58	Resist against bleeding attack: Reduces the damage dealt by a bleeding attack.
DETAILS_TOOLTIP_59	Drains your enemy's HP when you hit them.
DETAILS_TOOLTIP_6	Strong against Zodiac Monsters: Deals heavier damage to Zodiac monsters.
DETAILS_TOOLTIP_60	Drains your enemy's SP when you hit them.
DETAILS_TOOLTIP_61	Increases the recovery of your hit points.
DETAILS_TOOLTIP_62	Increases the recovery of your spell points.
DETAILS_TOOLTIP_63	Chance to block a melee attack: Increases the chance of evading a melee attack.
DETAILS_TOOLTIP_64	Chance of avoiding an arrow attack: Increases the chance of evading an arrow or ranged attack by a monster.
DETAILS_TOOLTIP_65	Chance to reflect melee hits: Part of the enemy's melee damage is reflected back at them.
DETAILS_TOOLTIP_66	HP recovery when killing: Your hit points increase when you kill an enemy.
DETAILS_TOOLTIP_67	SP recovery when killing: Your spell points increase when you kill an enemy.
DETAILS_TOOLTIP_68	Chance to gain double experience: Increases the chance of an EXP bonus when you defeat your opponent.
DETAILS_TOOLTIP_69	Chance to drop double Yang: Increases the chance of receiving twice the amount of Yang.
DETAILS_TOOLTIP_7	Strong against Animals: Deals heavier damage to wild animals.
DETAILS_TOOLTIP_70	Chance to drop items: Increases the chance of looting twice the number of items.
DETAILS_TOOLTIP_76	Reduces the damage you suffer on a magical attack.
DETAILS_TOOLTIP_77	Reduces your enemy's magic resistance.
DETAILS_TOOLTIP_8	Strong against Esoterics: Deals heavier damage to esoterics.
DETAILS_TOOLTIP_9	Strong against Devils: Deals heavier damage to devils.
DETAILS_TOOLTIP_ATTBONUS_BELL	Bell defence break: Reduces your opponent's bell defence.
DETAILS_TOOLTIP_ATTBONUS_BOW	Arrow defence break: Reduces your opponent's arrow defence.
DETAILS_TOOLTIP_ATTBONUS_CLAW	Claw defence break: Reduces your opponent's claw defence.
DETAILS_TOOLTIP_ATTBONUS_DAGGER	Dagger defence break: Reduces your opponent's dagger defence.
DETAILS_TOOLTIP_ATTBONUS_FAN	Fan defence break: Reduces your opponent's fan defence.
DETAILS_TOOLTIP_ATTBONUS_SWORD	Sword defence break: Reduces your opponent's sword defence.
DETAILS_TOOLTIP_ATTBONUS_TWOHAND	Two-handed defence break: Reduces your opponent's two-handed defence.
DETAILS_TOOLTIP_RESIST_MOUNT_FALL	Fall resistance: Reduces your chance of falling from your mount.
DONT_USE_ITEM_WHEN_SHOW_CONFIRM	You cannot move any items when a request is in progress.
DO_NOT_INSERT_UPBRINGING_PET	The active pet cannot be selected.
DO_YOU_BUY_ITEM1	Do you want to buy %s for %s?
DO_YOU_BUY_ITEM2	Do you want to buy %s (%s lots) for %s?
DO_YOU_BUY_ITEM3	Do you want to buy %s for %s Yang?
DO_YOU_BUY_ITEM4	Do you want to buy %s (%s lots) for %s Yang?
DO_YOU_DROP_MONEY	Do you want to drop %d Yang?
DO_YOU_SELL_ITEM1	Do you want to sell %s for %s?
DO_YOU_SELL_ITEM2	Do you want to sell %s (%s lots) for %s?
DRAGON_SOUL_CANNOT_REFINE	This Dragon Stone cannot be refined.
DRAGON_SOUL_CANNOT_REFINE_MORE	This Dragon Stone has already reached the highest level.
DRAGON_SOUL_EQUIP_WARNING1	It is difficult to remove a Dragon Stone once it is attached.
DRAGON_SOUL_EQUIP_WARNING2	Would you still like to continue?
DRAGON_SOUL_EXPIRED	Expired Dragon Stone
DRAGON_SOUL_INVALID_DRAGON_SOUL	That is the wrong Dragon Stone.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	That is not a Dragon Stone.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	That is not the right Dragon Stone.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	You do not have enough material to refine.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL2	For your %s\nyou require: %s %dx
DRAGON_SOUL_NOT_ENOUGH_MONEY	You don't have enough Yang to change the bonus.
DRAGON_SOUL_NOT_MATCHED_SLOT	The Dragon Stone does not fit in this slot.
DRAGON_SOUL_STEP_LEVEL1	Clarity: matt,
DRAGON_SOUL_STEP_LEVEL2	Clarity: clear,
DRAGON_SOUL_STEP_LEVEL3	Clarity: flawless,
DRAGON_SOUL_STEP_LEVEL4	Clarity: brilliant,
DRAGON_SOUL_STEP_LEVEL5	Clarity: excellent,
DRAGON_SOUL_STRENGTH	Level: +%d	SA
DRAGON_SOUL_UNEQUIP_WARNING1	The Dragon Stone may be destroyed in the process.
DRAGON_SOUL_UNEQUIP_WARNING2	Would you still like to continue?
DRAGON_SOUL_UNMATCHED_SLOT	That is the wrong slot.
DROP_ITEM_FAILURE_EQUIP_ITEM	You cannot drop equipped items.
DROP_ITEM_FAILURE_PRIVATE_SHOP	You cannot drop any items as long as a private shop is open.
DROP_MONEY_FAILURE_1000_OVER	You can drop a maximum of 999 Yang.
DS_SYSTEM_MSG_1	You need %s (%dx).
DUTCH_AUCTION_CLOSE_OTHER_WINDOW	Please close all other windows before opening the Flash Auctions.
EMOTION_ALCOHOL	Cheers!
EMOTION_ANGRY	Aggravating	
EMOTION_ATTRACTIVE	Seduction	
EMOTION_BANTER	Sneering	
EMOTION_BUSY	Stress
EMOTION_CALL	Call
EMOTION_CELEBRATION	Party
EMOTION_CHARGING	Charging
EMOTION_CHEERS_1	Cheers 1	
EMOTION_CHEERS_2	Cheers 2	
EMOTION_CHEERUP	Cheer	
EMOTION_CHOOSE_ONE	Choose a target.	
EMOTION_CLAP	Claps	
EMOTION_CLAP_KISS	Kiss	
EMOTION_CONGRATULATION	Approval	
EMOTION_DANCE_1	Dance 1	
EMOTION_DANCE_2	Dance 2	
EMOTION_DANCE_3	Dance 3	
EMOTION_DANCE_4	Dance 4	
EMOTION_DANCE_5	Dance 5	
EMOTION_DANCE_6	Gumsan Style
EMOTION_DANCE_7	Samba
EMOTION_DOZE	Doze Off
EMOTION_EXERCISE	Warm Up
EMOTION_FORGIVE	Forgiveness	
EMOTION_FRENCH_KISS	French Kiss	
EMOTION_HUNGRY	Hungry
EMOTION_JOY	Joy	
EMOTION_LETTER	Love Letter
EMOTION_NOSAY	Speechless
EMOTION_PUSH_UP	Push Ups
EMOTION_SAD	Sad	
EMOTION_SELFIE	Selfie
EMOTION_SHY	Rejection	
EMOTION_SIREN	Siren
EMOTION_SLAP	Hit	
EMOTION_WEATHER_1	Sunshine
EMOTION_WEATHER_2	Rainbow
EMOTION_WEATHER_3	Moon
EMOTION_WHIRL	Confused
EMPIRE_A	Shinsoo Kingdom	
EMPIRE_B	Chunjo Kingdom	
EMPIRE_C	Jinno Kingdom
EMPIRE_SELECT_MODE	Select kingdom
EXCHANGE_CANNOT_GIVE	This item cannot be traded.
EXCHANGE_CANT_EDIT_MONEY	You cannot change the sum now.	
EXCHANGE_FAILURE_EQUIP_ITEM	You cannot exchange equipped Items.
EXCHANGE_MONEY	Sum	
EXCHANGE_TITLE	Trade with %s (%d)
EXINVEN_USE_ITEM_FAIL_FALL_SHORT	You still require %d Inventory Expansion(s).
EXINVEN_USE_ITEM_FAIL_FOURTH_PAGE_STAGE_MAX	Your inventory has reached the maximum number of expansions.
EXINVEN_USE_ITEM_QUESTION	Do you want to expand your inventory using %d Inventory Expansions?
FISHING_FAILURE	You lost the Bait.	
FISHING_NOTIFY1	It looks like %s is hooked.
FISHING_NOTIFY2	It looks like %s is on the hook.	
FISHING_RENEWAL_CANNOT_EMOTION	You cannot express emotions while fishing.
FISHING_RENEWAL_CANNOT_OPEN_1	You cannot open it while fishing.
FISHING_RENEWAL_CANNOT_OPEN_2	You cannot carry out this action while fishing.
FISHING_RENEWAL_QUESTION	You've got a bite. Do you want to catch it?
FISHING_RENEWAL_TIMEOUT	You waited too long. The fish got away.
FISHING_SUCCESS1	You captured %s!	
FISHING_SUCCESS2	You have pulled %s out of the water!	
FISHING_UNKNOWN	Something has taken the bait but you can't see what it is.	
FISHING_WRONG_PLACE	You cannot go fishing here.	
FLOWER_EVENT_USE_ITEM_TEXT1	Do you want to replace the active effect?
FLOWER_EVENT_USE_ITEM_TEXT2	The attempt may fail causing the flower to wilt.
FOR_FEMALE	for female	
FOR_MALE	for male	
FRAGMENT_COMB_COST	Combination costs: %s
GAME_CANNOT_MINING	You cannot mine Ore while riding.	
GAME_CANNOT_PICK_ITEM	You cannot collect this Item as you did not win it.	
GAME_GUILDWAR_NOW_JOIN	Do you want to join the guild war?
GAME_INIT_ERROR_CURSOR	The cursor could not be established.	
GAME_INIT_ERROR_DIRECTX	DirectX 8.1 must be installed so that the game can run.\nInstall DirectX 8.1 or higher.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	No graphic device could be found. \nCheck if your VGA card is correctly installed.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Graphic device could not be established. \nCheck if you have a VGA card. \nAlternatively, you can active the hardware accelerator.\n(Set hardware accelerator to max \nControl Panel->Display->Settings->Advanced->Troubleshoot tab)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	The graphics card of the computer does not support the window mode in 32bit Mode. \nChange to 16bit Mode or use Full Screen Mode.
GAME_INIT_ERROR_ITEM_PROTO	No Item data there.\nInstall the game again.	
GAME_INIT_ERROR_MAIN_WINDOW	Mainframe could not be established	
GAME_INIT_ERROR_MOB_PROTO	No Monster Data there.\nInstall the game again.	
GAME_INIT_ERROR_NETWORK	Network devices could not be established.\nCheck your internet connection.	
GEM_SYSTEM_ADD_SLOT	Item required: %s.\nDo you want use %d of them to unlock an additional slot?
GEM_SYSTEM_BUY_ITEM	Do you want to purchase this item?
GEM_SYSTEM_NAME	Gaya
GEM_SYSTEM_NOT_ENOUGHT_REFRESHITEM	[Gaya] You don't have enough Refresh Gaya Market items.
GEM_SYSTEM_NOT_ENOUGH_HP_GEM	[Gaya] You don't have enough Gaya.
GEM_SYSTEM_NO_MORE_ADDSLOT	[Gaya] No more slots can be unlocked.
GEM_SYSTEM_OPEN_GEMSHOP	[Gaya] Open the Gaya Market first.
GEM_SYSTEM_PICK_GEM	[Gaya] Amount of Gaya: %d
GEM_SYSTEM_REFRESH_SHOP_ITEMS	Do you want to refresh the shop?
GIVEUP_QUESTION	Do you really want to give up?
GUILDBANK_CLEARBANK	Warning: The Guild Warehouse must be emptied!
GUILDBANK_DONT_MONEY_OUT	You don't have any Yang in the guild bank!
GUILDBANK_GOLD_IN	Deposit
GUILDBANK_GOLD_OUT	Withdrawal
GUILDBANK_ITEM_IN	Store
GUILDBANK_ITEM_OUT	Remove
GUILDBANK_MONEYIN	Deposit Yang
GUILDBANK_MONEYOUT	Withdraw Yang
GUILDBANK_NOTUSE	You do not have the necessary permissions.
GUILDBANK_NOT_ENOUGH_MONEY	You do not have enough Yang to deposit.
GUILDBANK_OVER_INCOME	Account limit reached.
GUILDBANK_OVER_MONEY	The guild account is full.
GUILDLAND_ABANDON	Abandon Guild Territory
GUILDLAND_ACCEPT	Yes
GUILDLAND_DONTHAVE_LAND	You do not own any guild territory.
GUILDLAND_NOT	No
GUILDLIST_APPLICANT	Do you want to apply?
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Height is not 128 Pixel	
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Height is not 12 Pixel
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Width is not 16 Pixel	
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Width is not 64 Pixel	
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	The game does not support this picture.	
GUILDMARK_UPLOADER_ERROR_PATH	Move the data into the folder metin2/upload.	
GUILDMARK_UPLOADER_ERROR_SELECT	No picture file chosen.	
GUILDWAR_ALL	Battles (B)
GUILDWAR_CTF_TITLE	Capture the Flag
GUILDWAR_DRAW	Draws (D)
GUILDWAR_GAINSCORE_FIFTY	50 points
GUILDWAR_GAINSCORE_HUNDRED	100 points
GUILDWAR_GAINSCORE_THIRTY	30 points
GUILDWAR_GAMETIME_SIXTY	60 minutes
GUILDWAR_GAMETIME_TEN	10 minutes
GUILDWAR_GAMETIME_THIRTY	30 minutes
GUILDWAR_INPUT_OTHERGUILD	Please enter opposing guild.
GUILDWAR_LADDER	Rank Points
GUILDWAR_LIMIT_MEMBER_FIVE	Minimum 5 participants.
GUILDWAR_LOSE	Losses (L)
GUILDWAR_NORMAL_TITLE	Field Battle
GUILDWAR_OVER_MEMBERCOUNT	You have reached the member limit.
GUILDWAR_QUESTION_LINE_1	The Guild %s  declared war on your Guild.	
GUILDWAR_QUESTION_LINE_2	Do you accept? (%s)	
GUILDWAR_RANKING	Rank
GUILDWAR_RECODE_ALL	%d B, %d W, %d L, %d D
GUILDWAR_SELECT_MEMBER_COUNT	Select the number of participants.
GUILDWAR_TYPE_DEFENSE	Shield Battle
GUILDWAR_TYPE_TIGER	Annihilation
GUILDWAR_TYPE_TIME	Time Attack
GUILDWAR_UNKNOWN_TITLE	...	
GUILDWAR_WARP_TITLE	Arena Battle
GUILDWAR_WIN	Wins (W)
GUILDWAR_WIN_FIVE	5 rounds
GUILDWAR_WIN_ONE	1 round
GUILDWAR_WIN_THREE	3 rounds
GUILDWINDOW_BUTTON_BANKGOLDINFO	Guild Warehouse Log
GUILDWINDOW_BUTTON_BASEABANDON	Abandon Guild Territory
GUILDWINDOW_BUTTON_BASEDEAL	Sell Guild Territory
GUILDWINDOW_BUTTON_BOARD	Guild Messages
GUILDWINDOW_BUTTON_CHANGEMASTER	Change Guild Leader
GUILDWINDOW_BUTTON_DECLARE	Declare War
GUILDWINDOW_BUTTON_DONATE	Donate
GUILDWINDOW_BUTTON_GOLDIN	Deposit
GUILDWINDOW_BUTTON_GOLDOUT	Withdrawal
GUILDWINDOW_BUTTON_GRADE	Manage Permissions
GUILDWINDOW_BUTTON_GUILDLIST	Guild List
GUILDWINDOW_BUTTON_HEALGSP	Restore Dragon God Power
GUILDWINDOW_BUTTON_INFO	Guild Information
GUILDWINDOW_BUTTON_LANDINFO	Territory Information
GUILDWINDOW_BUTTON_MARK	Upload Guild Symbol
GUILDWINDOW_BUTTON_MEMBER	Member
GUILDWINDOW_BUTTON_OFFER	Donate EXP
GUILDWINDOW_BUTTON_OUTMEMBER	Remove Member
GUILDWINDOW_BUTTON_SKILL	Guild Skills
GUILDWINDOW_BUTTON_SYMBOL	Upload Guild Flag
GUILDWINDOW_BUY_GUILD_LAND	Purchase Land
GUILDWINDOW_CHANGE_BLACKSMITH	Change Profession
GUILDWINDOW_CHANGE_OBJECT	Reconstruction
GUILDWINDOW_CHANGE_SMELTER	Change Smelter
GUILDWINDOW_CREATE_OBJECT	Construction
GUILDWINDOW_DEAL_GUILD_LAND	Sell Land
GUILDWINDOW_GRADE_BANK	May use guild bank and warehouse
GUILDWINDOW_GRADE_DRIVEOUTAUTHORITY	May remove members from the guild
GUILDWINDOW_GRADE_GRADENAME	Rank Name
GUILDWINDOW_GRADE_GRADENUMBER	Rank Number
GUILDWINDOW_GRADE_GUILDWAR	May select members to participate as combatants
GUILDWINDOW_GRADE_INVITEAUTHORITY	May accept players into the guild
GUILDWINDOW_GRADE_NOTICEAUTHORITY	May compose guild messages
GUILDWINDOW_GRADE_SKILLAUTHORITY	May use guild skills
GUILDWINDOW_INFO_LEVEL10	Increased max. member count
GUILDWINDOW_INFO_LEVEL15	Cost red.: Dragon God Power
GUILDWINDOW_INFO_LEVEL20	Bank: Tax exemption
GUILDWINDOW_INFO_LEVEL5	+5% EXP to guild donations
GUILDWINDOW_LIST_ALL	All Kingdoms
GUILDWINDOW_LIST_ALREADY_REGISTER	[Guild] You have already applied.
GUILDWINDOW_LIST_APPLICANT_LIST	Application List
GUILDWINDOW_LIST_CHRACTER_JOB	Class
GUILDWINDOW_LIST_CHRACTER_LV	Level
GUILDWINDOW_LIST_CHRACTER_NAME	Character Name
GUILDWINDOW_LIST_CHRACTER_SUB_JOB	Subclass
GUILDWINDOW_LIST_EMPIRE_A	Shinsoo
GUILDWINDOW_LIST_EMPIRE_B	Chunjo
GUILDWINDOW_LIST_EMPIRE_C	Jinno
GUILDWINDOW_LIST_GUILDMEMBER	Member
GUILDWINDOW_LIST_GUILD_LIST	Guild List
GUILDWINDOW_LIST_GUILD_LV	Level
GUILDWINDOW_LIST_GUILD_NAME	Guild
GUILDWINDOW_LIST_INPUT_GUILDNAME	[Guild] Please enter a guild name.
GUILDWINDOW_LIST_LADDER	Rank Points
GUILDWINDOW_LIST_NOTPROMOTEGUILD	[Guild] This guild is not advertising.
GUILDWINDOW_LIST_PROMOTE_GUILD	Application
GUILDWINDOW_LIST_PROMOTE_GUILD_LIST	Guild List
GUILDWINDOW_LIST_RANKING	Position
GUILDWINDOW_LIST_RANKING_COUNT	Position
GUILDWINDOW_LIST_REGISTER	Applications
GUILDWINDOW_LIST_REGISTER_GUILD	Apply to guild
GUILDWINDOW_LIST_SEARCH	Search
GUILDWINDOW_LIST_SELECT_GUILD	[Guild] Please select a guild to apply to.
GUILDWINDOW_PROMOTE_REFRESH	Advertise
GUILDWINDOW_PROMOTE_REGISTER	Advertise
GUILDWINDOW_SP_RECOVER	Dragon God Power
GUILDWINDOW_UPGRADE_ALTEROFPOWER	Upgrade Altar
GUILDWINDOW_UPGRADE_GUILDBANK	Upgrade Bank
GUILD_ATTENDANCE_FAIL_ALREADY	You have already attended today.
GUILD_ATTENDANCE_FAIL_JOIN_TIME	You cannot attend now. Attendance is reset every day at 5:00 AM.
GUILD_BANKINFO_CLOSE	Close
GUILD_BANKINFO_NAME	Member
GUILD_BANKINFO_TYPE	Item/Currency
GUILD_BANKINFO_USETYPE	Action
GUILD_BANK_CLOSE	Close
GUILD_BANK_INFO	Guild Warehouse Log
GUILD_BOARD_ID	Member
GUILD_BOARD_TEXT	Message
GUILD_BUILDING_FIX_CHANGE	Do you really want to change the position?
GUILD_BUILDING_FIX_CHANGE_GOLD	Cost: 1.000.000 Yang
GUILD_BUILDING_FIX_DELETE	Do you really want to delete the object?
GUILD_BUILDING_FIX_NEED_BUILDING	No building present.
GUILD_BUILDING_GRADE	Rank	
GUILD_BUILDING_NAME	Name of building	
GUILD_CANNOT_HEAL_GSP_ANYMORE	The Dragon Ghost Energy is already fully restored.
GUILD_COMMENT	Write	
GUILD_CREATE_ERROR_INSULT_NAME	Guildname is not valid.	
GUILD_DEFAULT_GRADE	Guild members	
GUILD_DELETE	Delete	
GUILD_DEPOSIT	Deposit	
GUILD_DONATE_FAIL_NOT_ENOUGH_HIGH_ITEM	You don't have enough Large Donation Tickets.
GUILD_DONATE_FAIL_NOT_ENOUGH_INVENTORY	Your inventory is full. You cannot donate.
GUILD_DONATE_FAIL_NOT_ENOUGH_MIDDLE_ITEM	You don't have enough Medium Donation Tickets.
GUILD_DONATE_FAIL_NOT_ENOUGH_YANG	Not enough Yang.
GUILD_DONATE_QUESTION_HIGH	Do you want to make a Large Donation?
GUILD_DONATE_QUESTION_MIDDLE	Do you want to make a Medium Donation?
GUILD_DONATE_QUESTION_NORMAL	Do you want to make a Small Donation?
GUILD_DO_YOU_HEAL_GSP	Do you want to use %d Yang to restore %d units of Dragon Ghost?
GUILD_DO_YOU_JOIN	has invited you. Do you want to join the guild?
GUILD_DRAGONLAIR_MIN	min.
GUILD_DRAGONLAIR_PARTY_ALL	Overall Rankings
GUILD_DRAGONLAIR_PARTY_LINE_FOUR	11th Place and Below: 100 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_HELP	Help
GUILD_DRAGONLAIR_PARTY_LINE_ONE	1st Place: 400 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_THREE	4th-10th Place: 200 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_TWO	2nd-3rd Place: 300 Gaya
GUILD_DRAGONLAIR_PARTY_MEMBER	Members
GUILD_DRAGONLAIR_PARTY_NOW	Weekly Rankings
GUILD_DRAGONLAIR_PARTY_PAST	Previous Rankings
GUILD_DRAGONLAIR_PARTY_TIME	Time
GUILD_DRAGONLAIR_PARTY_TOOLTIP_TITLE	Reward
GUILD_DRAGONLAIR_RANKING_FAIL	FAILED
GUILD_DRAGONLAIR_RANKING_NONE	NEW
GUILD_DRAGONLAIR_RANKING_SUCCESS	SUCCESS
GUILD_DRAGONLAIR_SECOND	sec.
GUILD_EMPTY_AREA	Empty land	
GUILD_ENEMY_GUILD_NAME	Guild name of the enemy	
GUILD_FACILITY	Outbuilding	
GUILD_GEM	Gem	
GUILD_HEADQUARTER	Main Building
GUILD_HEAL_GSP	Restore Dragon ghost
GUILD_INFO_ENEMY_GUILD_EMPTY	None	
GUILD_MARK_NOT_ENOUGH_LEVEL	Minimum level of 3 required
GUILD_MARK_UPLOAD_NOTICE	Please wait a moment so you can add guild logos.
GUILD_MEMBER_JOB	Class
GUILD_MEMBER_KNIGHT	Combatant
GUILD_MEMBER_LEVEL	Level
GUILD_MEMBER_NAME	Member
GUILD_MEMBER_RANK	Rank
GUILD_MEMBER_SPECIFIC_GRAVITY	Donated EXP
GUILD_NAME	Guild name	
GUILD_NOT_ENOUGH_MATERIAL	Not enough building material for this building.
GUILD_NOT_ENOUGH_MONEY	Not enough Yang for this building.
GUILD_NO_NOTICE_PERMISSION	You do not have the rights to make an announcement.	
GUILD_OBJECT	Objects	
GUILD_OFFER_EXP	Invest experience
GUILD_SHORT_EXP	Not enough experience points.
GUILD_TILE_BASEINFO	Territory Information
GUILD_TILE_BOARD	Guild Messages
GUILD_TILE_GRADE	Rights Administration	
GUILD_TILE_INFO	Guild Information	
GUILD_TILE_MEMBER	Member
GUILD_TILE_SKILL	Guild Skills	
GUILD_USE_MASTER_ONLY	Only the guild leader has this right.
GUILD_VILLAGE_01	Miryang
GUILD_VILLAGE_02	Songpa
GUILD_VILLAGE_03	Daeyami
GUILD_WAR1	Guild War Area
GUILD_WAR2	Guild War Area
GUILD_WAR3	Guild War Area
GUILD_WAR4	Guild War Area
GUILD_WAR_GAINSCORE_FIFTY	50 points
GUILD_WAR_GAINSCORE_HUNDRED	100 points
GUILD_WAR_GAINSCORE_THIRTY	30 points
GUILD_WAR_GAMETIME_SIXTY	60 minutes
GUILD_WAR_GAMETIME_TEN	10 minutes
GUILD_WAR_GAMETIME_THIRTY	30 minutes
GUILD_WAR_LIMIT_30MIN	Time: 30 Minutes	
GUILD_WAR_REWARD_POTION	Reward: The winner receives a Potion	
GUILD_WAR_SELECT_WAR	Select type
GUILD_WAR_TYPE_DEFENSE	Shield Battle
GUILD_WAR_TYPE_DIE	Arena Battle
GUILD_WAR_TYPE_FLAG	Capture the Flag
GUILD_WAR_TYPE_NORMAL	Field Battle
GUILD_WAR_TYPE_TIGER	Annihilation
GUILD_WAR_TYPE_TIME	Time Attack
GUILD_WAR_USE_BATTLE_MAP	Location: Guild War Arena
GUILD_WAR_USE_NORMAL_MAP	Location: Normal Map
GUILD_WAR_WIN_CHECK_SCORE	The highest result wins the war.	
GUILD_WAR_WIN_FIVE	5 rounds
GUILD_WAR_WIN_ONE	1 round
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Capture the flag of your enemy
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	and carry it to your base.
GUILD_WAR_WIN_THREE	3 rounds
GUILD_WAR_WIN_WIPE_OUT_GUILD	Defeat all enemies to win.	
GUILD_WITHDRAW	Fallback	
GUILD_YOU_DO_NOT_JOIN	You are not a member of any Guild.	
HORSE_HEALTH0	Dead	
HORSE_HEALTH1	Starving
HORSE_HEALTH2	Hungry
HORSE_HEALTH3	Full	
HORSE_LEVEL1	Normal Horse
HORSE_LEVEL2	Battle Horse
HORSE_LEVEL3	Military Horse
HOUR	hr
HOW_MANY_ITEM_DO_YOU_DROP1	Do you want to drop %s?	
HOW_MANY_ITEM_DO_YOU_DROP2	Do you want to drop %s %d?	
INPUT_MATRIX_CARD_NUMBER	Enter Matrix Cardnumber.	
INPUT_MATRIX_CARD_TITLE	Matrix Card	
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Enter deletion-code from your account settings here.	
INPUT_PRIVATE_CODE_DIALOG_TITLE	Delete character	
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Role of Return cannot be combined.	
INVENTORY_REALLY_USE_ITEM	Use item on this item?
INVENTORY_REALLY_USE_ITEM2	Do you really want to use this item?
INVENTORY_REALLY_USE_PET_BAG_ITEM	Do you really want to put your pet in the Transport Box?
INVENTORY_REALLY_USE_PET_BAG_TAKE_OUT	Do you want to open a Transport Box?
INVENTORY_REALLY_USE_PET_FEEDSTUFF_ITEM	Do you want to feed %s to %s?
IS_NOT_PET_CHANGE_ITEM	That is not an Enchant Pet item.
IS_NOT_PET_ITEM	That is not a pet.
JOB_ASSASSIN	Ninja	
JOB_ASSASSIN0	None
JOB_ASSASSIN1	Blade Ninja
JOB_ASSASSIN2	Archery Ninja
JOB_SHAMAN	Shaman	
JOB_SHAMAN0	None
JOB_SHAMAN1	Dragon Shaman
JOB_SHAMAN2	Healing Shaman
JOB_SURA	Sura	
JOB_SURA0	None
JOB_SURA1	Weaponry Sura
JOB_SURA2	Magic Sura
JOB_WARRIOR	Warrior	
JOB_WARRIOR0	None
JOB_WARRIOR1	Body Warrior
JOB_WARRIOR2	Mental Warrior
JOB_WOLFMAN	Lycan
JOB_WOLFMAN0	Amateur Lycan
JOB_WOLFMAN1	Instinct
JOB_WOLFMAN2	N.A.
KEYCHANGE_DONT_SAVE_EXIT	Exit without saving?
KEYCHANGE_IMPOSSIBLE_CHANGE	[CTRL], [ALT], [SHIFT] are not allowed here!
KEYCHANGE_SAVE_EXIT	Save and exit?
KEY_0	0
KEY_0_LALT	ALT + 0
KEY_0_LCONTROL	CTRL + 0
KEY_0_LSHIFT	SHIFT + 0
KEY_1	1
KEY_1_LALT	ALT + 1
KEY_1_LCONTROL	CTRL + 1
KEY_1_LSHIFT	SHIFT + 1
KEY_2	2
KEY_2_LALT	ALT + 2
KEY_2_LCONTROL	CTRL + 2
KEY_2_LSHIFT	SHIFT + 2
KEY_3	3
KEY_3_LALT	ALT + 3
KEY_3_LCONTROL	CTRL + 3
KEY_3_LSHIFT	SHIFT + 3
KEY_4	4
KEY_4_LALT	ALT + 4
KEY_4_LCONTROL	CTRL + 4
