NPC_SEARCH	Pesquisa NPC
DETAILS_ATTBONUS_DAGGER	Ruptura de Punhais
DETAILS_ATTBONUS_FAN	Ruptura de Leque
DETAILS_ATTBONUS_SWORD	Ruptura de Espada
DETAILS_ATTBONUS_TWOHAND	Ruptura de Duas Mãos
DETAILS_RESIST_MOUNT_FALL	Resistência a Queda
DETAILS_TITLE	Detalhes
DETAILS_TOOLTIP_1	Forte contra Semi-Humanos: inflige mais dano a Semi-Humanos.
DETAILS_TOOLTIP_10	Forte contra Monstros do Deserto: inflige mais dano a monstros do deserto.
DETAILS_TOOLTIP_11	Forte contra Insectos: inflige mais dano a insectos.
DETAILS_TOOLTIP_12	Aumenta o teu Valor de Ataque.
DETAILS_TOOLTIP_13	Aumenta o teu Valor de Defesa.
DETAILS_TOOLTIP_14	Aumenta o dano médio que infliges a inimigos com um ataque.
DETAILS_TOOLTIP_15	Resistência a Dano Médio: reduz o dano que sofres com um ataque.
DETAILS_TOOLTIP_16	Aumenta o dano infligido por uma habilidade.
DETAILS_TOOLTIP_17	Resistência a Dano de Habilidades: reduz o dano que te é infligido por uma habilidade.
DETAILS_TOOLTIP_18	Aumenta tanto o teu Valor de Ataque Físico como o Mágico.
DETAILS_TOOLTIP_19	Aumenta o dano que infliges a inimigos com um ataque mágico.
DETAILS_TOOLTIP_2	Resistência a Semi-Humanos: reduz o dano que sofres de Semi-Humanos.
DETAILS_TOOLTIP_20	Aumenta a probabilidade de desferires um Golpe Crítico.
DETAILS_TOOLTIP_21	Probabilidade de Golpe Perfurante: aumenta a probabilidade de desferires um Golpe Perfurante.
DETAILS_TOOLTIP_24	Reduz o dano que sofres de certos monstros.
DETAILS_TOOLTIP_25	Reduz o dano que sofres de certos monstros.
DETAILS_TOOLTIP_26	Resistência a Trevas: reduz o dano que sofres de certos monstros.
DETAILS_TOOLTIP_27	Reduz o dano que sofres de certos monstros.
DETAILS_TOOLTIP_28	Reduz o dano que sofres de certos monstros.
DETAILS_TOOLTIP_29	Reduz o dano que sofres de certos monstros.
DETAILS_TOOLTIP_3	Forte contra Orcs: inflige mais dano a Orcs.
DETAILS_TOOLTIP_30	Aumenta o dano que infliges com o poder dos raios.
DETAILS_TOOLTIP_31	Aumenta o dano que infliges com o poder do gelo.
DETAILS_TOOLTIP_32	Aumenta o dano que infliges com o poder das trevas.
DETAILS_TOOLTIP_33	Aumenta o dano que infliges com o poder do fogo.
DETAILS_TOOLTIP_34	Aumenta o dano que infliges com o poder do vento.
DETAILS_TOOLTIP_35	Aumenta o dano que infliges com o poder da terra.
DETAILS_TOOLTIP_36	Forte contra Guerreiros: inflige mais dano a Guerreiros.
DETAILS_TOOLTIP_37	Forte contra Ninjas: inflige mais dano a Ninjas.
DETAILS_TOOLTIP_38	Forte contra Suras: inflige mais dano a Suras.
DETAILS_TOOLTIP_39	Forte contra Xamãs: inflige mais dano a Xamãs.
DETAILS_TOOLTIP_4	Forte contra Mortos-Vivos: inflige mais dano a Mortos-Vivos.
DETAILS_TOOLTIP_40	Forte contra Lycans: inflige mais dano a Lycans.
DETAILS_TOOLTIP_41	Defesa contra Ataques de Guerreiros: reduz o dano que sofres de Guerreiros.
DETAILS_TOOLTIP_42	Defesa contra Ataques de Ninjas: reduz o dano que sofres de Ninjas.
DETAILS_TOOLTIP_43	Defesa contra Ataques de Suras: reduz o dano que sofres de Suras.
DETAILS_TOOLTIP_44	Defesa contra Ataques de Xamãs: reduz o dano que sofres de Xamãs.
DETAILS_TOOLTIP_45	Defesa contra Ataques de Lycans: reduz o dano que sofres de Lycans.
DETAILS_TOOLTIP_46	Reduz o dano infligido por uma espada.
DETAILS_TOOLTIP_47	Reduz o dano infligido por uma arma de duas mãos.
DETAILS_TOOLTIP_48	Reduz o dano infligido por uma adaga.
DETAILS_TOOLTIP_49	Reduz o dano infligido por uma garra.
DETAILS_TOOLTIP_5	Forte contra Monstros: inflige mais dano a Monstros.
DETAILS_TOOLTIP_50	Reduz o dano infligido por uma campainha.
DETAILS_TOOLTIP_51	Reduz o dano infligido por um leque.
DETAILS_TOOLTIP_52	Reduz o dano infligido por arcos e flechas.
DETAILS_TOOLTIP_53	Aumenta a probabilidade de atordoar um adversário.
DETAILS_TOOLTIP_54	Aumenta a probabilidade de abrandar um adversário.
DETAILS_TOOLTIP_55	Aumenta a probabilidade de envenenar um adversário.
DETAILS_TOOLTIP_56	Reduz o dano infligido por veneno.
DETAILS_TOOLTIP_57	Aumenta a probabilidade de desferir um ataque de sangramento.
DETAILS_TOOLTIP_58	Resistência contra Ataque de Sangramento: reduz o dano infligido por um Ataque de Sangramento.
DETAILS_TOOLTIP_59	Drena a VD do teu inimigo quando o atinges.
DETAILS_TOOLTIP_6	Forte contra Monstros do Zodíaco: inflige mais dano a monstros do Zodíaco.
DETAILS_TOOLTIP_60	Drena a MN do teu inimigo quando o atinges.
DETAILS_TOOLTIP_61	Aumenta a recuperação dos teus pontos de vida.
DETAILS_TOOLTIP_62	Aumenta a recuperação dos teus pontos de magia.
DETAILS_TOOLTIP_63	Probabilidade de bloquear um ataque corpo-a-corpo: aumenta a probabilidade de evasão a um ataque corpo-a-corpo.
DETAILS_TOOLTIP_64	Probabilidade de evitar um ataque de flecha: aumenta a probabilidade de evadir um ataque de flecha ou de longo alcance de um monstro.
DETAILS_TOOLTIP_65	Probabilidade de reflectir ataques corpo-a-corpo: parte do dano corpo-a-corpo do inimigo é reflectido de volta contra ele.
DETAILS_TOOLTIP_66	Recuperação de VD ao Matar: os teus pontos de vida aumentam quando matas um inimigo.
DETAILS_TOOLTIP_67	Recuperação de MN ao Matar: os teus pontos de magia aumentam quando matas um inimigo.
DETAILS_TOOLTIP_68	Probabilidade de receber experiência a dobrar: aumenta a probabilidade de um bónus de EXP quando derrotas um inimigo.
DETAILS_TOOLTIP_69	Probabilidade de receber Yang a dobrar: aumenta a probabilidade de receber uma quantidade de Yang a dobrar.
DETAILS_TOOLTIP_7	Forte contra Animais: inflige mais dano a animais selvagens.
DETAILS_TOOLTIP_70	Probabilidade de Queda de Itens: aumenta a probabilidade de pilhar o dobro da quantidade de itens.
DETAILS_TOOLTIP_76	Reduz o dano que sofres com um ataque mágico.
DETAILS_TOOLTIP_77	Reduz a Resistência Mágica do teu inimigo.
DETAILS_TOOLTIP_8	Forte contra Esotéricos: inflige mais dano a Esotéricos.
DETAILS_TOOLTIP_9	Forte contra Demónios: inflige mais dano a Demónios.
DETAILS_TOOLTIP_ATTBONUS_BELL	Ruptura de Defesa contra Campainhas: reduz a Defesa contra Campainhas do teu adversário.
DETAILS_TOOLTIP_ATTBONUS_BOW	Ruptura de Defesa contra Flechas: reduz a Defesa contra Flechas do teu adversário.
DETAILS_TOOLTIP_ATTBONUS_CLAW	Ruptura de Defesa contra Garras: reduz a Defesa contra Garras do teu adversário.
DETAILS_TOOLTIP_ATTBONUS_DAGGER	Ruptura de Defesa contra Punhais: reduz a Defesa contra Punhais do teu adversário.
DETAILS_TOOLTIP_ATTBONUS_FAN	Ruptura de Defesa contra Leques: reduz a Defesa contra Leques do teu adversário.
DETAILS_TOOLTIP_ATTBONUS_SWORD	Ruptura de Defesa contra Espadas: reduz a Defesa contra Espadas do teu adversário.
DETAILS_TOOLTIP_ATTBONUS_TWOHAND	Ruptura de Defesa contra Duas Mãos: reduz a Defesa contra Duas Mãos do teu adversário.
DETAILS_TOOLTIP_RESIST_MOUNT_FALL	Resistência a Queda: reduz a probabilidade de caíres da tua montada.
DONT_USE_ITEM_WHEN_SHOW_CONFIRM	Não podes mover quaisquer itens enquanto um pedido está em progresso.
DO_NOT_INSERT_UPBRINGING_PET	O pet activo não pode ser seleccionado.
DO_YOU_BUY_ITEM1	Queres comprar %s por %s?
DO_YOU_BUY_ITEM2	Queres comprar %s (%s lotes) por %s?
DO_YOU_BUY_ITEM3	Queres comprar %s por %s Yang?
DO_YOU_BUY_ITEM4	Queres comprar %s (%s lotes) por %s Yang?
DO_YOU_DROP_MONEY	Queres largar %d Yang?
DO_YOU_SELL_ITEM1	Queres vender %s por %s?
DO_YOU_SELL_ITEM2	Queres vender %s (%s lotes) por %s?
DRAGON_SOUL_CANNOT_REFINE	Esta Pedra do Dragão não pode ser refinada.
DRAGON_SOUL_CANNOT_REFINE_MORE	Esta Pedra do Dragão já se encontra no nível mais alto possível.
DRAGON_SOUL_EQUIP_WARNING1	É difícil remover uma Pedra do Dragão assim que estiver embutida.
DRAGON_SOUL_EQUIP_WARNING2	Ainda gostarias de continuar?
DRAGON_SOUL_EXPIRED	Pedra do Dragão expirada
DRAGON_SOUL_INVALID_DRAGON_SOUL	Essa não é a Pedra do Dragão correcta.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	Isso não é uma Pedra do Dragão.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	Essa não é a Pedra do Dragão correcta.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	Não tens material suficiente para refinar.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL2	Para %s\nprecisas de: %s %dx
DRAGON_SOUL_NOT_ENOUGH_MONEY	Não tens Yang suficiente para mudares o bónus.
DRAGON_SOUL_NOT_MATCHED_SLOT	A Pedra do Dragão não cabe neste espaço.
DRAGON_SOUL_STEP_LEVEL1	Clareza: translúcida.
DRAGON_SOUL_STEP_LEVEL2	Clareza: límpida.
DRAGON_SOUL_STEP_LEVEL3	Clareza: impecável.
DRAGON_SOUL_STEP_LEVEL4	Clareza: brilhante.
DRAGON_SOUL_STEP_LEVEL5	Clareza: excelente.
DRAGON_SOUL_STRENGTH	Nível: +%d	SA
DRAGON_SOUL_UNEQUIP_WARNING1	A Pedra do Dragão pode ser destruída no processo.
DRAGON_SOUL_UNEQUIP_WARNING2	Ainda gostarias de continuar?
DRAGON_SOUL_UNMATCHED_SLOT	Este é o espaço errado.
DROP_ITEM_FAILURE_EQUIP_ITEM	Não podes largar Itens equipados.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Não podes largar nenhum Item enquanto tiveres aberto uma Loja Privada.
DROP_MONEY_FAILURE_1000_OVER	Podes largar no máximo 999 Yang de cada vez.
DS_SYSTEM_MSG_1	Precisas de %s (%dx).
DUTCH_AUCTION_CLOSE_OTHER_WINDOW	Por favor fecha todas as outras janelas antes de abrires os Leilões Flash.
EMOTION_ALCOHOL	Saúde!
EMOTION_ANGRY	Aborrecido
EMOTION_ATTRACTIVE	Seduzir
EMOTION_BANTER	Troçar
EMOTION_BUSY	Stress
EMOTION_CALL	Chamar
EMOTION_CELEBRATION	Festa
EMOTION_CHARGING	Carga
EMOTION_CHEERS_1	Saudações 1
EMOTION_CHEERS_2	Saudações 2
EMOTION_CHEERUP	Festejar
EMOTION_CHOOSE_ONE	Escolhe um alvo
EMOTION_CLAP	Palmas
EMOTION_CLAP_KISS	Beijo
EMOTION_CONGRATULATION	Aprovação
EMOTION_DANCE_1	Dança 1
EMOTION_DANCE_2	Dança 2
EMOTION_DANCE_3	Dança 3
EMOTION_DANCE_4	Dança 4
EMOTION_DANCE_5	Dança 5
EMOTION_DANCE_6	Gumsan Style
EMOTION_DANCE_7	Samba
EMOTION_DOZE	Dormitar
EMOTION_EXERCISE	Aquecimento
EMOTION_FORGIVE	Pedir Perdão
EMOTION_FRENCH_KISS	Beijo Francês
EMOTION_HUNGRY	Fome
EMOTION_JOY	Felicidade
EMOTION_LETTER	Carta de Amor
EMOTION_NOSAY	Sem Palavras
EMOTION_PUSH_UP	Flexões
EMOTION_SAD	Tristeza
EMOTION_SELFIE	Selfie
EMOTION_SHY	Rejeitar
EMOTION_SIREN	Sirene
EMOTION_SLAP	Bater
EMOTION_WEATHER_1	Raio de Sol
EMOTION_WEATHER_2	Arco-Íris
EMOTION_WEATHER_3	Lua
EMOTION_WHIRL	Confusão
EMPIRE_A	Reino Shinsoo
EMPIRE_B	Reino Chunjo
EMPIRE_C	Reino Jinno
EMPIRE_SELECT_MODE	Seleccionar Reino
EXCHANGE_CANNOT_GIVE	Este Item não pode ser negociado.
EXCHANGE_CANT_EDIT_MONEY	Não podes alterar a quantia agora.
EXCHANGE_FAILURE_EQUIP_ITEM	Não podes trocar Itens equipados.
EXCHANGE_MONEY	Quantia
EXCHANGE_TITLE	Negociar com %s (%d)
EXINVEN_USE_ITEM_FAIL_FALL_SHORT	Ainda precisas de %d Expansão(ões) de Inventário.
EXINVEN_USE_ITEM_FAIL_FOURTH_PAGE_STAGE_MAX	O teu inventário atingiu a quantidade máxima de expansões.
EXINVEN_USE_ITEM_QUESTION	Queres expandir o teu inventário usando %d Expansões de Inventário?
FISHING_FAILURE	Perdeste o Isco.
FISHING_NOTIFY1	Parece que %s mordeu o anzol.
FISHING_NOTIFY2	Parece que %s foi capturado.
FISHING_RENEWAL_CANNOT_EMOTION	Não podes expressar emoções enquanto pescas.
FISHING_RENEWAL_CANNOT_OPEN_1	Não podes abrir enquanto pescas-
FISHING_RENEWAL_CANNOT_OPEN_2	Não podes levar esta acção a cabo enquanto pescas.
FISHING_RENEWAL_QUESTION	Algo mordeu o anzol. Queres apanhar?
FISHING_RENEWAL_TIMEOUT	Esperaste demasiado tempo. O peixe fugiu.
FISHING_SUCCESS1	Capturaste %s!
FISHING_SUCCESS2	Tu puxaste %s para fora de água!
FISHING_UNKNOWN	Apanhaste algo mas não consegues ver o que é.
FISHING_WRONG_PLACE	Não podes pescar aqui.
FLOWER_EVENT_USE_ITEM_TEXT1	Queres substituir o efeito activo?
FLOWER_EVENT_USE_ITEM_TEXT2	A tentativa pode falhar e fazer com que a flor murche.
FOR_FEMALE	Para Mulher
FOR_MALE	Para Homem
FRAGMENT_COMB_COST	Custos de combinação: %s
GAME_CANNOT_MINING	Não podes Garimpar enquanto estás montado num cavalo.
GAME_CANNOT_PICK_ITEM	Não podes apanhar este Item porque não o ganhaste.
GAME_GUILDWAR_NOW_JOIN	Queres entrar na Guerra de Guilds?
GAME_INIT_ERROR_CURSOR	O cursor não pôde ser definido.
GAME_INIT_ERROR_DIRECTX	O DirectX 8.1 tem de estar instalado para o jogo poder correr.\nInstala o DirectX 8.1 ou mais alto.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	A Placa gráfica não pôde ser encontrada.\nVerifica se o teu VGA card está devidamente instalado.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	A placa gráfica não pôde ser activada. \nVerifica a tua VGA card.\nEm alternativa, podes activar o acelerador de Hardware.\n(Set hardware accelerator to max \nControl Panel->Display->Settings->Advanced->Troubleshoot tab)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	A Placa Gráfica do computador não suporta o modo janela em 32bit.\nAltera para modo 16bit ou utiliza o modo Ecrã Completo.
GAME_INIT_ERROR_ITEM_PROTO	Não há Item Data.\nInstala o jogo de novo.
GAME_INIT_ERROR_MAIN_WINDOW	O mainframe não pôde ser definido
GAME_INIT_ERROR_MOB_PROTO	Não há Monster Data.\nInstala o jogo de novo.
GAME_INIT_ERROR_NETWORK	Não foi possível definir Dispositivos de Rede.\nVerifica a tua ligação de Internet.
GEM_SYSTEM_ADD_SLOT	Item requerido: %s.\nQueres usar %d deles para desbloqueares um espaço adicional?
GEM_SYSTEM_BUY_ITEM	Queres comprar este item?
GEM_SYSTEM_NAME	Gaya
GEM_SYSTEM_NOT_ENOUGHT_REFRESHITEM	[Gaya] Não tens itens Actualiza Mercado Gaya suficientes.
GEM_SYSTEM_NOT_ENOUGH_HP_GEM	[Gaya] Não tens Gaya suficientes.
GEM_SYSTEM_NO_MORE_ADDSLOT	[Gaya] Não podem ser desbloqueados mais espaços.
GEM_SYSTEM_OPEN_GEMSHOP	[Gaya] Primeiro abre o Mercado de Gaya.
GEM_SYSTEM_PICK_GEM	[Gaya] Quantidade de Gaya: %d
GEM_SYSTEM_REFRESH_SHOP_ITEMS	Queres actualizar a loja?
GIVEUP_QUESTION	Queres mesmo desistir?
GUILDBANK_CLEARBANK	Atenção: O Armazém da Guild tem de ser esvaziado!
GUILDBANK_DONT_MONEY_OUT	Não tens qualquer Yang no Banco da Guild!
GUILDBANK_GOLD_IN	Depositar
GUILDBANK_GOLD_OUT	Levantar
GUILDBANK_ITEM_IN	Armazenar
GUILDBANK_ITEM_OUT	Remover
GUILDBANK_MONEYIN	Depositar Yang
GUILDBANK_MONEYOUT	Levantar Yang
GUILDBANK_NOTUSE	Não tens as permissões necessárias.
GUILDBANK_NOT_ENOUGH_MONEY	Não tens Yang suficiente para depositar.
GUILDBANK_OVER_INCOME	Limite de conta atingido.
GUILDBANK_OVER_MONEY	A conta da guild está cheia.
GUILDLAND_ABANDON	Abandonar Território da Guild
GUILDLAND_ACCEPT	Sim
GUILDLAND_DONTHAVE_LAND	Não possuis qualquer território de guild.
GUILDLAND_NOT	Não
GUILDLIST_APPLICANT	Queres enviar uma aplicação?
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	A altura não é 128 Pixeis
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	A altura não é 12 Pixeis
GUILDMARK_UPLOADER_ERROR_16_WIDTH	A Largura não é 16 Pixeis
GUILDMARK_UPLOADER_ERROR_64_WIDTH	A Largura não é 64 Pixeis
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	O jogo não suporta esta imagem.
GUILDMARK_UPLOADER_ERROR_PATH	Move os dados para a pasta metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	Nenhum ficheiro de imagem foi escolhido.
GUILDWAR_ALL	Batalhas (B)
GUILDWAR_CTF_TITLE	Capturar a Bandeira
GUILDWAR_DRAW	Empates (E)
GUILDWAR_GAINSCORE_FIFTY	50 pontos
GUILDWAR_GAINSCORE_HUNDRED	100 pontos
GUILDWAR_GAINSCORE_THIRTY	30 pontos
GUILDWAR_GAMETIME_SIXTY	60 minutos
GUILDWAR_GAMETIME_TEN	10 minutos
GUILDWAR_GAMETIME_THIRTY	30 minutos
GUILDWAR_INPUT_OTHERGUILD	Por favor introduz a guild adversária.
GUILDWAR_LADDER	Pontos de Posição
GUILDWAR_LIMIT_MEMBER_FIVE	Mínimo de 5 participantes.
GUILDWAR_LOSE	Derrotas (D)
GUILDWAR_NORMAL_TITLE	Batalha Campal
GUILDWAR_OVER_MEMBERCOUNT	Atingiste o limite de membros.
GUILDWAR_QUESTION_LINE_1	A Guild %s declarou guerra à tua Guild.
GUILDWAR_QUESTION_LINE_2	Aceitas? (%s)
GUILDWAR_RANKING	Posição
GUILDWAR_RECODE_ALL	%d B, %d V, %d D, %d E
GUILDWAR_SELECT_MEMBER_COUNT	Selecciona o número de participantes.
GUILDWAR_TYPE_DEFENSE	Batalha de Escudo
GUILDWAR_TYPE_TIGER	Aniquilação
GUILDWAR_TYPE_TIME	Contra-Relógio
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Arena de Guerra
GUILDWAR_WIN	Vitórias (V)
GUILDWAR_WIN_FIVE	5 rondas
GUILDWAR_WIN_ONE	1 ronda
GUILDWAR_WIN_THREE	3 rondas
GUILDWINDOW_BUTTON_BANKGOLDINFO	Registo do Armazém da Guild
GUILDWINDOW_BUTTON_BASEABANDON	Abandonar Território da Guild
GUILDWINDOW_BUTTON_BASEDEAL	Vender Território de Guild
GUILDWINDOW_BUTTON_BOARD	Mensagens de Guild
GUILDWINDOW_BUTTON_CHANGEMASTER	Mudar Líder da Guild
GUILDWINDOW_BUTTON_DECLARE	Declarar Guerra
GUILDWINDOW_BUTTON_DONATE	Doar
GUILDWINDOW_BUTTON_GOLDIN	Depositar
GUILDWINDOW_BUTTON_GOLDOUT	Levantar
GUILDWINDOW_BUTTON_GRADE	Gerir Permissões
GUILDWINDOW_BUTTON_GUILDLIST	Lista de Guilds
GUILDWINDOW_BUTTON_HEALGSP	Restaurar Poder do Deus Dragão
GUILDWINDOW_BUTTON_INFO	Informações da Guild
GUILDWINDOW_BUTTON_LANDINFO	Informações do Território
GUILDWINDOW_BUTTON_MARK	Carregar Símbolo da Guild
GUILDWINDOW_BUTTON_MEMBER	Membro
GUILDWINDOW_BUTTON_OFFER	Doar EXP
GUILDWINDOW_BUTTON_OUTMEMBER	Remover Membro
GUILDWINDOW_BUTTON_SKILL	Habilidades de Guild
GUILDWINDOW_BUTTON_SYMBOL	Carregar Bandeira da Guild
GUILDWINDOW_BUY_GUILD_LAND	Comprar Território
GUILDWINDOW_CHANGE_BLACKSMITH	Mudar profissão
GUILDWINDOW_CHANGE_OBJECT	Reconstrução
GUILDWINDOW_CHANGE_SMELTER	Mudar Fornalha
GUILDWINDOW_CREATE_OBJECT	Construção
GUILDWINDOW_DEAL_GUILD_LAND	Vender Território
GUILDWINDOW_GRADE_BANK	Pode usar banco e armazém da Guild
GUILDWINDOW_GRADE_DRIVEOUTAUTHORITY	Pode remover membros da guild
GUILDWINDOW_GRADE_GRADENAME	Nome do Posto
GUILDWINDOW_GRADE_GRADENUMBER	Número do Posto
GUILDWINDOW_GRADE_GUILDWAR	Pode seleccionar membros para se juntarem como combatentes
GUILDWINDOW_GRADE_INVITEAUTHORITY	Pode aceitar jogadores na guild
GUILDWINDOW_GRADE_NOTICEAUTHORITY	Pode compor mensagens de guild
GUILDWINDOW_GRADE_SKILLAUTHORITY	Pode usar habilidades de guild
GUILDWINDOW_INFO_LEVEL10	Aumento do máx. de membros
GUILDWINDOW_INFO_LEVEL15	Redução Custo Poder do D.D.
GUILDWINDOW_INFO_LEVEL20	Banco: Isenção de imposto
GUILDWINDOW_INFO_LEVEL5	+5% EXP em doações de guild
GUILDWINDOW_LIST_ALL	Todos os Reinos
GUILDWINDOW_LIST_ALREADY_REGISTER	[Guild] Já enviaste uma aplicação.
GUILDWINDOW_LIST_APPLICANT_LIST	Lista de Aplicações
GUILDWINDOW_LIST_CHRACTER_JOB	Classe
GUILDWINDOW_LIST_CHRACTER_LV	Nível
GUILDWINDOW_LIST_CHRACTER_NAME	Nome de Personagem
GUILDWINDOW_LIST_CHRACTER_SUB_JOB	Subclasse
GUILDWINDOW_LIST_EMPIRE_A	Shinsoo
GUILDWINDOW_LIST_EMPIRE_B	Chunjo
GUILDWINDOW_LIST_EMPIRE_C	Jinno
GUILDWINDOW_LIST_GUILDMEMBER	Membro
GUILDWINDOW_LIST_GUILD_LIST	Lista de Guilds
GUILDWINDOW_LIST_GUILD_LV	Nível
GUILDWINDOW_LIST_GUILD_NAME	Guild
GUILDWINDOW_LIST_INPUT_GUILDNAME	[Guild] Por favor introduz um nome de guild.
GUILDWINDOW_LIST_LADDER	Pontos de Posição
GUILDWINDOW_LIST_NOTPROMOTEGUILD	[Guild] Esta guild não está a publicitar.
GUILDWINDOW_LIST_PROMOTE_GUILD	Aplicação
GUILDWINDOW_LIST_PROMOTE_GUILD_LIST	Lista de Guilds
GUILDWINDOW_LIST_RANKING	Posição
GUILDWINDOW_LIST_RANKING_COUNT	Posição
GUILDWINDOW_LIST_REGISTER	Aplicações
GUILDWINDOW_LIST_REGISTER_GUILD	Enviar aplicação à guild
GUILDWINDOW_LIST_SEARCH	Procurar
GUILDWINDOW_LIST_SELECT_GUILD	[Guild] Por favor selecciona uma guild à qual enviar a aplicação.
GUILDWINDOW_PROMOTE_REFRESH	Anunciar
GUILDWINDOW_PROMOTE_REGISTER	Anunciar
GUILDWINDOW_SP_RECOVER	Poder do Deus Dragão
GUILDWINDOW_UPGRADE_ALTEROFPOWER	Melhorar Altar
GUILDWINDOW_UPGRADE_GUILDBANK	Melhorar Banco
GUILD_ATTENDANCE_FAIL_ALREADY	Já participaste hoje.
GUILD_ATTENDANCE_FAIL_JOIN_TIME	Não podes participar agora. A participação é reinicializada todos os dias às 5:00.
GUILD_BANKINFO_CLOSE	Fechar
GUILD_BANKINFO_NAME	Membro
GUILD_BANKINFO_TYPE	Item/Moeda
GUILD_BANKINFO_USETYPE	Acção
GUILD_BANK_CLOSE	Fechar
GUILD_BANK_INFO	Registo do Armazém da Guild
GUILD_BOARD_ID	Membro
GUILD_BOARD_TEXT	Mensagem
GUILD_BUILDING_FIX_CHANGE	Queres mesmo mudar a posição?
GUILD_BUILDING_FIX_CHANGE_GOLD	Custo: 1.000.000 Yang
GUILD_BUILDING_FIX_DELETE	Queres mesmo apagar o objecto?
GUILD_BUILDING_FIX_NEED_BUILDING	Nenhum edifício presente.
GUILD_BUILDING_GRADE	Nível
GUILD_BUILDING_NAME	Nome do Edifício
GUILD_CANNOT_HEAL_GSP_ANYMORE	A Energia dos Dragões Fantasma já está no máximo.
GUILD_COMMENT	Escrever
GUILD_CREATE_ERROR_INSULT_NAME	O nome da Guild não é válido.
GUILD_DEFAULT_GRADE	Membros da Guild
GUILD_DELETE	Apagar
GUILD_DEPOSIT	Depositar
GUILD_DONATE_FAIL_NOT_ENOUGH_HIGH_ITEM	Não tens Bilhetes de Doação Grande suficientes.
GUILD_DONATE_FAIL_NOT_ENOUGH_INVENTORY	O teu inventário está cheio. Não podes doar.
GUILD_DONATE_FAIL_NOT_ENOUGH_MIDDLE_ITEM	Não tens Bilhetes de Doação Média suficientes.
GUILD_DONATE_FAIL_NOT_ENOUGH_YANG	Yang insuficiente.
GUILD_DONATE_QUESTION_HIGH	Queres fazer uma Doação Grande?
GUILD_DONATE_QUESTION_MIDDLE	Queres fazer uma Doação Média?
GUILD_DONATE_QUESTION_NORMAL	Queres fazer uma Doação Pequena?
GUILD_DO_YOU_HEAL_GSP	Queres usar %d Yang para restaurares %d unidades de Dragões Fantasma?
GUILD_DO_YOU_JOIN	fez-te um convite. Queres juntar-te à Guild?
GUILD_DRAGONLAIR_MIN	min.
GUILD_DRAGONLAIR_PARTY_ALL	Classificações Gerais
GUILD_DRAGONLAIR_PARTY_LINE_FOUR	11º Lugar e abaixo: 100 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_HELP	Ajuda
GUILD_DRAGONLAIR_PARTY_LINE_ONE	1º Lugar: 400 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_THREE	4º-10º Lugares: 200 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_TWO	2º e 3º Lugares: 300 Gaya
GUILD_DRAGONLAIR_PARTY_MEMBER	Membros
GUILD_DRAGONLAIR_PARTY_NOW	Classificações Semanais
GUILD_DRAGONLAIR_PARTY_PAST	Classificações Anteriores
GUILD_DRAGONLAIR_PARTY_TIME	Tempo
GUILD_DRAGONLAIR_PARTY_TOOLTIP_TITLE	Recompensa
GUILD_DRAGONLAIR_RANKING_FAIL	FALHA
GUILD_DRAGONLAIR_RANKING_NONE	NOVIDADE
GUILD_DRAGONLAIR_RANKING_SUCCESS	SUCESSO
GUILD_DRAGONLAIR_SECOND	seg.
GUILD_EMPTY_AREA	Terreno Vazio
GUILD_ENEMY_GUILD_NAME	Nome da Guild inimiga
GUILD_FACILITY	Anexo
GUILD_GEM	Pedra Preciosa
GUILD_HEADQUARTER	Edifício Principal
GUILD_HEAL_GSP	Restaurar Dragões Fantasma
GUILD_INFO_ENEMY_GUILD_EMPTY	Nenhum
GUILD_MARK_NOT_ENOUGH_LEVEL	A guild necessita de nível 3 para usar icon de guild
GUILD_MARK_UPLOAD_NOTICE	Por favor espera um momento para poderes adicionar logótipos de Guild.
GUILD_MEMBER_JOB	Classe
GUILD_MEMBER_KNIGHT	Combatente
GUILD_MEMBER_LEVEL	Nível
GUILD_MEMBER_NAME	Membro
GUILD_MEMBER_RANK	Posto
GUILD_MEMBER_SPECIFIC_GRAVITY	EXP Doada
GUILD_NAME	Nome da Guild
GUILD_NOT_ENOUGH_MATERIAL	Não tens recursos de construção suficientes para este edifício.
GUILD_NOT_ENOUGH_MONEY	Não tens Yang suficiente para este edifício.
GUILD_NO_NOTICE_PERMISSION	Não tens permissões para fazer um anúncio.
GUILD_OBJECT	Objectos
